player_name,role,total_runs,strike_rate,total_balls_faced,total_wickets_taken,total_runs_conceded,total_overs_bowled,total_matches_played,matches_played_as_batter,matches_played_as_bowler,matches_won,matches_lost,player_of_match_awards,team,average
Muneeba Ali,Batter,948,58.91858297,1609,0,0,0,463,463,0,223,240,0,Pakistan,
Shaiman Anwar,Batter,947,81.49741824,1162,5,136,117,97,97,0,33,64,0,United Arab Emirates,189.4
JM How,Batter,939,64.80331263,1449,0,0,0,444,444,0,231,213,3,New Zealand,
G Singh,Batter,938,81.21212121,1155,6,97,113,64,64,0,30,34,3,United States of America,156.3333333
Imad Wasim,Batter,937,108.9534884,860,44,1936,2388,462,462,0,223,239,0,Pakistan,21.29545455
MG Johnson,Batter,934,93.21357285,1002,243,5977,7537,545,545,0,381,164,6,Australia,3.843621399
RV Uthappa,Batter,934,87.28971963,1070,0,0,2,573,573,0,356,217,0,India,
KOA Powell,Batter,934,78.42149454,1191,0,0,0,427,427,0,165,262,0,West Indies,
RR Hendricks,Batter,930,76.79603633,1211,1,47,42,472,472,0,291,181,2,South Africa,930
Nigar Sultana,Batter,927,48.81516588,1899,0,0,0,333,333,0,130,203,2,Bangladesh,
Habibul Bashar,Batter,926,55.41591861,1671,0,0,0,343,343,0,134,209,0,Bangladesh,
Chirag Suri,Batter,924,62.77173913,1472,0,0,0,95,95,0,33,62,1,United Arab Emirates,
NT Broom,Batter,919,78.68150685,1168,0,0,0,443,443,0,231,212,1,New Zealand,
R Powell,Batter,915,86.81214421,1054,3,261,256,425,425,0,164,261,1,West Indies,305
CP Rizwan,Batter,901,57.27908455,1573,1,51,61,98,98,0,34,64,1,United Arab Emirates,901
SJ Modani,Batter,898,61.50684932,1460,0,6,12,64,64,0,30,34,1,United States of America,
P Litchfield,Batter,895,78.37127846,1142,0,0,0,533,533,0,372,161,4,Australia,
BJ McMullen,Batter,888,83.93194707,1058,39,724,1048,85,85,0,46,39,3,Scotland,22.76923077
Muhammad Usman,Batter,888,73.26732673,1212,0,0,0,95,95,0,33,62,0,United Arab Emirates,
Ishan Kishan,Batter,886,99.5505618,890,0,0,0,553,553,0,341,212,1,India,
JWA Taylor,Batter,879,79.54751131,1105,0,0,0,511,511,0,291,220,3,England,
S Bau,Batter,874,58.93459204,1483,13,492,613,63,63,0,12,51,2,Papua New Guinea,67.23076923
RR Pant,Batter,871,102.9550827,846,0,0,0,576,576,0,357,219,1,India,
TT Bresnan,Batter,871,88.51626016,984,120,3879,4300,517,517,0,295,222,0,England,7.258333333
PD Salt,Batter,866,112.4675325,770,0,0,0,495,495,0,284,211,0,England,
DS Airee,Batter,861,70.74774035,1217,46,1287,1919,65,65,0,33,32,2,Nepal,18.7173913
TD Paine,Batter,861,68.88,1250,0,0,0,521,521,0,363,158,1,Australia,
PWH de Silva,Batter,859,102.7511962,836,85,2164,2482,478,478,0,221,257,4,Sri Lanka,10.10588235
Rameez Shahzad,Batter,848,75.84973166,1118,0,34,34,99,99,0,34,65,1,United Arab Emirates,
Shoaib Khan,Batter,843,82.24390244,1025,2,131,146,51,51,0,27,24,2,Oman,421.5
SSJ Brooks,Batter,842,73.2173913,1150,0,0,0,430,430,0,166,264,2,West Indies,
JJ Smit,Batter,839,71.89374464,1167,39,794,1134,54,54,0,25,29,1,Namibia,21.51282051
CN Nation,Batter,831,54.45609436,1526,0,9,6,428,428,0,165,263,0,West Indies,
TM Odoyo,Batter,830,69.10907577,1201,45,1172,1635,38,38,0,13,25,2,Kenya,18.44444444
VS Solanki,Batter,829,69.43048576,1194,1,80,84,518,518,0,295,223,1,England,829
VVS Laxman,Batter,828,72.50437828,1142,0,0,0,570,570,0,353,217,2,India,
BM Halliday,Batter,828,70.64846416,1172,7,209,223,428,428,0,222,206,0,New Zealand,118.2857143
AL Phehlukwayo,Batter,827,83.03212851,996,96,3003,3189,470,470,0,290,180,1,South Africa,8.614583333
SHT Kandamby,Batter,827,69.03171953,1198,2,175,177,510,510,0,237,273,0,Sri Lanka,413.5
PJ Hughes,Batter,826,73.88193202,1118,0,0,0,544,544,0,381,163,2,Australia,
O Prendergast,Batter,821,74.36594203,1104,18,616,733,162,162,0,58,104,1,Ireland,45.61111111
W Barresi,Batter,820,76.20817844,1076,0,13,6,90,90,0,29,61,0,Netherlands,
JA Rudolph,Batter,820,66.7752443,1228,0,0,0,445,445,0,272,173,0,South Africa,
L Goodall,Batter,817,59.8973607,1364,0,0,0,471,471,0,290,181,1,South Africa,
YK Pathan,Batter,810,110.0543478,736,37,1379,1517,579,579,0,360,219,2,India,21.89189189
MF Maharoof,Batter,799,80.62563068,991,118,3113,3911,510,510,0,237,273,6,Sri Lanka,6.771186441
AC Voges,Batter,798,83.47280335,956,6,240,247,544,544,0,381,163,2,Australia,133
JN Loftie-Eaton,Batter,796,74.25373134,1072,22,498,542,55,55,0,26,29,2,Namibia,36.18181818
SIR Dunkley,Batter,789,79.45619335,993,1,1,4,513,513,0,292,221,2,England,789
Sharjeel Khan,Batter,787,113.7283237,692,0,0,0,462,462,0,223,239,0,Pakistan,
T Brits,Batter,786,69.1292876,1137,0,0,0,453,453,0,278,175,1,South Africa,
A Steyn,Batter,781,61.11111111,1278,0,0,0,438,438,0,270,168,1,South Africa,
A Hunter,Batter,776,81.68421053,950,0,0,0,162,162,0,58,104,1,Ireland,
SA Yadav,Batter,773,102.9294274,751,0,17,12,553,553,0,341,212,0,India,
N Vanua,Batter,769,78.95277207,974,56,1880,2223,63,63,0,12,51,1,Papua New Guinea,13.73214286
CA Ingram,Batter,761,81.39037433,935,0,17,6,456,456,0,280,176,3,South Africa,
AG Prince,Batter,761,67.58436945,1126,0,3,12,466,466,0,286,180,1,South Africa,
Towhid Hridoy,Batter,759,85.47297297,888,0,2,1,327,327,0,127,200,1,Bangladesh,
Kushal Malla,Batter,756,86.89655172,870,26,766,1068,65,65,0,33,32,1,Nepal,29.07692308
MG Bevan,Batter,755,64.14613424,1177,0,0,0,540,540,0,378,162,1,Australia,
G Malla,Batter,753,65.76419214,1145,1,18,19,65,65,0,33,32,0,Nepal,753
L Siaka,Batter,749,73.93879566,1013,3,153,202,62,62,0,12,50,1,Papua New Guinea,249.6666667
LS Greenway,Batter,732,65.82733813,1112,0,0,0,507,507,0,291,216,2,England,
SF Mire,Batter,729,77.22457627,944,11,420,408,277,277,0,66,211,1,Zimbabwe,66.27272727
H Madavi,Batter,729,66.69716377,1093,0,33,25,489,489,0,226,263,0,Sri Lanka,
Pargat Singh,Batter,722,77.6344086,930,5,84,116,51,51,0,18,33,2,Canada,144.4
GO Jones,Batter,715,80.97395243,883,0,0,0,518,518,0,295,223,2,England,
AT Nidamanuru,Batter,713,91.29321383,781,0,8,6,86,86,0,25,61,1,Netherlands,
SR Mukkamalla,Batter,711,82.86713287,858,0,0,0,62,62,0,29,33,1,United States of America,
Mohammad Mithun,Batter,711,75,948,0,12,13,334,334,0,131,203,0,Bangladesh,
GD Phillips,Batter,710,94.79305741,749,13,541,547,431,431,0,224,207,1,New Zealand,54.61538462
R Ashwin,Batter,707,85.07821901,831,166,5228,6358,579,579,0,360,219,3,India,4.259036145
LJ Wright,Batter,707,84.36754177,838,17,910,1050,517,517,0,295,222,0,England,41.58823529
JA Morkel,Batter,705,96.9738652,727,50,1736,1900,459,459,0,283,176,3,South Africa,14.1
SO Tikolo,Batter,705,64.26618049,1097,28,919,1089,38,38,0,13,25,0,Kenya,25.17857143
NND de Silva,Batter,703,66.07142857,1064,3,228,270,497,497,0,231,266,0,Sri Lanka,234.3333333
B Sharki,Batter,703,65.03237743,1081,0,8,6,65,65,0,33,32,1,Nepal,
BM Duckett,Batter,700,98.17671809,713,0,0,0,487,487,0,280,207,0,England,
Kycia A Knight,Batter,699,51.77777778,1350,0,0,0,423,423,0,164,259,0,West Indies,
PA Patel,Batter,693,78.39366516,884,0,0,0,567,567,0,350,217,0,India,
RM Ghosh,Batter,690,90.19607843,765,0,0,0,556,556,0,344,212,0,India,
SW Billings,Batter,690,89.84375,768,0,0,0,519,519,0,295,224,0,England,
ZE Green,Batter,686,78.66972477,872,0,0,0,55,55,0,26,29,0,Namibia,
MS Chapman,Batter,684,102.8571429,665,0,0,0,15,15,0,5,10,2,Hong Kong,
HASD Siriwardene,Batter,679,55.97691674,1213,32,1341,1695,497,497,0,231,266,0,Sri Lanka,21.21875
Umaima Sohail,Batter,670,61.69429098,1086,18,584,711,463,463,0,223,240,0,Pakistan,37.22222222
TT Samaraweera,Batter,669,73.19474836,914,1,33,30,500,500,0,232,268,2,Sri Lanka,669
GWHM Perera,Batter,668,56.75446049,1177,0,0,0,487,487,0,226,261,0,Sri Lanka,
YH Bhatia,Batter,666,69.88457503,953,0,0,0,568,568,0,351,217,1,India,
CJ Ferguson,Batter,663,83.39622642,795,0,0,0,494,494,0,346,148,1,Australia,
RH Priest,Batter,661,81.00490196,816,0,0,0,412,412,0,215,197,0,New Zealand,
HJH Marshall,Batter,661,67.44897959,980,0,0,0,441,441,0,229,212,2,New Zealand,
L Tucker,Batter,657,76.75233645,856,0,0,0,163,163,0,59,104,0,Ireland,
HC Brook,Batter,653,105.4927302,619,0,0,0,487,487,0,280,207,2,England,
CA Soper,Batter,653,55.38592027,1179,67,1774,2380,63,63,0,12,51,2,Papua New Guinea,9.746268657
CK Coventry,Batter,645,87.51696065,737,0,0,0,269,269,0,65,204,1,Zimbabwe,
Shafali Verma,Batter,644,79.21279213,813,2,76,87,568,568,0,351,217,0,India,322
Sharmin Akhter,Batter,643,56.40350877,1140,0,0,0,325,325,0,126,199,2,Bangladesh,
MADD Surangika,Batter,642,53.05785124,1210,0,0,0,497,497,0,231,266,0,Sri Lanka,
PM Weerakkody,Batter,638,54.43686007,1172,0,0,0,497,497,0,231,266,0,Sri Lanka,
Agha Salman,Batter,637,97.6993865,652,15,622,662,461,461,0,222,239,1,Pakistan,42.46666667
PSP Handscomb,Batter,632,96.34146341,656,0,0,0,542,542,0,380,162,0,Australia,
C Green,Batter,626,81.2987013,770,21,788,841,526,526,0,366,160,2,Australia,29.80952381
Gulsan Jha,Batter,625,75.57436518,827,30,937,951,63,63,0,31,32,3,Nepal,20.83333333
Sompal Kami,Batter,621,71.70900693,866,79,2168,2511,65,65,0,33,32,1,Nepal,7.860759494
JN Mohammed,Batter,621,66.84607104,929,8,342,442,425,425,0,164,261,1,West Indies,77.625
KT Perkins,Batter,618,73.74701671,838,0,0,0,426,426,0,222,204,0,New Zealand,
JN Frylinck,Batter,615,73.65269461,835,36,938,1298,55,55,0,26,29,3,Namibia,17.08333333
A Bagai,Batter,614,61.70854271,995,0,0,0,49,49,0,16,33,1,Canada,
H Thaker,Batter,612,66.81222707,916,22,617,882,51,51,0,18,33,4,Canada,27.81818182
JF Mooney,Batter,610,81.769437,746,37,1119,1242,164,164,0,60,104,0,Ireland,16.48648649
Khaled Mashud,Batter,605,53.1167691,1139,0,0,0,346,346,0,134,212,0,Bangladesh,
PL Mommsen,Batter,601,76.46310433,786,0,0,0,100,100,0,53,47,1,Scotland,
Kyshona A Knight,Batter,597,47.9903537,1244,0,32,26,428,428,0,165,263,0,West Indies,
RN ten Doeschate,Batter,594,87.09677419,682,20,654,711,73,73,0,22,51,2,Netherlands,29.7
J Botha,Batter,594,82.72980501,718,77,2839,3673,459,459,0,283,176,0,South Africa,7.714285714
BMAJ Mendis,Batter,593,80.02699055,741,31,1199,1394,511,511,0,237,274,1,Sri Lanka,19.12903226
JM Vince,Batter,590,86.51026393,682,1,38,43,519,519,0,295,224,1,England,590
N de Klerk,Batter,589,72.09302326,817,53,1362,1702,471,471,0,290,181,2,South Africa,11.11320755
Aayan Afzal Khan,Batter,585,73.95701643,791,43,1202,1801,99,99,0,34,65,3,United Arab Emirates,13.60465116
FH Allen,Batter,582,91.36577708,637,0,0,0,431,431,0,224,207,1,New Zealand,
P Vastrakar,Batter,579,86.28912072,671,29,1049,1155,568,568,0,351,217,1,India,19.96551724
TLW Cooper,Batter,576,74.22680412,776,6,282,315,73,73,0,22,51,0,Netherlands,96
WD Parnell,Batter,574,77.25437416,743,110,3090,3340,461,461,0,284,177,4,South Africa,5.218181818
BJ Watling,Batter,573,66.62790698,860,0,0,0,440,440,0,228,212,0,New Zealand,
WPUJC Vaas,Batter,569,67.33727811,845,118,3317,4806,509,509,0,236,273,4,Sri Lanka,4.822033898
AR Patel,Batter,568,90.01584786,631,67,2117,2804,580,580,0,360,220,1,India,8.47761194
L Winfield,Batter,564,70.76537014,797,0,0,0,455,455,0,261,194,0,England,
H Deol,Batter,561,76.53478854,733,2,69,87,568,568,0,351,217,2,India,280.5
MK Pandey,Batter,558,89.42307692,624,0,0,0,559,559,0,347,212,1,India,
DD Ebrahim,Batter,555,52.85714286,1050,0,5,2,265,265,0,64,201,0,Zimbabwe,
Abdullah Shafique,Batter,554,80.40638607,689,0,0,0,445,445,0,217,228,0,Pakistan,
Afif Hossain,Batter,548,86.84627575,631,3,108,105,329,329,0,127,202,1,Bangladesh,182.6666667
N Deonarine,Batter,546,62.54295533,873,4,368,399,369,369,0,144,225,1,West Indies,136.5
Babar Hayat,Batter,539,71.96261682,749,0,9,6,16,16,0,5,11,3,Hong Kong,
CA Henry,Batter,537,76.38691323,703,33,1105,1354,417,417,0,162,255,1,West Indies,16.27272727
Sandeep Goud,Batter,535,69.84334204,766,0,80,91,52,52,0,27,25,1,Oman,
L Louwrens,Batter,535,58.2788671,918,0,0,0,55,55,0,26,29,0,Namibia,
JL Jonassen,Batter,533,84.33544304,632,136,2375,3541,527,527,0,367,160,2,Australia,3.919117647
Imran Nazir,Batter,531,87.91390728,604,0,0,0,453,453,0,220,233,1,Pakistan,
J Mubarak,Batter,531,63.7454982,833,1,44,51,499,499,0,232,267,1,Sri Lanka,531
CR Brathwaite,Batter,527,85.97063622,613,46,1647,1725,418,418,0,162,256,0,West Indies,11.45652174
Mosaddek Hossain,Batter,524,80,655,16,904,1016,334,334,0,131,203,1,Bangladesh,32.75
RJ Peterson,Batter,523,82.2327044,636,76,2280,2798,463,463,0,284,179,0,South Africa,6.881578947
JP Inglis,Batter,521,99.23809524,525,0,0,0,526,526,0,366,160,0,Australia,
Nain Abidi,Batter,521,54.55497382,955,0,0,0,456,456,0,221,235,0,Pakistan,
PJ Moor,Batter,520,66.58130602,781,0,0,0,277,277,0,66,211,1,Zimbabwe,
K Doriga,Batter,520,56.09492988,927,0,0,0,63,63,0,12,51,0,Papua New Guinea,
MA Vermeulen,Batter,517,64.94974874,796,0,0,0,265,265,0,64,201,1,Zimbabwe,
BJ Hodge,Batter,516,88.5077187,583,1,51,66,522,522,0,363,159,1,Australia,516
CD Wallace,Batter,515,86.12040134,598,0,0,0,101,101,0,54,47,0,Scotland,
SV Samson,Batter,510,96.77419355,527,0,0,0,580,580,0,360,220,2,India,
Nizakat Khan,Batter,508,80.89171975,628,3,89,110,16,16,0,5,11,0,Hong Kong,169.3333333
SL Malinga,Batter,508,72.467903,701,343,9518,10803,511,511,0,237,274,7,Sri Lanka,1.481049563
LV van Beek,Batter,505,82.78688525,610,50,1619,1759,86,86,0,25,61,1,Netherlands,10.1
AN Petersen,Batter,498,81.63934426,610,0,7,9,456,456,0,280,176,0,South Africa,
SE Rutherford,Batter,497,110.4444444,450,3,161,115,358,358,0,140,218,1,West Indies,165.6666667
Shayan Jahangir,Batter,497,85.24871355,583,0,0,0,64,64,0,30,34,0,United States of America,
Mominul Haque,Batter,495,73.7704918,671,6,137,157,341,341,0,133,208,0,Bangladesh,82.5
SM Sharif,Batter,492,69.78723404,705,89,2497,3099,101,101,0,54,47,2,Scotland,5.528089888
JWM Dalrymple,Batter,487,71.93500739,677,15,686,868,508,508,0,291,217,0,England,32.46666667
AA Obanda,Batter,487,69.17613636,704,0,0,0,39,39,0,13,26,0,Kenya,
LR Down,Batter,486,60.82603254,799,0,0,0,433,433,0,225,208,1,New Zealand,
Fatima Sana,Batter,484,69.54022989,696,59,1626,1772,463,463,0,223,240,2,Pakistan,8.203389831
NR Kirton,Batter,483,74.19354839,651,4,77,114,51,51,0,18,33,1,Canada,120.75
ME Bouchier,Batter,482,103.4334764,466,0,0,0,504,504,0,289,215,1,England,
RS Williams,Batter,477,46.22093023,1032,0,0,0,417,417,0,162,255,0,West Indies,
K Verreynne,Batter,476,87.17948718,546,0,0,0,458,458,0,282,176,0,South Africa,
SW Ambris,Batter,473,93.66336634,505,0,0,0,409,409,0,158,251,1,West Indies,
N Chantam,Batter,473,68.65021771,689,0,0,0,9,9,0,8,1,3,Thailand,
WG Jacks,Batter,468,98.11320755,477,5,229,240,495,495,0,284,211,1,England,93.6
EJ Villani,Batter,468,77.22772277,606,6,216,222,527,527,0,367,160,1,Australia,78
MA Ouma,Batter,468,54.73684211,855,0,0,0,37,37,0,12,25,0,Kenya,
Javed Omar,Batter,468,48.39710445,967,0,0,0,343,343,0,134,209,0,Bangladesh,
Karan KC,Batter,457,83.24225865,549,81,1972,2323,65,65,0,33,32,4,Nepal,5.641975309
AR Nurse,Batter,454,97.84482759,464,44,2009,2187,425,425,0,164,261,1,West Indies,10.31818182
GS Ballance,Batter,454,70.17001546,647,0,0,0,511,511,0,291,220,0,England,
JE Cameron,Batter,452,75.20798669,601,0,0,0,497,497,0,348,149,1,Australia,
JL Denly,Batter,446,69.14728682,645,1,101,104,496,496,0,284,212,0,England,446
Pratika Rawal,Batter,444,89.51612903,496,2,63,54,366,366,0,215,151,2,India,222
Ghulam Shabber,Batter,444,62.01117318,716,0,0,0,93,93,0,31,62,0,United Arab Emirates,
JM Davison,Batter,443,112.7226463,393,19,513,630,49,49,0,16,33,3,Canada,23.31578947
S Lamichhane,Batter,440,88,500,120,2185,2942,65,65,0,33,32,4,Nepal,3.666666667
A Johnson,Batter,438,95.2173913,460,0,14,24,51,51,0,18,33,0,Canada,
H Hiri,Batter,435,54.78589421,794,3,114,103,63,63,0,12,51,0,Papua New Guinea,145
Murshida Khatun,Batter,429,55,780,0,0,0,333,333,0,130,203,1,Bangladesh,
A Ndiraya,Batter,428,68.58974359,624,1,16,26,270,270,0,65,205,1,Zimbabwe,428
CG Williams,Batter,427,77.63636364,550,5,201,264,52,52,0,25,27,1,Namibia,85.4
MN van Wyk,Batter,425,67.35340729,631,0,0,0,457,457,0,281,176,0,South Africa,
S Prasanna,Batter,421,91.52173913,460,33,1742,1936,507,507,0,236,271,0,Sri Lanka,12.75757576
SMA Priyanjan,Batter,420,78.79924953,533,7,236,270,508,508,0,236,272,0,Sri Lanka,60
PW Borren,Batter,413,89.20086393,463,6,442,494,73,73,0,22,51,0,Netherlands,68.83333333
FC Wilson,Batter,412,93.42403628,441,0,0,0,498,498,0,286,212,0,England,
V Krishnamurthy,Batter,410,86.31578947,475,3,58,113,561,561,0,347,214,0,India,136.6666667
RD Shah,Batter,407,62.9057187,647,0,0,0,38,38,0,13,25,0,Kenya,
Ayesha Zafar,Batter,407,53.27225131,764,0,18,27,463,463,0,223,240,0,Pakistan,
Simi Singh,Batter,406,78.52998066,517,30,615,958,151,151,0,53,98,1,Ireland,13.53333333
RMVD Gunaratne,Batter,401,69.98254799,573,0,0,0,489,489,0,226,263,0,Sri Lanka,
Ali Naseer,Batter,396,99.2481203,399,23,667,701,99,99,0,34,65,0,United Arab Emirates,17.2173913
EL Lamb,Batter,396,83.72093023,473,3,96,110,513,513,0,292,221,1,England,132
T Mishra,Batter,395,70.03546099,564,0,0,0,39,39,0,13,26,1,Kenya,
MAA Sanjeewani,Batter,395,56.509299,699,0,0,0,497,497,0,231,266,0,Sri Lanka,
AB Barath,Batter,394,62.6391097,629,0,0,0,400,400,0,155,245,0,West Indies,
MW Machan,Batter,393,79.07444668,497,4,223,226,100,100,0,53,47,0,Scotland,98.25
Suraj Kumar,Batter,392,74.80916031,524,0,0,0,52,52,0,27,25,0,Oman,
PA de Silva,Batter,390,80.08213552,487,14,487,572,509,509,0,236,273,0,Sri Lanka,27.85714286
CM McBride,Batter,386,70.4379562,548,4,102,145,82,82,0,44,38,1,Scotland,96.5
MA Jones,Batter,385,66.15120275,582,0,0,0,96,96,0,51,45,0,Scotland,
CS Baugh,Batter,382,67.85079929,563,0,0,0,422,422,0,163,259,0,West Indies,
T de Zorzi,Batter,381,95.4887218,399,0,0,0,472,472,0,291,181,1,South Africa,
J Gumbie,Batter,379,65.232358,581,0,0,0,273,273,0,66,207,0,Zimbabwe,
XM Marshall,Batter,379,55.98227474,677,0,5,4,61,61,0,29,32,0,United States of America,
M Mupachikwa,Batter,376,55.7037037,675,0,0,0,270,270,0,65,205,2,Zimbabwe,
Asif Ali,Batter,375,118.29653,317,0,9,5,446,446,0,218,228,0,Pakistan,
PJ Forrest,Batter,368,63.77816291,577,0,0,0,532,532,0,371,161,0,Australia,
MS Sinclair,Batter,367,64.8409894,566,0,0,0,425,425,0,222,203,0,New Zealand,
DW Steyn,Batter,365,61.65540541,592,212,5202,6388,469,469,0,289,180,6,South Africa,1.721698113
Tanzid Hasan,Batter,364,101.1111111,360,0,0,0,327,327,0,127,200,0,Bangladesh,
KM Dabengwa,Batter,364,57.68621236,631,15,647,715,264,264,0,64,200,0,Zimbabwe,24.26666667
SP Narine,Batter,363,79.78021978,455,99,2445,3554,427,427,0,165,262,6,West Indies,3.666666667
DT Johnston,Batter,361,76.32135307,473,39,1133,1508,164,164,0,60,104,1,Ireland,9.256410256
CB Wishart,Batter,361,72.78225806,496,0,0,0,233,233,0,57,176,1,Zimbabwe,
DG Brownlie,Batter,361,72.2,500,0,0,0,432,432,0,225,207,0,New Zealand,
Naseem Khushi,Batter,360,107.4626866,335,0,0,0,51,51,0,27,24,0,Oman,
MDN Hansika,Batter,357,47.72727273,748,0,0,0,497,497,0,231,266,0,Sri Lanka,
A Bosch,Batter,355,73.8045738,481,1,134,159,453,453,0,278,175,2,South Africa,355
J Nkomo,Batter,354,64.01446655,553,25,431,714,270,270,0,65,205,1,Zimbabwe,14.16
MDT Kamini,Batter,353,63.48920863,556,0,31,31,514,514,0,318,196,2,India,
R Trumpelmann,Batter,350,79.36507937,441,56,1324,1773,55,55,0,26,29,2,Namibia,6.25
SJ Myburgh,Batter,347,74.46351931,466,0,0,0,78,78,0,23,55,1,Netherlands,
Rumana Ahmed,Batter,346,50.65885798,683,26,669,951,301,301,0,109,192,1,Bangladesh,13.30769231
AA Alleyne,Batter,341,60.03521127,568,30,834,1021,417,417,0,162,255,0,West Indies,11.36666667
LMM Tahuhu,Batter,340,86.07594937,395,98,2511,3276,433,433,0,225,208,0,New Zealand,3.469387755
NV Knight,Batter,339,70.1863354,483,0,0,0,457,457,0,262,195,0,England,
M Vijay,Batter,339,65.69767442,516,1,38,38,579,579,0,360,219,1,India,339
B Cooper,Batter,339,58.34767642,581,0,0,0,365,365,0,143,222,0,West Indies,
R Rampaul,Batter,338,75.11111111,450,115,3136,3703,422,422,0,163,259,2,West Indies,2.939130435
Rashid Latif,Batter,335,82.10784314,408,0,0,0,426,426,0,209,217,0,Pakistan,
SS Pathirana,Batter,332,83.20802005,399,16,724,776,498,498,0,231,267,0,Sri Lanka,20.75
A Flower,Batter,332,70.33898305,472,0,0,0,233,233,0,57,176,0,Zimbabwe,
HM Rowe,Batter,332,66.26746507,501,58,1603,2075,433,433,0,225,208,1,New Zealand,5.724137931
I Kaia,Batter,332,63.84615385,520,0,22,28,273,273,0,66,207,0,Zimbabwe,
HP Tillakaratne,Batter,332,59.0747331,562,0,0,0,509,509,0,236,273,0,Sri Lanka,
KA Edwards,Batter,331,64.90196078,510,0,0,0,422,422,0,163,259,0,West Indies,
D Khanal,Batter,329,68.25726141,482,0,20,18,65,65,0,33,32,0,Nepal,
Adnan Mufti,Batter,328,79.4188862,413,0,0,0,89,89,0,31,58,1,United Arab Emirates,
SS Weerakkody,Batter,328,62.95585413,521,28,826,1122,497,497,0,231,266,0,Sri Lanka,11.71428571
SA Engelbrecht,Batter,327,63.00578035,519,0,17,12,89,89,0,28,61,0,Netherlands,
CN Ackermann,Batter,326,75.11520737,434,15,448,553,86,86,0,25,61,0,Netherlands,21.73333333
MH Yardy,Batter,326,66.53061224,490,20,1052,1289,491,491,0,282,209,0,England,16.3
SJ Baard,Batter,326,57.49559083,567,0,0,0,55,55,0,26,29,0,Namibia,
Sidra Nawaz,Batter,325,48.7987988,666,0,0,0,463,463,0,223,240,0,Pakistan,
MO Odumbe,Batter,324,89.25619835,363,7,307,364,38,38,0,13,25,1,Kenya,46.28571429
S Movva,Batter,324,67.21991701,482,0,0,0,51,51,0,18,33,0,Canada,
A Sharma,Batter,323,69.01709402,468,4,183,273,99,99,0,34,65,1,United Arab Emirates,80.75
MR Aguilleira,Batter,323,54.01337793,598,0,0,0,428,428,0,165,263,0,West Indies,
AC Agar,Batter,322,80.5,400,22,970,1107,512,512,0,356,156,1,Australia,14.63636364
MR Meshram,Batter,322,56.39229422,571,0,51,86,562,562,0,348,214,1,India,
DA Gunawardene,Batter,322,54.48392555,591,0,0,0,476,476,0,221,255,0,Sri Lanka,
AK Sah,Batter,320,87.67123288,365,0,0,0,62,62,0,31,31,1,Nepal,
R Mutumbami,Batter,319,71.36465324,447,0,0,0,276,276,0,66,210,0,Zimbabwe,
JP Kotze,Batter,316,70.37861915,449,0,0,0,54,54,0,25,29,0,Namibia,
Washington Sundar,Batter,315,81.60621762,386,23,631,807,519,519,0,323,196,0,India,13.69565217
LM Jongwe,Batter,315,79.14572864,398,28,1083,1126,273,273,0,66,207,0,Zimbabwe,11.25
D la Cock,Batter,313,65.89473684,475,0,9,12,55,55,0,26,29,0,Namibia,
KAJ Roach,Batter,308,50.49180328,610,132,3775,4472,427,427,0,165,262,3,West Indies,2.333333333
A Athanaze,Batter,306,80.95238095,378,1,19,26,412,412,0,160,252,0,West Indies,306
ADS Fletcher,Batter,305,60.6361829,503,0,26,28,404,404,0,157,247,0,West Indies,
Shamima Sultana,Batter,304,56.2962963,540,0,0,0,333,333,0,130,203,0,Bangladesh,
TK Curran,Batter,303,91.26506024,332,38,1315,1340,481,481,0,276,205,1,England,7.973684211
DO Obuya,Batter,302,51.80102916,583,0,0,0,39,39,0,13,26,0,Kenya,
LE Bosman,Batter,301,94.65408805,318,0,0,0,440,440,0,272,168,0,South Africa,
KE Bryce,Batter,301,84.07821229,358,6,101,173,97,97,0,52,45,0,Scotland,50.16666667
AR White,Batter,301,60.44176707,498,10,253,328,164,164,0,60,104,0,Ireland,30.1
PA Nixon,Batter,297,84.61538462,351,0,0,0,509,509,0,291,218,0,England,
NS Dhaliwal,Batter,295,56.40535373,523,0,20,6,51,51,0,18,33,1,Canada,
L Winfield-Hill,Batter,294,62.02531646,474,0,0,0,500,500,0,287,213,0,England,
DLS van Bunge,Batter,293,56.45472062,519,6,181,154,75,75,0,22,53,0,Netherlands,48.83333333
C Brits,Batter,292,69.35866983,421,0,5,9,389,389,0,238,151,2,South Africa,
SMSM Senanayake,Batter,290,90.34267913,321,60,1892,2384,506,506,0,236,270,1,Sri Lanka,4.833333333
MV Waldron,Batter,290,45.38341158,639,0,0,0,160,160,0,56,104,0,Ireland,
B de Leede,Batter,289,66.43678161,435,0,0,0,85,85,0,25,60,0,Netherlands,
AJ Stewart,Batter,287,70.17114914,409,0,0,0,457,457,0,262,195,0,England,
MK Tiwary,Batter,287,69.66019417,412,5,150,136,536,536,0,331,205,1,India,57.4
AF Giles,Batter,286,73.33333333,390,38,1144,1628,518,518,0,295,223,0,England,7.526315789
DN Wellalage,Batter,285,75,380,27,909,1040,490,490,0,227,263,2,Sri Lanka,10.55555556
Saud Shakeel,Batter,283,86.2804878,328,1,37,47,291,291,0,145,146,1,Pakistan,283
A Capsey,Batter,283,71.64556962,395,8,218,289,513,513,0,292,221,0,England,35.375
