player_name,role,total_runs,strike_rate,total_balls_faced,total_wickets_taken,total_runs_conceded,total_overs_bowled,total_matches_played,matches_played_as_batter,matches_played_as_bowler,matches_won,matches_lost,player_of_match_awards,team,average
IR Bell,Batter,5289,75.58953837,6997,6,89,92,518,518,0,295,223,9,England,881.5
AJ Finch,Batter,5188,84.56397718,6135,5,259,287,544,544,0,381,163,7,Australia,1037.6
BB McCullum,Batter,5157,94.50247389,5457,0,0,0,443,443,0,231,212,5,New Zealand,
BRM Taylor,Batter,5130,74.03665753,6929,4,279,262,277,277,0,66,211,4,Zimbabwe,1282.5
Mahmudullah,Batter,5127,75.45253863,6795,83,3605,4086,345,345,0,134,211,4,Bangladesh,61.77108434
MEK Hussey,Batter,5076,84.43113772,6012,4,237,249,545,545,0,381,164,11,Australia,1269
JC Buttler,Batter,5018,114.8283753,4370,0,0,0,519,519,0,295,224,13,England,
SD Hope,Batter,4989,78.14849624,6384,0,0,0,430,430,0,166,264,9,West Indies,
G Gambhir,Batter,4981,83.95415473,5933,0,13,8,579,579,0,360,219,11,India,
JP Duminy,Batter,4928,82.32542599,5986,74,3094,3460,470,470,0,290,180,7,South Africa,66.59459459
Younis Khan,Batter,4777,74.51255654,6411,1,217,222,469,469,0,227,242,10,Pakistan,4777
Misbah-ul-Haq,Batter,4752,72.56069629,6549,0,30,24,469,469,0,227,242,7,Pakistan,
DA Miller,Batter,4466,100.5629363,4441,0,0,0,470,470,0,290,180,4,South Africa,
ST Jayasuriya,Batter,4402,92.13059858,4778,105,3194,4004,510,510,0,237,273,14,Sri Lanka,41.92380952
AC Gilchrist,Batter,4355,102.2300469,4260,0,0,0,538,538,0,376,162,13,Australia,
JJ Roy,Batter,4237,102.9397473,4116,0,0,0,519,519,0,295,224,12,England,
MN Samuels,Batter,4205,74.37212593,5654,66,2952,3692,426,426,0,165,261,12,West Indies,63.71212121
KP Pietersen,Batter,4202,84.20841683,4990,8,368,403,518,518,0,295,223,9,England,525.25
PD Collingwood,Batter,4132,75.1682736,5497,96,3444,4250,518,518,0,295,223,10,England,43.04166667
TWM Latham,Batter,4019,83.39904545,4819,0,0,0,439,439,0,228,211,8,New Zealand,
L Wolvaardt,Batter,3992,71.20941848,5606,0,0,0,471,471,0,290,181,6,South Africa,
H Masakadza,Batter,3955,70.04959263,5646,22,1174,1249,277,277,0,66,211,3,Zimbabwe,179.7727273
ML Hayden,Batter,3939,79.47941889,4956,0,0,0,540,540,0,378,162,5,Australia,
TT Beaumont,Batter,3936,74.6585736,5272,0,0,0,513,513,0,292,221,10,England,
BKG Mendis,Batter,3838,85.0055371,4515,0,28,20,512,512,0,237,275,6,Sri Lanka,
S Chanderpaul,Batter,3804,67.86797502,5605,0,20,26,424,424,0,164,260,7,West Indies,
HH Gibbs,Batter,3766,84.9345963,4434,0,0,0,466,466,0,286,180,9,South Africa,
