player_name,total_matches_played,total_runs,Strike_Rate,player_of_match_awards
ML Green,433,1407,67.71,3
WIA Fernando,511,1404,84.94,6
L Ronchi,439,1397,112.57,1
MP Vaughan,509,1382,65.25,2
JR Hopes,545,1326,92.34,2
Anamul Haque,342,1322,74.06,2
KM Jadhav,576,1318,100.84,3
M Kaif,570,1314,63.72,1
Asad Shafiq,460,1312,66.06,0
BA King,430,1306,82.87,4
Mashrafe Mortaza,343,1304,81.04,9
HH Dippenaar,445,1283,67.42,7
LPC Silva,496,1279,70.86,1
Fargana Hoque,333,1275,49.4,1
DR Smith,426,1261,88.18,3
Sabbir Rahman,335,1259,90.25,0
C Munro,439,1249,103.48,0
JD Ryder,435,1242,95.98,3
RR Rossouw,451,1239,92.39,1
Imran Farhat,467,1232,64.54,1
MJ Prior,503,1229,74.39,1
DP Conway,431,1226,86.95,3
IK Pathan,563,1226,79.2,5
PG Fulton,443,1216,70.45,3
Shahriar Nafees,345,1216,66.92,3
Aliya Riaz,463,1207,63.66,1
RS Morton,408,1205,64.37,2
Mehedi Hasan Miraz,336,1188,78.36,5
Raqibul Hasan,337,1177,61.62,0
A Gardner,527,1175,100.6,4
Nida Dar,463,1171,65.64,2
SA Campbelle,420,1167,59.91,1
Nazmul Hossain Shanto,329,1165,79.96,2
KJ Martin,426,1161,75.59,1
MD Shanaka,498,1153,87.55,1
Nahida Khan,456,1121,63.69,0
L Vincent,434,1089,68.36,4
F Behardien,463,1074,96.41,1
S Samarawickrama,495,1073,90.62,2
WW Hinds,424,1066,65.56,1
Aftab Ahmed,344,1061,73.12,2
CM Edwards,507,1054,71.99,4
JI Rodrigues,578,1051,80.91,2
FDM Karunaratne,511,1044,76.6,1
SM Katich,537,1041,68.62,0
RP Arnold,509,1039,69.68,0
AD Russell,426,1034,128.45,5
KU Carty,430,1000,75.93,0
C Kieswetter,517,985,87.17,1
DS Smith,414,973,70.56,1
JN Malan,458,958,81.39,2
AJ Blackwell,516,953,75.76,2
Muneeba Ali,463,948,58.92,0
JM How,444,939,64.8,3
Imad Wasim,462,937,108.95,0
MG Johnson,545,934,93.21,6
RV Uthappa,573,934,87.29,0
KOA Powell,427,934,78.42,0
RR Hendricks,472,930,76.8,2
Nigar Sultana,333,927,48.82,2
Habibul Bashar,343,926,55.42,0
NT Broom,443,919,78.68,1
R Powell,425,915,86.81,1
P Litchfield,533,895,78.37,4
Ishan Kishan,553,886,99.55,1
JWA Taylor,511,879,79.55,3
RR Pant,576,871,102.96,1
TT Bresnan,517,871,88.52,0
PD Salt,495,866,112.47,0
TD Paine,521,861,68.88,1
PWH de Silva,478,859,102.75,4
SSJ Brooks,430,842,73.22,2
CN Nation,428,831,54.46,0
VS Solanki,518,829,69.43,1
VVS Laxman,570,828,72.5,2
BM Halliday,428,828,70.65,0
AL Phehlukwayo,470,827,83.03,1
SHT Kandamby,510,827,69.03,0
PJ Hughes,544,826,73.88,2
JA Rudolph,445,820,66.78,0
L Goodall,471,817,59.9,1
YK Pathan,579,810,110.05,2
MF Maharoof,510,799,80.63,6
AC Voges,544,798,83.47,2
SIR Dunkley,513,789,79.46,2
Sharjeel Khan,462,787,113.73,0
T Brits,453,786,69.13,1
A Steyn,438,781,61.11,1
SA Yadav,553,773,102.93,0
CA Ingram,456,761,81.39,3
AG Prince,466,761,67.58,1
Towhid Hridoy,327,759,85.47,1
MG Bevan,540,755,64.15,1
LS Greenway,507,732,65.83,2
H Madavi,489,729,66.7,0
GO Jones,518,715,80.97,2
Mohammad Mithun,334,711,75.0,0
GD Phillips,431,710,94.79,1
R Ashwin,579,707,85.08,3
LJ Wright,517,707,84.37,0
JA Morkel,459,705,96.97,3
NND de Silva,497,703,66.07,0
BM Duckett,487,700,98.18,0
Kycia A Knight,423,699,51.78,0
PA Patel,567,693,78.39,0
RM Ghosh,556,690,90.2,0
SW Billings,519,690,89.84,0
HASD Siriwardene,497,679,55.98,0
Umaima Sohail,463,670,61.69,0
TT Samaraweera,500,669,73.19,2
GWHM Perera,487,668,56.75,0
YH Bhatia,568,666,69.88,1
CJ Ferguson,494,663,83.4,1
RH Priest,412,661,81.0,0
HJH Marshall,441,661,67.45,2
HC Brook,487,653,105.49,2
Shafali Verma,568,644,79.21,0
Sharmin Akhter,325,643,56.4,2
MADD Surangika,497,642,53.06,0
PM Weerakkody,497,638,54.44,0
Agha Salman,461,637,97.7,1
PSP Handscomb,542,632,96.34,0
C Green,526,626,81.3,2
JN Mohammed,425,621,66.85,1
KT Perkins,426,618,73.75,0
Khaled Mashud,346,605,53.12,0
Kyshona A Knight,428,597,47.99,0
J Botha,459,594,82.73,0
BMAJ Mendis,511,593,80.03,1
JM Vince,519,590,86.51,1
N de Klerk,471,589,72.09,2
FH Allen,431,582,91.37,1
P Vastrakar,568,579,86.29,1
WD Parnell,461,574,77.25,4
BJ Watling,440,573,66.63,0
WPUJC Vaas,509,569,67.34,4
AR Patel,580,568,90.02,1
L Winfield,455,564,70.77,0
H Deol,568,561,76.53,2
MK Pandey,559,558,89.42,1
Abdullah Shafique,445,554,80.41,0
Afif Hossain,329,548,86.85,1
N Deonarine,369,546,62.54,1
CA Henry,417,537,76.39,1
JL Jonassen,527,533,84.34,2
Imran Nazir,453,531,87.91,1
J Mubarak,499,531,63.75,1
CR Brathwaite,418,527,85.97,0
Mosaddek Hossain,334,524,80.0,1
RJ Peterson,463,523,82.23,0
JP Inglis,526,521,99.24,0
Nain Abidi,456,521,54.55,0
BJ Hodge,522,516,88.51,1
SV Samson,580,510,96.77,2
SL Malinga,511,508,72.47,7
AN Petersen,456,498,81.64,0
SE Rutherford,358,497,110.44,1
Mominul Haque,341,495,73.77,0
JWM Dalrymple,508,487,71.94,0
LR Down,433,486,60.83,1
Fatima Sana,463,484,69.54,2
ME Bouchier,504,482,103.43,1
RS Williams,417,477,46.22,0
K Verreynne,458,476,87.18,0
SW Ambris,409,473,93.66,1
WG Jacks,495,468,98.11,1
EJ Villani,527,468,77.23,1
Javed Omar,343,468,48.4,0
AR Nurse,425,454,97.84,1
GS Ballance,511,454,70.17,0
JE Cameron,497,452,75.21,1
JL Denly,496,446,69.15,0
Pratika Rawal,366,444,89.52,2
Murshida Khatun,333,429,55.0,1
MN van Wyk,457,425,67.35,0
S Prasanna,507,421,91.52,0
SMA Priyanjan,508,420,78.8,0
FC Wilson,498,412,93.42,0
V Krishnamurthy,561,410,86.32,0
Ayesha Zafar,463,407,53.27,0
RMVD Gunaratne,489,401,69.98,0
EL Lamb,513,396,83.72,1
MAA Sanjeewani,497,395,56.51,0
AB Barath,400,394,62.64,0
PA de Silva,509,390,80.08,0
CS Baugh,422,382,67.85,0
T de Zorzi,472,381,95.49,1
Asif Ali,446,375,118.3,0
PJ Forrest,532,368,63.78,0
MS Sinclair,425,367,64.84,0
DW Steyn,469,365,61.66,6
Tanzid Hasan,327,364,101.11,0
SP Narine,427,363,79.78,6
DG Brownlie,432,361,72.2,0
MDN Hansika,497,357,47.73,0
A Bosch,453,355,73.8,2
MDT Kamini,514,353,63.49,2
Rumana Ahmed,301,346,50.66,1
AA Alleyne,417,341,60.04,0
LMM Tahuhu,433,340,86.08,0
NV Knight,457,339,70.19,0
M Vijay,579,339,65.7,1
B Cooper,365,339,58.35,0
R Rampaul,422,338,75.11,2
Rashid Latif,426,335,82.11,0
SS Pathirana,498,332,83.21,0
HM Rowe,433,332,66.27,1
HP Tillakaratne,509,332,59.07,0
KA Edwards,422,331,64.9,0
SS Weerakkody,497,328,62.96,0
MH Yardy,491,326,66.53,0
Sidra Nawaz,463,325,48.8,0
MR Aguilleira,428,323,54.01,0
AC Agar,512,322,80.5,1
MR Meshram,562,322,56.39,1
DA Gunawardene,476,322,54.48,0
Washington Sundar,519,315,81.61,0
KAJ Roach,427,308,50.49,3
A Athanaze,412,306,80.95,0
ADS Fletcher,404,305,60.64,0
Shamima Sultana,333,304,56.3,0
TK Curran,481,303,91.27,1
LE Bosman,440,301,94.65,0
PA Nixon,509,297,84.62,0
L Winfield-Hill,500,294,62.03,0
C Brits,389,292,69.36,2
SMSM Senanayake,506,290,90.34,1
AJ Stewart,457,287,70.17,0
MK Tiwary,536,287,69.66,1
AF Giles,518,286,73.33,0
DN Wellalage,490,285,75.0,2
A Capsey,513,283,71.65,0
PRCS Kumarihami,487,283,37.04,0
ASS Fletcher,428,282,64.98,0
S Chattergoon,408,281,63.72,0
S Randiv,507,280,71.79,1
Hannan Sarkar,340,280,52.14,0
Moin Khan,448,274,86.16,0
DT Christian,532,273,87.22,0
PS Punia,552,273,54.27,1
S Ismail,471,273,49.55,7
GH Worker,415,272,69.92,0
Umar Amin,460,271,66.42,0
MJ Henry,437,268,91.16,6
TA Blundell,416,266,86.08,0
Shamsur Rahman,303,266,74.51,1
B Bezuidenhout,433,266,71.89,0
AJ Hosein,407,266,70.93,0
LA Marsh,489,264,56.77,1
Diana Baig,463,262,68.95,0
Sadaf Shamas,434,262,52.82,0
Taufeeq Umar,415,262,51.98,1
UDU Chandana,457,260,66.16,2
IDR Bradshaw,424,259,61.23,2
GE Plimmer,428,256,62.44,0
Tushar Imran,346,250,52.41,0
JD Campbell,303,248,113.76,1
SM Davies,496,244,102.09,1
ML Udawatte,499,243,66.21,0
DC Thomas,427,238,62.8,0
GJ Hopkins,444,236,74.45,0
Abid Ali,335,234,91.05,1
JM Kerr,428,232,105.94,0
HMD Rasangika,464,232,58.0,1
A Mohammed,428,232,40.85,2
NY McLean,386,231,63.81,0
STR Binny,536,230,91.27,1
TM Dowlin,401,228,62.98,0
I Udana,511,227,96.19,1
Jahurul Islam,341,226,69.54,0
Asmavia Iqbal,456,225,52.33,0
S Mostary,325,224,57.29,0
BR McDermott,341,223,79.64,0
P Mustard,501,219,89.75,0
T Stubbs,424,218,93.97,1
Saeed Anwar,426,218,68.55,0
Iram Javed,442,216,56.84,0
