player_name,Total_Balls_Faced,Total_Runs,Runs_Per_Ball
MH Cross,2464,1675,0.679788961038961
BC Lara,2455,1878,0.764969450101833
SS Iyer,2444,2396,0.9803600654664485
MP O'Dowd,2441,1682,0.6890618598934862
JO Holder,2431,2144,0.8819415878239407
MM Ali,2418,2278,0.9421009098428453
NJ O'Brien,2394,1692,0.706766917293233
A Flintoff,2366,2096,0.885883347421809
Shubman Gill,2351,2328,0.9902169289663972
PG Raut,2350,1436,0.6110638297872341
MG Erasmus,2308,1810,0.7842287694974004
Javeria Khan,2289,1408,0.6151157710790738
KD Karthik,2275,1624,0.7138461538461538
Rohan Mustafa,2261,1401,0.6196373286156568
AT Carey,2257,1978,0.8763845813026141
MD Patel,2239,1792,0.8003573023671282
MS Wade,2226,1792,0.8050314465408805
Yasir Hameed,2225,1459,0.6557303370786517
RK Paudel,2224,1629,0.7324640287769785
E Lewis,2219,1903,0.857593510590356
Yousuf Youhana,2208,1740,0.7880434782608695
CK Kapugedera,2157,1505,0.6977283263792304
P Nissanka,2152,1810,0.8410780669144982
KJ O'Brien,2151,1990,0.9251510925151093
Soumya Sarkar,2145,2044,0.9529137529137529
AT Rayudu,2143,1637,0.7638824078394774
M Labuschagne,2130,1764,0.828169014084507
MP Vaughan,2118,1382,0.6525023607176582
KIC Asalanka,2090,1810,0.8660287081339713
ML Green,2078,1407,0.6770933589990376
NJ Astle,2078,1571,0.7560153994225216
DJS Dottin,2070,1679,0.8111111111111111
NE Bolton,2069,1443,0.6974383760270663
T Chetty,2064,1414,0.685077519379845
M Kaif,2062,1314,0.6372453928225025
GH Lewis,2043,1348,0.6598139990210474
Haris Sohail,2010,1709,0.8502487562189055
Asad Shafiq,1986,1312,0.6606243705941591
S Matsikenyeri,1968,1309,0.6651422764227642
HG Munsey,1967,1675,0.8515505846466701
OA Shah,1963,1579,0.804381049414162
SA Campbelle,1948,1167,0.5990759753593429
Aasif Sheikh,1943,1423,0.7323726196603191
SJ Taylor,1932,1651,0.8545548654244306
HT Tector,1931,1622,0.8399792853443812
Nasir Jamshed,1931,1418,0.7343345416882444
DJG Sammy,1926,1853,0.9620976116303219
N Pooran,1913,1829,0.9560899111343439
DJ Hussey,1912,1672,0.8744769874476988
Raqibul Hasan,1910,1177,0.6162303664921466
Imran Farhat,1909,1232,0.645364064955474
HH Dippenaar,1903,1283,0.674198633736206
Jatinder Singh,1900,1356,0.7136842105263158
Nigar Sultana,1899,927,0.4881516587677725
MD Gunathilaka,1899,1592,0.8383359662980516
Aliya Riaz,1896,1207,0.6366033755274262
RS Morton,1872,1205,0.6436965811965812
UT Khawaja,1865,1539,0.825201072386059
DN Wyatt,1851,1680,0.9076175040518638
J Charles,1840,1544,0.8391304347826087
Shahriar Nafees,1817,1216,0.6692350027517887
LPC Silva,1805,1279,0.7085872576177286
Anamul Haque,1785,1322,0.7406162464985995
Nida Dar,1784,1171,0.656390134529148
T Bavuma,1774,1548,0.8726042841037204
Nahida Khan,1760,1121,0.6369318181818182
N Dickwella,1758,1604,0.9124004550625711
PG Fulton,1726,1216,0.7045191193511008
H Klaasen,1719,1977,1.150087260034904
Vikramjit Singh,1692,1190,0.7033096926713948
DJ Mitchell,1673,1616,0.9659294680215182
Habibul Bashar,1671,926,0.5541591861160982
SA Edwards,1659,1504,0.9065702230259193
WA Young,1655,1426,0.861631419939577
WIA Fernando,1653,1404,0.8493647912885662
GC Wilson,1653,1232,0.7453115547489413
MJ Prior,1652,1229,0.7439467312348669
RW Chakabva,1650,1106,0.6703030303030303
Aarif Sheikh,1648,1032,0.6262135922330098
HH Pandya,1636,1762,1.0770171149144254
Waseem Muhammad,1628,1398,0.8587223587223587
WW Hinds,1626,1066,0.6555965559655597
MP Stoinis,1622,1489,0.9180024660912454
Mashrafe Mortaza,1609,1304,0.8104412678682411
Muneeba Ali,1609,948,0.5891858297078931
L Vincent,1593,1089,0.6836158192090396
BA King,1576,1306,0.8286802030456852
CP Rizwan,1573,901,0.5727908455181182
IK Pathan,1548,1226,0.7919896640826873
CJA Amini,1545,952,0.6161812297734628
JDS Neesham,1538,1508,0.9804941482444733
KJ Martin,1536,1161,0.755859375
Junaid Siddique,1531,1021,0.666884389288047
TP Ura,1526,1196,0.783748361730013
CN Nation,1526,831,0.5445609436435125
SM Katich,1517,1041,0.6862228081740277
Mehedi Hasan Miraz,1516,1188,0.783641160949868
DJ Malan,1504,1418,0.9428191489361702
K Bhurtel,1498,1182,0.7890520694259012
RP Arnold,1491,1039,0.6968477531857814
S Bau,1483,874,0.5893459204315576
Chirag Suri,1472,924,0.6277173913043478
CM Edwards,1464,1054,0.7199453551912568
SJ Modani,1460,898,0.6150684931506849
Nazmul Hossain Shanto,1457,1165,0.7995881949210707
Aftab Ahmed,1451,1061,0.7312198483804273
JM How,1449,939,0.6480331262939959
M van Lingen,1442,1300,0.9015256588072122
JR Hopes,1436,1326,0.9233983286908078
DR Smith,1430,1261,0.8818181818181818
Asif Khan,1426,1155,0.8099579242636746
DP Conway,1410,1226,0.8695035460992908
Sabbir Rahman,1395,1259,0.9025089605734767
MN Waller,1383,1039,0.7512653651482285
DS Smith,1379,973,0.7055837563451777
L Goodall,1364,817,0.5989736070381232
FDM Karunaratne,1363,1044,0.7659574468085106
KH Prajapati,1351,996,0.7372316802368616
Kycia A Knight,1350,699,0.5177777777777778
CL Tryon,1344,1440,1.0714285714285714
RR Rossouw,1341,1239,0.9239373601789709
SO Hetmyer,1335,1410,1.0561797752808988
KU Carty,1317,1000,0.7593014426727411
MD Shanaka,1317,1153,0.8754745634016705
KM Jadhav,1307,1318,1.008416220351951
JI Rodrigues,1299,1051,0.8090839107005389
JD Ryder,1294,1242,0.9598145285935085
A Steyn,1278,781,0.6111111111111112
AJ Blackwell,1258,953,0.7575516693163752
TD Paine,1250,861,0.6888
Kyshona A Knight,1244,597,0.47990353697749194
L Ronchi,1241,1397,1.1257050765511685
JA Rudolph,1228,820,0.6677524429967426
DS Airee,1217,861,0.7074774034511093
HASD Siriwardene,1213,679,0.5597691673536686
Muhammad Usman,1212,888,0.7326732673267327
RR Hendricks,1211,930,0.7679603633360859
MADD Surangika,1210,642,0.5305785123966942
C Munro,1207,1249,1.0347970173985086
TM Odoyo,1201,830,0.6910907577019151
SHT Kandamby,1198,827,0.6903171953255426
VS Solanki,1194,829,0.6943048576214406
KOA Powell,1191,934,0.7842149454240135
S Samarawickrama,1184,1073,0.90625
CA Soper,1179,653,0.5538592027141646
JN Malan,1177,958,0.8139337298215803
GWHM Perera,1177,668,0.5675446049277825
MG Bevan,1177,755,0.6414613423959218
MA Leask,1173,1306,1.113384484228474
BM Halliday,1172,828,0.7064846416382252
PM Weerakkody,1172,638,0.5443686006825939
A Gardner,1168,1175,1.0059931506849316
NT Broom,1168,919,0.7868150684931506
JJ Smit,1167,839,0.7189374464438731
Shaiman Anwar,1162,947,0.814974182444062
G Singh,1155,938,0.8121212121212121
SSJ Brooks,1150,842,0.7321739130434782
G Malla,1145,753,0.6576419213973799
P Litchfield,1142,895,0.7837127845884413
VVS Laxman,1142,828,0.7250437828371279
Sharmin Akhter,1140,643,0.5640350877192982
Khaled Mashud,1139,605,0.5311676909569798
T Brits,1137,786,0.6912928759894459
C Kieswetter,1130,985,0.8716814159292036
AG Prince,1126,761,0.6758436944937833
PJ Hughes,1118,826,0.738819320214669
Rameez Shahzad,1118,848,0.7584973166368515
F Behardien,1114,1074,0.9640933572710951
LS Greenway,1112,732,0.658273381294964
JWA Taylor,1105,879,0.7954751131221719
O Prendergast,1104,821,0.7436594202898551
SO Tikolo,1097,705,0.6426618049225159
H Madavi,1093,729,0.666971637694419
Umaima Sohail,1086,670,0.6169429097605893
B Sharki,1081,703,0.6503237742830712
W Barresi,1076,820,0.7620817843866171
JN Loftie-Eaton,1072,796,0.7425373134328358
RV Uthappa,1070,934,0.8728971962616823
NND de Silva,1064,703,0.6607142857142857
BJ McMullen,1058,888,0.8393194706994329
R Powell,1054,915,0.8681214421252372
DD Ebrahim,1050,555,0.5285714285714286
RS Williams,1032,477,0.4622093023255814
Shoaib Khan,1025,843,0.8224390243902439
L Siaka,1013,749,0.7393879565646594
MG Johnson,1002,934,0.9321357285429142
AL Phehlukwayo,996,827,0.8303212851405622
A Bagai,995,614,0.6170854271356784
SIR Dunkley,993,789,0.7945619335347432
MF Maharoof,991,799,0.8062563067608476
TT Bresnan,984,871,0.8851626016260162
HJH Marshall,980,661,0.6744897959183673
N Vanua,974,769,0.7895277207392197
Javed Omar,967,468,0.483971044467425
AC Voges,956,798,0.8347280334728033
Nain Abidi,955,521,0.5455497382198953
YH Bhatia,953,666,0.6988457502623295
A Hunter,950,776,0.8168421052631579
Mohammad Mithun,948,711,0.75
