player_name,total_runs,total_wickets_taken,player_of_match_awards,Impact_Score
LL Tsotsobe,58,102,3,2398
MD Patel,1792,0,6,2392
Bismah Maroof,1938,12,2,2378
DN Wyatt,1680,14,4,2360
Mohammad Rizwan,2254,0,1,2354
EC Joyce,1845,0,5,2345
RK Paudel,1629,10,5,2329
HM Nicholls,2116,0,2,2316
E Lewis,1903,0,4,2303
Sompal Kami,621,79,1,2301
LMM Tahuhu,340,98,0,2300
MS Atapattu,1978,0,3,2278
SJ Taylor,1651,0,6,2251
NJ Astle,1571,8,5,2231
Inzamam-ul-Haq,1916,0,3,2216
CA Soper,653,67,2,2193
KM Jadhav,1318,28,3,2178
AT Carey,1978,0,2,2178
LMP Simmons,1958,1,2,2178
D Ramdin,2072,0,1,2172
Haris Sohail,1709,13,2,2169
DJ Hussey,1672,19,1,2152
Yousuf Youhana,1740,0,4,2140
MM Patel,74,93,2,2134
J Botha,594,77,0,2134
MP O'Dowd,1682,1,4,2102
Sidra Ameen,1595,0,5,2095
MS Wade,1792,0,3,2092
M Labuschagne,1764,6,2,2084
NE Bolton,1443,2,6,2083
N Pooran,1829,6,1,2049
Zahoor Khan,143,95,0,2043
V Aravind,1843,0,2,2043
RJ Peterson,523,76,0,2043
P Nissanka,1810,0,2,2010
AR Patel,568,67,1,2008
JA Morkel,705,50,3,2005
WIA Fernando,1404,0,6,2004
AT Rayudu,1637,3,3,1997
N Vanua,769,56,1,1989
Azhar Ali,1806,4,1,1986
HH Dippenaar,1283,0,7,1983
DS Airee,861,46,2,1981
BC Lara,1878,0,1,1978
MH Cross,1675,0,3,1975
BJ McMullen,888,39,3,1968
MD Gunathilaka,1592,8,2,1952
Haris Rauf,70,79,3,1950
RP Singh,135,80,2,1935
TM Odoyo,830,45,2,1930
WA Young,1426,0,5,1926
Aasif Sheikh,1423,0,5,1923
OA Shah,1579,7,2,1919
NJ O'Brien,1692,0,2,1892
DJ Mitchell,1616,13,0,1876
Fatima Sana,484,59,2,1864
Yasir Hameed,1459,0,4,1859
BM Scholtz,251,70,2,1851
N de Klerk,589,53,2,1849
J Charles,1544,0,3,1844
M Klaas,103,77,2,1843
UT Khawaja,1539,0,3,1839
IDR Bradshaw,259,69,2,1839
DJ Malan,1418,1,4,1838
Nashra Sandhu,89,87,0,1829
Imad Wasim,937,44,0,1817
CJA Amini,952,33,2,1812
SO Hetmyer,1410,0,4,1810
SA Edwards,1504,0,3,1804
HG Munsey,1675,0,1,1775
Javeria Khan,1408,8,2,1768
S Sreesanth,44,81,1,1764
JD Ryder,1242,11,3,1762
MP Vaughan,1382,9,2,1762
YK Pathan,810,37,2,1750
T Bavuma,1548,0,2,1748
Aayan Afzal Khan,585,43,3,1745
M van Lingen,1300,2,4,1740
PG Raut,1436,0,3,1736
KD Karthik,1624,0,1,1724
K Bhurtel,1182,12,3,1722
JJ Smit,839,39,1,1719
Nasir Jamshed,1418,0,3,1718
T Chetty,1414,0,3,1714
GH Lewis,1348,8,2,1708
ML Green,1407,0,3,1707
BA King,1306,0,4,1706
N Dickwella,1604,0,1,1704
MD Shanaka,1153,22,1,1693
R Trumpelmann,350,56,2,1670
HT Tector,1622,2,0,1662
CK Kapugedera,1505,2,1,1645
JN Frylinck,615,36,3,1635
S Matsikenyeri,1309,15,0,1609
WW Hinds,1066,22,1,1606
LV van Beek,505,50,1,1605
Waseem Muhammad,1398,0,2,1598
HM Rowe,332,58,1,1592
A Mohammed,232,58,2,1592
SMSM Senanayake,290,60,1,1590
Jatinder Singh,1356,1,2,1576
Aliya Riaz,1207,13,1,1567
Asif Khan,1155,0,4,1555
SW Tait,25,66,2,1545
Vikramjit Singh,1190,7,2,1530
DP Conway,1226,0,3,1526
Gulsan Jha,625,30,3,1525
Anamul Haque,1322,0,2,1522
Shahriar Nafees,1216,0,3,1516
PG Fulton,1216,0,3,1516
L Vincent,1089,1,4,1509
ASS Fletcher,282,61,0,1502
L Ronchi,1397,0,1,1497
CM Edwards,1054,2,4,1494
AJ Hosein,266,60,0,1466
H Thaker,612,22,4,1452
CR Brathwaite,527,46,0,1447
JN Loftie-Eaton,796,22,2,1436
AR Nurse,454,44,1,1434
C Munro,1249,9,0,1429
LA Marsh,264,53,1,1424
I Ranaweera,179,62,0,1419
WB Rankin,78,67,0,1418
M Kaif,1314,0,1,1414
F Behardien,1074,12,1,1414
RS Morton,1205,0,2,1405
LPC Silva,1279,1,1,1399
D Gough,137,58,1,1397
Aarif Sheikh,1032,8,2,1392
LM Kasperek,148,57,1,1388
Nazmul Hossain Shanto,1165,1,2,1385
Kushal Malla,756,26,1,1376
Fargana Hoque,1275,0,1,1375
Imran Farhat,1232,2,1,1372
RR Rossouw,1239,1,1,1359
G Singh,938,6,3,1358
JI Rodrigues,1051,5,2,1351
JF Mooney,610,37,0,1350
SA Campbelle,1167,4,1,1347
Aftab Ahmed,1061,4,2,1341
S Bau,874,13,2,1334
JM Kerr,232,55,0,1332
GC Wilson,1232,0,1,1332
MJ Prior,1229,0,1,1329
CJ Jordan,184,47,2,1324
MN Waller,1039,9,1,1319
Sabbir Rahman,1259,3,0,1319
HASD Siriwardene,679,32,0,1319
BMAJ Mendis,593,31,1,1313
Asad Shafiq,1312,0,0,1312
CA Henry,537,33,1,1297
TP Ura,1196,0,1,1296
P Litchfield,895,0,4,1295
B Muzarabani,114,54,1,1294
O Prendergast,821,18,1,1281
S Samarawickrama,1073,0,2,1273
SO Tikolo,705,28,0,1265
KJ Martin,1161,0,1,1261
P Vastrakar,579,29,1,1259
C Green,626,21,2,1246
DT Johnston,361,39,1,1241
JM How,939,0,3,1239
UDU Chandana,260,38,2,1220
RP Arnold,1039,8,0,1199
RN ten Doeschate,594,20,2,1194
JWA Taylor,879,0,3,1179
Raqibul Hasan,1177,0,0,1177
TK Curran,303,38,1,1163
JN Malan,958,0,2,1158
AJ Blackwell,953,0,2,1153
RR Hendricks,930,1,2,1150
FDM Karunaratne,1044,0,1,1144
S Randiv,280,38,1,1140
Syed Rasel,76,53,0,1136
Nigar Sultana,927,0,2,1127
JM Davison,443,19,3,1123
Diana Baig,262,43,0,1122
Nahida Khan,1121,0,0,1121
AC Voges,798,6,2,1118
RW Chakabva,1106,0,0,1106
Simi Singh,406,30,1,1106
KH Prajapati,996,0,1,1096
C Kieswetter,985,0,1,1085
Shoaib Khan,843,2,2,1083
S Prasanna,421,33,0,1081
R Powell,915,3,1,1075
KW Richardson,75,45,1,1075
DS Smith,973,0,1,1073
GD Phillips,710,13,1,1070
CA Ingram,761,0,3,1061
SF Mire,729,11,1,1049
LJ Wright,707,17,0,1047
Shaiman Anwar,947,5,0,1047
AF Giles,286,38,0,1046
SI Mahmood,84,38,2,1044
AR Cusack,264,34,1,1044
SSJ Brooks,842,0,2,1042
SM Katich,1041,0,0,1041
Agha Salman,637,15,1,1037
Umaima Sohail,670,18,0,1030
VVS Laxman,828,0,2,1028
PJ Hughes,826,0,2,1026
DN Wellalage,285,27,2,1025
Chirag Suri,924,0,1,1024
Pargat Singh,722,5,2,1022
CP Rizwan,901,1,1,1021
NT Broom,919,0,1,1019
JDF Vandersay,112,40,1,1012
Shoriful Islam,91,46,0,1011
SIR Dunkley,789,1,2,1009
KU Carty,1000,0,0,1000
SJ Modani,898,0,1,998
Ishan Kishan,886,0,1,986
RR Pant,871,0,1,971
BM Halliday,828,7,0,968
Rumana Ahmed,346,26,1,966
TD Paine,861,0,1,961
J Nkomo,354,25,1,954
VS Solanki,829,1,1,949
Muneeba Ali,948,0,0,948
Rameez Shahzad,848,0,1,948
Mosaddek Hossain,524,16,1,944
AA Alleyne,341,30,0,941
S Dhaniram,281,23,2,941
RV Uthappa,934,0,0,934
KOA Powell,934,0,0,934
LS Greenway,732,0,2,932
Habibul Bashar,926,0,0,926
AR Adams,165,28,2,925
D Bishoo,164,38,0,924
KP Meiyappan,163,38,0,923
L Goodall,817,0,1,917
GO Jones,715,0,2,915
L Siaka,749,3,1,909
GB Brent,192,25,2,892
TT Samaraweera,669,1,2,889
SS Weerakkody,328,28,0,888
Muhammad Usman,888,0,0,888
T Brits,786,0,1,886
MS Chapman,684,0,2,884
A Steyn,781,0,1,881
JN Mohammed,621,8,1,881
LN Rajbanshi,37,42,0,877
A Hunter,776,0,1,876
LM Jongwe,315,28,0,875
T Mupariwa,87,39,0,867
SHT Kandamby,827,2,0,867
PD Salt,866,0,0,866
AC Agar,322,22,1,862
Sohag Gazi,182,24,2,862
AG Prince,761,0,1,861
HJH Marshall,661,0,2,861
Towhid Hridoy,759,0,1,859
Ali Naseer,396,23,0,856
MG Bevan,755,0,1,855
HC Brook,653,0,2,853
Sharmin Akhter,643,0,2,843
GT Main,82,33,1,842
Babar Hayat,539,0,3,839
CN Nation,831,0,0,831
PJ Ongondo,150,34,0,830
O Thomas,22,30,2,822
Kashif Daud,282,17,2,822
RM Haq,181,27,1,821
W Barresi,820,0,0,820
JA Rudolph,820,0,0,820
AT Nidamanuru,713,0,1,813
JH Davey,193,26,1,813
SR Mukkamalla,711,0,1,811
B Sharki,703,0,1,803
M Kartik,102,30,1,802
H Deol,561,2,2,801
Mohammad Wasim,80,36,0,800
Mohammad Nawaz,173,21,2,793
TL Best,72,36,0,792
D Hazell,109,34,0,789
Sharjeel Khan,787,0,0,787
JWM Dalrymple,487,15,0,787
Washington Sundar,315,23,0,775
SA Yadav,773,0,0,773
G Malla,753,1,0,773
N Chantam,473,0,3,773
I Udana,227,22,1,767
YH Bhatia,666,0,1,766
Asmavia Iqbal,225,27,0,765
NND de Silva,703,3,0,763
CJ Ferguson,663,0,1,763
S Horley,276,9,3,756
STR Binny,230,21,1,750
CK Coventry,645,0,1,745
H Madavi,729,0,0,729
MH Yardy,326,20,0,726
N Deonarine,546,4,1,726
IJR Zwilling,145,29,0,725
Hasan Mahmud,37,29,1,717
Saad Bin Zafar,217,25,0,717
A Bagai,614,0,1,714
Mohammad Mithun,711,0,0,711
JM Vince,590,1,1,710
SV Samson,510,0,2,710
Afif Hossain,548,3,1,708
S Rana,184,26,0,704
M Prasidh Krishna,2,30,1,702
PL Mommsen,601,0,1,701
BM Duckett,700,0,0,700
Kycia A Knight,699,0,0,699
PP Chawla,38,33,0,698
TLW Cooper,576,6,0,696
PA Patel,693,0,0,693
DT Christian,273,21,0,693
SW Billings,690,0,0,690
RM Ghosh,690,0,0,690
EJ Villani,468,6,1,688
ZE Green,686,0,0,686
Pratika Rawal,444,2,2,684
Shafali Verma,644,2,0,684
