player_name,total_runs,total_wickets_taken,player_of_match_awards,Impact_Score
DJM Short,211,0,0,211
Lata Mondal,170,2,0,210
MA Aponso,10,10,0,210
TK Musakanda,210,0,0,210
NRJ Croes,207,0,0,207
MM English,107,0,1,207
Khurram Manzoor,206,0,0,206
HS Modi,205,0,0,205
MKDI Amerasinghe,5,10,0,205
PLS Gamage,4,10,0,204
AA Jangoo,104,0,1,204
Avesh Khan,23,9,0,203
S Nitschke,81,1,1,201
S Sriharsha,200,0,0,200
NB Mahwire,40,8,0,200
Z Crawley,199,0,0,199
Saleem Elahi,199,0,0,199
TG Norris,59,7,0,199
GM Ewing,77,6,0,197
IH Romaine,175,1,0,195
Raza-ur-Rehman,174,1,0,194
PJ Ingram,193,0,0,193
HRA Rainey,12,9,0,192
S Siegers,11,9,0,191
SA Wijeratne,191,0,0,191
A Saud,189,0,0,189
BB Chari,186,0,0,186
G Kirsten,186,0,0,186
F Mutizwa,183,0,0,183
ND McKenzie,182,0,0,182
SM Benade,100,4,0,180
CMA Shillington,179,0,0,179
DM Richards,179,0,0,179
JA McCollum,178,0,0,178
MJ Cosgrove,78,0,1,178
B Zuiderent,178,0,0,178
S Gajnabi,77,5,0,177
IC Gaze,176,0,0,176
AB Kaur,55,6,0,175
S Forbes,175,0,0,175
HK Badani,135,2,0,175
G Voll,173,0,0,173
GM Harris,13,8,0,173
GM Hamilton,173,0,0,173
Mohammad Boota,173,0,0,173
CW Perchard,31,7,0,171
SJ Bryce,171,0,0,171
TK Patel,71,5,0,171
Najiha Alvi,170,0,0,170
KH Pandya,130,2,0,170
T Muzarabani,10,8,0,170
TSS Mackintosh,169,0,0,169
J Jarvis,28,7,0,168
SACA King,126,2,0,166
Nurul Hasan,165,0,0,165
ST Doheny,165,0,0,165
D Devnarain,145,1,0,165
H Carlyon,125,2,0,165
W O'Rourke,5,8,0,165
MJ Lumb,165,0,0,165
Shan Masood,163,0,0,163
AM Bacher,102,3,0,162
Y Venugopal Rao,161,0,0,161
BT Foakes,61,0,1,161
SJ McGlashan,160,0,0,160
FRJ Coleman,160,0,0,160
Akshay Homraj,159,0,0,159
TMM Newton,38,6,0,158
D Parashar,58,5,0,158
N Shangase,38,6,0,158
T Kaitano,157,0,0,157
Marina Iqbal,137,1,0,157
Waqar Younis,17,7,0,157
CJO Smith,157,0,0,157
SRH Curtis,156,0,0,156
CMW Read,156,0,0,156
A Kolan,155,0,0,155
P Molkenboer,135,1,0,155
Muhammad Jawadullah,14,7,0,154
MB Kruger,154,0,0,154
C Zhuwao,154,0,0,154
SP Patil,153,0,0,153
BCJ Cutting,53,5,0,153
TJ Friend,132,1,0,152
Qanita Jalil,32,6,0,152
D Ganga,152,0,0,152
AJ Redmond,152,0,0,152
AA Mulla,150,0,0,150
B Ward,69,4,0,149
BOP Fernando,148,0,0,148
BN Cooper,148,0,0,148
BYA Mendis,147,0,0,147
Khalid Latif,147,0,0,147
Nazimuddin,147,0,0,147
JA Burns,146,0,0,146
K Zondo,146,0,0,146
S Thuraisingam,26,6,0,146
NG Smith,26,6,0,146
OV Anderson,46,0,1,146
SM Kavanagh,126,1,0,146
S Jafta,144,0,0,144
CO Browne,144,0,0,144
D Elgar,104,2,0,144
HJW Gardiner,142,0,0,142
VV Morea,142,0,0,142
MB Loye,142,0,0,142
RD Jacobs,142,0,0,142
KJJ van Noortwijk,141,0,0,141
KNA Bandara,141,0,0,141
M Bhanuka,140,0,0,140
CT Dhururu,140,0,0,140
TS Hasabnis,140,0,0,140
D Myers,138,0,0,138
R Malhotra,118,1,0,138
KA Hope,138,0,0,138
T Bhatia,138,0,0,138
N Vare,138,0,0,138
S Verma,135,0,0,135
JB Reva,15,6,0,135
Faisal Iqbal,134,0,0,134
T Banton,134,0,0,134
PA Browne,134,0,0,134
JL Smith,133,0,0,133
OEG Baartman,13,6,0,133
D Keulder,132,0,0,132
GA Rogers,32,5,0,132
LP van Troost,112,1,0,132
KE Ebrahim,52,4,0,132
MK Villiers,32,5,0,132
DR Brown,72,3,0,132
TS Kamunhukamwe,131,0,0,131
DF Watts,130,0,0,130
GC Tonge,10,6,0,130
D Bau,130,0,0,130
RTM Mendis,50,4,0,130
PM Liyanagamage,28,5,0,128
Nafees Iqbal,128,0,0,128
SA Fritz,28,5,0,128
N Hussain,127,0,0,127
ZE Surkari,127,0,0,127
B Sai Sudharsan,127,0,0,127
CE Coulter Reilly,126,0,0,126
AE Smith,45,4,0,125
IM Vaghela,45,4,0,125
SG Whittingham,5,6,0,125
Z Groenewald,4,6,0,124
RS Kaluwitharana,124,0,0,124
Dhiman Ghosh,124,0,0,124
RP Lefebvre,43,4,0,123
PA Jaques,123,0,0,123
B Tau,123,0,0,123
Usman Limbada,123,0,0,123
E Mbofana,22,5,0,122
PA Desai,2,6,0,122
Ayasha Rahman,122,0,0,122
JP Maher,122,0,0,122
AL Hodgkinson,121,0,0,121
CJ Metcalfe,21,5,0,121
NE Farrant,41,4,0,121
K Weeraratne,120,0,0,120
N Koncharoenkai,120,0,0,120
Fariha Trisna,0,6,0,120
J Edness,119,0,0,119
JW Jenner,119,0,0,119
BJ Patel,118,0,0,118
J Anderson,118,0,0,118
JL Ontong,97,1,0,117
Khalid Kail,117,0,0,117
RD Gaikwad,115,0,0,115
Zulfiqar Babar,35,4,0,115
S Meghana,114,0,0,114
MA Carberry,114,0,0,114
RS Gavaskar,93,1,0,113
Jaker Ali,113,0,0,113
D Joseph,13,5,0,113
L Jack,113,0,0,113
DP Hyatt,112,0,0,112
TS Nethula,12,5,0,112
RN Bhatia,51,3,0,111
SC Kuggeleijn,11,5,0,111
C Carter,111,0,0,111
AN Kervezee,110,0,0,110
Mukesh Kumar,10,5,0,110
SV Carlisle,110,0,0,110
N Dutta,70,2,0,110
LHD Dilhara,49,3,0,109
C Abel,9,5,0,109
SSD Arachchige,89,1,0,109
R Murray,108,0,0,108
A Maregwede,108,0,0,108
KNM Fernando,107,0,0,107
Ehsan Adil,27,4,0,107
BA Parchment,107,0,0,107
SR Hain,106,0,0,106
A Minny,106,0,0,106
SL Kalis,106,0,0,106
HDJ Siegers,105,0,0,105
NE Bonner,85,1,0,105
Yasir Arafat,64,2,0,104
DA Minors,104,0,0,104
KV Jain,104,0,0,104
NA de Groot,44,3,0,104
PS Athavale,103,0,0,103
K Kamyuka,2,5,0,102
AC Cummins,21,4,0,101
Yasir Ali Chowdhury,101,0,0,101
R Kanoh,100,0,0,100
Shahzaib Hasan,100,0,0,100
GP Tom,19,4,0,99
CJ Bowes,99,0,0,99
Hamza Tariq,99,0,0,99
JP Greaves,79,1,0,99
MR Swart,59,2,0,99
TL Chivanga,18,4,0,98
I Maraj,98,0,0,98
Saqlain Mushtaq,17,4,0,97
JA Clarkson,17,4,0,97
AL Kandappah,97,0,0,97
RA Jones,96,0,0,96
GEF Barnett,95,0,0,95
IECM Wong,15,4,0,95
DS Bajwa,74,1,0,94
Sanjida Islam,93,0,0,93
Waheed Ahmed,73,1,0,93
O Bell,32,3,0,92
T Munyonga,92,0,0,92
SD Outerbridge,72,1,0,92
JV Harris,91,0,0,91
SK Atai,90,0,0,90
GB Murgatroyd,90,0,0,90
PBB Rajapaksa,89,0,0,89
TC Bastiampillai,89,0,0,89
Zahid Mahmood,9,4,0,89
SE Findlay,88,0,0,88
N Davin,88,0,0,88
GF Linde,27,3,0,87
J Fraser-McGurk,87,0,0,87
S Dhakal,7,4,0,87
P Mujaji,86,0,0,86
FL Reifer,86,0,0,86
Jubair Hossain,5,4,0,85
A Patel,25,3,0,85
S Immadi,4,4,0,84
JJ Atkinson,84,0,0,84
CJ Nevin,83,0,0,83
Z Mali,2,4,0,82
GC Bhogle,82,0,0,82
C Hemraj,82,0,0,82
Akhil Kumar,2,4,0,82
G Onions,1,4,0,81
EJB Miles,1,4,0,81
OC McCoy,0,4,0,80
M Terblanche,80,0,0,80
M McColl,80,0,0,80
Sufiyan Muqeem,0,4,0,80
Rabiya Shah,80,0,0,80
A Lister,80,0,0,80
M Spoors,80,0,0,80
Shaila Sharmin,59,1,0,79
E Claridge,79,0,0,79
S Badrinath,79,0,0,79
SJ Tsukigawa,39,2,0,79
N M'shangwe,38,2,0,78
T Suri,78,0,0,78
Sami Aslam,78,0,0,78
HJ Armitage,78,0,0,78
SP Khakurel,78,0,0,78
T Granger,38,2,0,78
SP Krishnamurthi,77,0,0,77
Ravinderpal Singh,77,0,0,77
SC Taylor,77,0,0,77
SC Joseph,77,0,0,77
SK Dolawatte,16,3,0,76
CA Lynn,75,0,0,75
MNK Fernando,75,0,0,75
RK Singh,55,1,0,75
SA Millanta,15,3,0,75
Utkarsh Srivastava,75,0,0,75
KDK Vithanage,75,0,0,75
N Gwanzura,74,0,0,74
U Raymond-Hoey,74,0,0,74
SW Poynter,74,0,0,74
RD Chahar,13,3,0,73
SS McKechnie,73,0,0,73
DS Weerakkody,73,0,0,73
TP Visee,72,0,0,72
J Smits,72,0,0,72
MG Neser,11,3,0,71
BJ Bennett,71,0,0,71
TN de Grooth,70,0,0,70
SW Currie,10,3,0,70
Shuvagata Hom,70,0,0,70
Natalia Pervaiz,70,0,0,70
K Frank,70,0,0,70
DR Mousley,69,0,0,69
Tilak Varma,68,0,0,68
Sana Javed,68,0,0,68
JI de Villiers,8,3,0,68
Ehsanul Haque,28,2,0,68
SR Waters,67,0,0,67
GM Strydom,67,0,0,67
Sharmin Sultana,67,0,0,67
DSK Madushanka,7,3,0,67
J Logtenberg,6,3,0,66
B Fernando,26,2,0,66
Mehran Khan,66,0,0,66
JR Philippe,65,0,0,65
HDRS Silva,25,2,0,65
AD Poynter,65,0,0,65
TH David,45,1,0,65
Batool Fatima,64,0,0,64
TJ Heggelman,23,2,0,63
O Chare,3,3,0,63
S Sriram,3,3,0,63
PD McGlashan,63,0,0,63
GH O'Brien,2,3,0,62
Adnan Akmal,62,0,0,62
J Gray,62,0,0,62
JM Willathgamuwa,2,3,0,62
G Fontenla,1,3,0,61
J Patraj,21,2,0,61
Khaled Ahmed,1,3,0,61
BA Langston,21,2,0,61
Shahbaz Ahmed,0,3,0,60
K Phillip,0,3,0,60
V Buruka,0,3,0,60
Shahid Wasif,60,0,0,60
BAM Heath,59,0,0,59
PJ Scholfield,59,0,0,59
Abdul Jabbar,59,0,0,59
MJ Hay,59,0,0,59
C Viljoen,19,2,0,59
Mohammad Naim,58,0,0,58
Hammad Mirza,58,0,0,58
M van Schoor,58,0,0,58
TMK Mawoyo,58,0,0,58
CS Terblanche,38,1,0,58
Qaiser Ali,38,1,0,58
W Sutherland,18,2,0,58
Tayyab Tahir,57,0,0,57
TS Roland-Jones,37,1,0,57
Akram Khan,57,0,0,57
L Sreekumar,57,0,0,57
S Jora,56,0,0,56
Zubayr Hamza,56,0,0,56
FY Fazal,55,0,0,55
J Figy John,55,0,0,55
Zafar Gohar,15,2,0,55
SE Aley,15,2,0,55
DES Maxwell,54,0,0,54
I van der Woning,13,2,0,53
L Cheatle,13,2,0,53
CAK Walton,53,0,0,53
AR Berenger,53,0,0,53
PRP Boissevain,33,1,0,53
AK Perera,52,0,0,52
K Thomson,52,0,0,52
J Overton,32,1,0,52
Waqas Khan,52,0,0,52
DO Leicher,32,1,0,52
IR James,51,0,0,51
CA Pujara,51,0,0,51
WA Agar,50,0,0,50
VR Vanitha,50,0,0,50
MJ Bulow,50,0,0,50
EL Watson,50,0,0,50
PJC Hoffmann,30,1,0,50
M van Jaarsveld,29,1,0,49
SS Tiwary,49,0,0,49
TB Robinson,48,0,0,48
SP de Alwis,28,1,0,48
Irfan Khan,48,0,0,48
Tasqeen Qadeer,48,0,0,48
Zulqarnain Haider,48,0,0,48
SKW Kelly,7,2,0,47
Steven Ryan Taylor,46,0,0,46
Faisal Hossain,26,1,0,46
Wasim Ali,26,1,0,46
Shahid Ahmadzai,26,1,0,46
KK Nair,46,0,0,46
TJG Pringle,6,2,0,46
M De Ridder,45,0,0,45
TV Mufambisi,45,0,0,45
Tabarak Dar,45,0,0,45
K Sonavale,5,2,0,45
RK Whelan,5,2,0,45
M Karg,45,0,0,45
Nahid Rana,4,2,0,44
RW Staple,4,2,0,44
A van der Merwe,4,2,0,44
Sania Khan,4,2,0,44
Al Sahariar,44,0,0,44
H Durham,4,2,0,44
B Siddharth,3,2,0,43
SJ Swanepoel,43,0,0,43
SC Meaker,2,2,0,42
BR Dorey,2,2,0,42
JA Turner,2,2,0,42
RL Bhudia,22,1,0,42
Mosharraf Hossain,22,1,0,42
KR Sen,2,2,0,42
Haider Ali,42,0,0,42
CD Cumming,42,0,0,42
Tareq Aziz,2,2,0,42
KY Ottley,41,0,0,41
WP Saha,41,0,0,41
Fayyaz Ahmed,41,0,0,41
K Mahato,1,2,0,41
AD Janakanthymala,1,2,0,41
M Shumba,40,0,0,40
Raza Hasan,0,2,0,40
C Sakariya,0,2,0,40
SG Borthwick,18,1,0,38
TCB Fernando,18,1,0,38
Tanvir Ahmed,18,1,0,38
CKB Kulasekara,38,0,0,38
R MacDonald-Gay,17,1,0,37
Aaditya Varadarajan,36,0,0,36
RWT Key,36,0,0,36
JO Troughton,36,0,0,36
NA Greenwood,35,0,0,35
C McAuslan,35,0,0,35
J van Vliet,35,0,0,35
JNT Vare,35,0,0,35
RD Steede,15,1,0,35
LDVV Silva,34,0,0,34
Abdul Shakoor,34,0,0,34
RP Alexander,34,0,0,34
TL Seifert,33,0,0,33
JAH Marshall,33,0,0,33
PARP Perera,33,0,0,33
A Aitken-Drummond,33,0,0,33
HM Tiffen,33,0,0,33
Mohammad Iqbal,33,0,0,33
MMA Jonkman,13,1,0,33
Ayesha Naseem,33,0,0,33
MHW Papps,32,0,0,32
D Cleaver,32,0,0,32
AA Deshpande,32,0,0,32
C Jonker,31,0,0,31
JB Nero,31,0,0,31
Javeria Rauf,11,1,0,31
D Daesrath,31,0,0,31
M Mangru,30,0,0,30
MF Kendal,30,0,0,30
SM Warnapura,30,0,0,30
AR Pitcher,30,0,0,30
Mohammad Haris,30,0,0,30
R Boyce,30,0,0,30
A Ashok,10,1,0,30
B Leephatthana,30,0,0,30
Saqlain Haider,30,0,0,30
RM Jariwala,30,0,0,30
KE Broadmore,9,1,0,29
DI Joyce,29,0,0,29
R Slater,9,1,0,29
HR Johnson,9,1,0,29
JJ Celestine,28,0,0,28
KED Carroll,28,0,0,28
CA Reid,8,1,0,28
OL Pitcher,28,0,0,28
CJ Smith,27,0,0,27
Hasibul Hossain,7,1,0,27
MJ Humphreys,6,1,0,26
AK Peters,6,1,0,26
M Faisal,26,0,0,26
SL Stewart,26,0,0,26
Khurram Nawaz,26,0,0,26
MT Chinouya,6,1,0,26
AF Buurman,26,0,0,26
Joginder Sharma,5,1,0,25
S Naik,25,0,0,25
Waqas Barkat,25,0,0,25
P Roy,5,1,0,25
RT Lyons,5,1,0,25
CH van Koolwijk,25,0,0,25
LJ Poulton,25,0,0,25
RW Sims,24,0,0,24
VR Iyer,24,0,0,24
BB Seebaran,4,1,0,24
H Graham,4,1,0,24
CK Hooper,4,1,0,24
J Yadav,3,1,0,23
KHRK Fernando,3,1,0,23
J Blackwood,23,0,0,23
Y van der Westhuizen,23,0,0,23
HL Baker,3,1,0,23
D Gamage,3,1,0,23
D Soraine,3,1,0,23
LK Ebsary,23,0,0,23
J Louw,23,0,0,23
SJ Massiah,23,0,0,23
RD McCann,23,0,0,23
Shamim Hossain,22,0,0,22
KC Hodsoll,2,1,0,22
Mohammad Salman,22,0,0,22
RM Patidar,22,0,0,22
C Prathyusha,2,1,0,22
RA Lewis,2,1,0,22
K Gowtham,2,1,0,22
JM Cox,22,0,0,22
LE Milliken,1,1,0,21
JW Wilson,1,1,0,21
LC Romero,1,1,0,21
W Mwayenga,1,1,0,21
EC Perry,21,0,0,21
BP Nash,21,0,0,21
F Hand,0,1,0,20
JS Ababu,0,1,0,20
JA Simpson,20,0,0,20
LR Naylor,20,0,0,20
AF Sattaur,20,0,0,20
L Rajadurai,20,0,0,20
MR Johnson,20,0,0,20
HGV Vare,20,0,0,20
SD Udal,0,1,0,20
S Jyoti,19,0,0,19
LR Johnson,19,0,0,19
S Khiaoto,18,0,0,18
CC Dalton,18,0,0,18
K Whatham,18,0,0,18
Jamaluddin Ahmed,18,0,0,18
Sultan Ahmed,18,0,0,18
Skhawat Ali,18,0,0,18
DI Allan,18,0,0,18
OO Bascome,17,0,0,17
CP Jack,17,0,0,17
J Sharma,17,0,0,17
SDNS Karunaratne,17,0,0,17
SJ Andrews,16,0,0,16
JH Desai,16,0,0,16
N Ifill,16,0,0,16
Nuzhat Tasnia,16,0,0,16
MM Iqbal,16,0,0,16
SP Terry,16,0,0,16
F Walters,16,0,0,16
Ankur Sharma,16,0,0,16
ML Patel,15,0,0,15
J Post,15,0,0,15
HD Rutherford,15,0,0,15
I Dulani,15,0,0,15
HM Watson,15,0,0,15
EMDY Munaweera,15,0,0,15
RM van Oosterom,15,0,0,15
F Tunnicliffe,15,0,0,15
AM McCarthy,15,0,0,15
IPP Batuwitarachchi,14,0,0,14
A Valthapa,14,0,0,14
MD du Preez,14,0,0,14
J Da Silva,14,0,0,14
O Davidson,14,0,0,14
G Chapple,14,0,0,14
AA Shafique,13,0,0,13
NK Crafton,13,0,0,13
Usman Salahuddin,13,0,0,13
MC Patel,13,0,0,13
HIS Mendis,13,0,0,13
NS Poonia,12,0,0,12
GI Maiden,12,0,0,12
S Dhamala,12,0,0,12
TW Hartley,12,0,0,12
S Daniel,12,0,0,12
SV Bahutule,11,0,0,11
Saad Ali,11,0,0,11
JW Ogle-Thomas,10,0,0,10
TR Ambrose,10,0,0,10
L Wood,10,0,0,10
Ansh Tandon,10,0,0,10
RO Hussain,10,0,0,10
RS Vandort,10,0,0,10
W Jaffer,10,0,0,10
F Kasteni,9,0,0,9
H Shah,9,0,0,9
Lovepreet Singh,9,0,0,9
Faisal Athar,9,0,0,9
VB van Jaarsveld,9,0,0,9
Rashid Zia,9,0,0,9
Ethan D'Souza,9,0,0,9
D Murphy,9,0,0,9
NJ Coffey,8,0,0,8
H Davids,8,0,0,8
ADJ Pitcher,8,0,0,8
BP Kruger,8,0,0,8
RH Scholte,8,0,0,8
RO Hinds,8,0,0,8
SB Bangar,8,0,0,8
Dilara Akter,8,0,0,8
PY Lavine,8,0,0,8
SJ Elliott,8,0,0,8
KH Butt,8,0,0,8
Mrittunjoy Chowdhury,8,0,0,8
Shawaal Zulfiqar,7,0,0,7
GA Manou,7,0,0,7
DG Blampied,7,0,0,7
N Rana,7,0,0,7
V Shetty,7,0,0,7
Naved Latif,7,0,0,7
Zeeshan Siddiqi,7,0,0,7
J Glasgow,7,0,0,7
NA Rock,7,0,0,7
ADR Campbell,7,0,0,7
D Prins,7,0,0,7
NA Statham,7,0,0,7
CR Foggo,6,0,0,6
SO Dowrich,6,0,0,6
SR Thadani,6,0,0,6
M Commins,6,0,0,6
MJ North,6,0,0,6
JE Dunford,6,0,0,6
MQ Sheikh,6,0,0,6
Naumanullah,5,0,0,5
NA Moodley,5,0,0,5
RT Crandon,5,0,0,5
N Fernandes,5,0,0,5
MJ Fourie,5,0,0,5
Tanbir Hayder,5,0,0,5
N Kruger,5,0,0,5
Aijaz Ali,5,0,0,5
JN Hamilton,5,0,0,5
HAPW Jayawardene,4,0,0,4
SD Heazlett,4,0,0,4
Kaynat Hafeez,4,0,0,4
T Gwandu,4,0,0,4
MWA van Nierop,4,0,0,4
Sufyan Mehmood,4,0,0,4
A Munisar,4,0,0,4
Talha Jubair,4,0,0,4
Rony Talukdar,4,0,0,4
Muhammad Farooq,4,0,0,4
VAB Tewarie,4,0,0,4
Pankaj Singh,3,0,0,3
A le Breton,3,0,0,3
HML Madushani,3,0,0,3
CK Kruger,3,0,0,3
A Shamshudeen,3,0,0,3
Sagar Pun,3,0,0,3
KA Blackwell,3,0,0,3
DOD Rikhi,3,0,0,3
Nasir Javed,2,0,0,2
JNK Shannon,2,0,0,2
U Thimashini,2,0,0,2
JN Rhodes,2,0,0,2
D Lakshan,2,0,0,2
KL Rolton,2,0,0,2
RJ Rolls,2,0,0,2
HWR Cartwright,2,0,0,2
LJ Hamilton,2,0,0,2
Fahad Nawaz,2,0,0,2
PG Gillespie,2,0,0,2
J Pashley,2,0,0,2
HE Whelan,2,0,0,2
Hussain Talat,2,0,0,2
Alawi Shukri,1,0,0,1
Tharika Sewwandi,1,0,0,1
GJ McCarter,1,0,0,1
Moniruzzaman,1,0,0,1
CM Beggs,1,0,0,1
Jannatul Ferdus,1,0,0,1
MT Herbert,1,0,0,1
RR Ramdass,1,0,0,1
Omid Shafi Rahman,1,0,0,1
Zakir Hasan,1,0,0,1
NV Ojha,1,0,0,1
SI Galagedara,0,0,0,0
GA Guy,0,0,0,0
APS Lakshika,0,0,0,0
Melanie Ani,0,0,0,0
A Chopra,0,0,0,0
SK Naidu,0,0,0,0
JA Whelan,0,0,0,0
JC Carroll,0,0,0,0
Sumaiya Akter,0,0,0,0
KL Tucker,0,0,0,0
Pooja Ganesh,0,0,0,0
CK Holder,0,0,0,0
VCE Wattenberg,0,0,0,0
LM Hoitink,0,0,0,0
MF Fahey,0,0,0,0
AL Watkins,0,0,0,0
S Lackay,0,0,0,0
Simandeep Singh,0,0,0,0
Shathira Jakir,0,0,0,0
Sultana Yesmin,0,0,0,0
D Foxcroft,0,0,0,0
PHT Kaushal,0,0,0,0
RA Rolfe,0,0,0,0
DL Blake,0,0,0,0
Fazle Mahmud,0,0,0,0
R Walters,0,0,0,0
AG Puttick,0,0,0,0
TJ Bishop,0,0,0,0
Shahriar Hossain,0,0,0,0
Salman Faris,0,0,0,0
Haseebullah Khan,0,0,0,0
Syeda Aroob Shah,0,0,0,0
