player_name,matches_played_as_batter,total_runs,Strike_Rate
Faisal Athar,327,9,23.08
SJ Elliott,409,8,50.0
KK Ahmed,560,8,47.06
RO Hinds,318,8,42.11
H Davids,343,8,32.0
PY Lavine,331,8,30.77
R Ntozakhe,464,8,26.67
DSK Madushanka,294,7,116.67
J Glasgow,392,7,41.18
Naved Latif,403,7,41.18
Hasibul Hossain,239,7,30.43
MT Chinouya,234,6,66.67
J Logtenberg,384,6,40.0
MJ North,392,6,31.58
AK Peters,390,6,20.69
Joginder Sharma,304,5,250.0
Naumanullah,306,5,125.0
MKDI Amerasinghe,427,5,71.43
RT Crandon,355,5,55.56
Jubair Hossain,281,5,50.0
W O'Rourke,401,5,33.33
JN Hamilton,218,5,31.25
Tanbir Hayder,207,5,29.41
P Roy,231,5,14.71
H Graham,491,4,80.0
T Gwandu,242,4,50.0
HAPW Jayawardene,267,4,40.0
SD Heazlett,260,4,36.36
Sania Khan,416,4,33.33
A Munisar,282,4,30.77
PLS Gamage,454,4,14.81
HL Baker,490,3,100.0
S Sriram,304,3,60.0
A le Breton,207,3,50.0
J Yadav,343,3,42.86
PT Collins,424,3,30.0
KA Blackwell,409,3,27.27
D Gamage,331,3,27.27
HML Madushani,481,3,20.0
KHRK Fernando,467,3,20.0
O Chare,237,3,16.67
Ebadat Hossain,282,3,16.67
RJ Rolls,329,2,50.0
LJ Hamilton,291,2,50.0
KR Sen,285,2,50.0
JA Turner,495,2,40.0
Z Mali,464,2,28.57
BR Dorey,489,2,22.22
D Lakshan,204,2,22.22
Umran Malik,551,2,18.18
KL Rolton,416,2,16.67
Hussain Talat,315,2,14.29
M Prasidh Krishna,572,2,11.11
SC Meaker,292,2,11.11
HWR Cartwright,376,2,8.7
G Onions,496,1,50.0
JW Wilson,291,1,50.0
LE Milliken,329,1,33.33
Tharika Sewwandi,263,1,33.33
Khaled Ahmed,327,1,25.0
Zakir Hasan,327,1,20.0
RR Ramdass,203,1,11.11
AD Janakanthymala,340,1,6.67
SD Udal,503,0,0.0
PHT Kaushal,486,0,0.0
D Foxcroft,416,0,0.0
Fazle Mahmud,319,0,0.0
Fariha Trisna,314,0,0.0
TJ Bishop,377,0,0.0
AG Puttick,406,0,0.0
MF Fahey,329,0,0.0
AL Watkins,329,0,0.0
SI Galagedara,340,0,0.0
OC McCoy,260,0,0.0
GA Guy,270,0,0.0
APS Lakshika,273,0,0.0
Shahbaz Ahmed,285,0,0.0
A Chopra,231,0,0.0
SK Naidu,231,0,0.0
