player_name,matches_played_as_batter,total_runs,Strike_Rate
Fargana Hoque,333,1275,49.4
DR Smith,426,1261,88.18
Sabbir Rahman,335,1259,90.25
C Munro,439,1249,103.48
JD Ryder,435,1242,95.98
RR Rossouw,451,1239,92.39
Imran Farhat,467,1232,64.54
MJ Prior,503,1229,74.39
DP Conway,431,1226,86.95
IK Pathan,563,1226,79.2
PG Fulton,443,1216,70.45
Shahriar Nafees,345,1216,66.92
Aliya Riaz,463,1207,63.66
RS Morton,408,1205,64.37
Mehedi Hasan Miraz,336,1188,78.36
Raqibul Hasan,337,1177,61.62
A Gardner,527,1175,100.6
Nida Dar,463,1171,65.64
SA Campbelle,420,1167,59.91
Nazmul Hossain Shanto,329,1165,79.96
KJ Martin,426,1161,75.59
MD Shanaka,498,1153,87.55
Nahida Khan,456,1121,63.69
RW Chakabva,274,1106,67.03
L Vincent,434,1089,68.36
F Behardien,463,1074,96.41
S Samarawickrama,495,1073,90.62
WW Hinds,424,1066,65.56
Aftab Ahmed,344,1061,73.12
CM Edwards,507,1054,71.99
JI Rodrigues,578,1051,80.91
FDM Karunaratne,511,1044,76.6
SM Katich,537,1041,68.62
MN Waller,261,1039,75.13
RP Arnold,509,1039,69.68
AD Russell,426,1034,128.45
KU Carty,430,1000,75.93
C Kieswetter,517,985,87.17
DS Smith,414,973,70.56
JN Malan,458,958,81.39
AJ Blackwell,516,953,75.76
Muneeba Ali,463,948,58.92
JM How,444,939,64.8
Imad Wasim,462,937,108.95
MG Johnson,545,934,93.21
RV Uthappa,573,934,87.29
KOA Powell,427,934,78.42
RR Hendricks,472,930,76.8
Nigar Sultana,333,927,48.82
Habibul Bashar,343,926,55.42
NT Broom,443,919,78.68
R Powell,425,915,86.81
P Litchfield,533,895,78.37
Ishan Kishan,553,886,99.55
JWA Taylor,511,879,79.55
RR Pant,576,871,102.96
TT Bresnan,517,871,88.52
PD Salt,495,866,112.47
TD Paine,521,861,68.88
PWH de Silva,478,859,102.75
SSJ Brooks,430,842,73.22
CN Nation,428,831,54.46
VS Solanki,518,829,69.43
VVS Laxman,570,828,72.5
BM Halliday,428,828,70.65
AL Phehlukwayo,470,827,83.03
SHT Kandamby,510,827,69.03
PJ Hughes,544,826,73.88
JA Rudolph,445,820,66.78
L Goodall,471,817,59.9
YK Pathan,579,810,110.05
MF Maharoof,510,799,80.63
AC Voges,544,798,83.47
SIR Dunkley,513,789,79.46
Sharjeel Khan,462,787,113.73
T Brits,453,786,69.13
A Steyn,438,781,61.11
SA Yadav,553,773,102.93
CA Ingram,456,761,81.39
AG Prince,466,761,67.58
Towhid Hridoy,327,759,85.47
MG Bevan,540,755,64.15
LS Greenway,507,732,65.83
SF Mire,277,729,77.22
H Madavi,489,729,66.7
GO Jones,518,715,80.97
Mohammad Mithun,334,711,75.0
GD Phillips,431,710,94.79
R Ashwin,579,707,85.08
LJ Wright,517,707,84.37
JA Morkel,459,705,96.97
NND de Silva,497,703,66.07
BM Duckett,487,700,98.18
Kycia A Knight,423,699,51.78
PA Patel,567,693,78.39
RM Ghosh,556,690,90.2
SW Billings,519,690,89.84
HASD Siriwardene,497,679,55.98
Umaima Sohail,463,670,61.69
TT Samaraweera,500,669,73.19
GWHM Perera,487,668,56.75
YH Bhatia,568,666,69.88
CJ Ferguson,494,663,83.4
RH Priest,412,661,81.0
HJH Marshall,441,661,67.45
HC Brook,487,653,105.49
CK Coventry,269,645,87.52
Shafali Verma,568,644,79.21
Sharmin Akhter,325,643,56.4
MADD Surangika,497,642,53.06
PM Weerakkody,497,638,54.44
Agha Salman,461,637,97.7
PSP Handscomb,542,632,96.34
C Green,526,626,81.3
JN Mohammed,425,621,66.85
KT Perkins,426,618,73.75
Khaled Mashud,346,605,53.12
Kyshona A Knight,428,597,47.99
J Botha,459,594,82.73
BMAJ Mendis,511,593,80.03
JM Vince,519,590,86.51
N de Klerk,471,589,72.09
FH Allen,431,582,91.37
P Vastrakar,568,579,86.29
WD Parnell,461,574,77.25
BJ Watling,440,573,66.63
WPUJC Vaas,509,569,67.34
AR Patel,580,568,90.02
L Winfield,455,564,70.77
H Deol,568,561,76.53
MK Pandey,559,558,89.42
DD Ebrahim,265,555,52.86
Abdullah Shafique,445,554,80.41
Afif Hossain,329,548,86.85
N Deonarine,369,546,62.54
CA Henry,417,537,76.39
JL Jonassen,527,533,84.34
Imran Nazir,453,531,87.91
J Mubarak,499,531,63.75
CR Brathwaite,418,527,85.97
Mosaddek Hossain,334,524,80.0
RJ Peterson,463,523,82.23
JP Inglis,526,521,99.24
Nain Abidi,456,521,54.55
PJ Moor,277,520,66.58
MA Vermeulen,265,517,64.95
BJ Hodge,522,516,88.51
SV Samson,580,510,96.77
SL Malinga,511,508,72.47
AN Petersen,456,498,81.64
SE Rutherford,358,497,110.44
Mominul Haque,341,495,73.77
JWM Dalrymple,508,487,71.94
LR Down,433,486,60.83
Fatima Sana,463,484,69.54
ME Bouchier,504,482,103.43
RS Williams,417,477,46.22
K Verreynne,458,476,87.18
SW Ambris,409,473,93.66
WG Jacks,495,468,98.11
EJ Villani,527,468,77.23
Javed Omar,343,468,48.4
AR Nurse,425,454,97.84
GS Ballance,511,454,70.17
JE Cameron,497,452,75.21
JL Denly,496,446,69.15
Pratika Rawal,366,444,89.52
Murshida Khatun,333,429,55.0
A Ndiraya,270,428,68.59
MN van Wyk,457,425,67.35
S Prasanna,507,421,91.52
SMA Priyanjan,508,420,78.8
FC Wilson,498,412,93.42
V Krishnamurthy,561,410,86.32
Ayesha Zafar,463,407,53.27
RMVD Gunaratne,489,401,69.98
EL Lamb,513,396,83.72
MAA Sanjeewani,497,395,56.51
AB Barath,400,394,62.64
PA de Silva,509,390,80.08
CS Baugh,422,382,67.85
T de Zorzi,472,381,95.49
J Gumbie,273,379,65.23
M Mupachikwa,270,376,55.7
Asif Ali,446,375,118.3
PJ Forrest,532,368,63.78
MS Sinclair,425,367,64.84
DW Steyn,469,365,61.66
Tanzid Hasan,327,364,101.11
KM Dabengwa,264,364,57.69
SP Narine,427,363,79.78
CB Wishart,233,361,72.78
DG Brownlie,432,361,72.2
MDN Hansika,497,357,47.73
A Bosch,453,355,73.8
J Nkomo,270,354,64.01
MDT Kamini,514,353,63.49
Rumana Ahmed,301,346,50.66
AA Alleyne,417,341,60.04
LMM Tahuhu,433,340,86.08
NV Knight,457,339,70.19
M Vijay,579,339,65.7
B Cooper,365,339,58.35
R Rampaul,422,338,75.11
Rashid Latif,426,335,82.11
SS Pathirana,498,332,83.21
A Flower,233,332,70.34
HM Rowe,433,332,66.27
I Kaia,273,332,63.85
HP Tillakaratne,509,332,59.07
KA Edwards,422,331,64.9
SS Weerakkody,497,328,62.96
MH Yardy,491,326,66.53
Sidra Nawaz,463,325,48.8
MR Aguilleira,428,323,54.01
AC Agar,512,322,80.5
MR Meshram,562,322,56.39
DA Gunawardene,476,322,54.48
R Mutumbami,276,319,71.36
Washington Sundar,519,315,81.61
LM Jongwe,273,315,79.15
KAJ Roach,427,308,50.49
A Athanaze,412,306,80.95
ADS Fletcher,404,305,60.64
Shamima Sultana,333,304,56.3
TK Curran,481,303,91.27
LE Bosman,440,301,94.65
PA Nixon,509,297,84.62
L Winfield-Hill,500,294,62.03
C Brits,389,292,69.36
SMSM Senanayake,506,290,90.34
AJ Stewart,457,287,70.17
MK Tiwary,536,287,69.66
AF Giles,518,286,73.33
DN Wellalage,490,285,75.0
Saud Shakeel,291,283,86.28
A Capsey,513,283,71.65
PRCS Kumarihami,487,283,37.04
ASS Fletcher,428,282,64.98
S Chattergoon,408,281,63.72
