player_name,total_runs,strike_rate,total_wickets_taken,player_of_match_awards,Performance_Score,Player_Rank
Umar Akmal,3032,83.61831219,0,6,4468.1831219,107
S Ismail,273,49.54627949,142,7,4308.4627949000005,108
JL Jonassen,533,84.33544304,136,2,4296.3544304,109
AD Russell,1034,128.447205,72,5,4258.47205,110
M Raj,2949,68.26388889,0,6,4231.6388889,111
GJ Bailey,3011,81.99891068,0,4,4230.9891068,112
AM Rahane,2906,76.23294858,0,5,4168.3294858,113
Rohan Mustafa,1401,61.96373286,87,4,4160.6373286,114
TT Bresnan,871,88.51626016,120,0,4156.1626016,115
HDRL Thirimanne,3164,71.19711971,3,2,4135.9711971,116
CR Ervine,2770,76.2875241,0,6,4132.875241,117
BJ Haddin,3003,82.31907895,0,3,4126.1907895,118
S Lamichhane,440,88.0,120,4,4120.0,119
SC Ganguly,2409,70.25371829,22,5,4051.5371829,120
KL Rahul,2761,86.36221458,0,4,4024.6221458,121
JDS Neesham,1508,98.04941482,71,1,4008.4941482,122
WPUJC Vaas,569,67.33727811,118,4,4002.3727811,123
MA Leask,1306,111.3384484,64,3,3999.384484,124
PWH de Silva,859,102.7511962,85,4,3986.511962,125
L Lee,2516,82.6544021,2,6,3982.5440209999997,126
DM Bravo,3007,67.19553073,0,3,3978.9553072999997,127
Kamran Akmal,2746,81.38707765,0,4,3959.8707765,128
Imam-ul-Haq,2840,81.32875143,0,3,3953.2875143,129
DJS Dottin,1679,81.11111111,53,4,3950.1111111,130
WD Parnell,574,77.25437416,110,4,3946.5437416,131
IJL Trott,2819,75.53590568,3,3,3934.3590568,132
JR Hopes,1326,92.33983287,73,2,3909.3983287,133
Ahmed Shehzad,2555,70.52166713,2,6,3900.2166712999997,134
Soumya Sarkar,2044,95.29137529,20,5,3896.9137529,135
WTS Porterfield,2670,67.39020697,0,5,3843.9020697,136
H Klaasen,1977,115.008726,0,7,3827.0872600000002,137
SE Marsh,2622,79.02350814,0,4,3812.2350814,138
T Taibu,2837,66.95775313,0,3,3806.5775313,139
SS Iyer,2396,98.03600655,0,4,3776.3600655,140
MG Erasmus,1810,78.42287695,34,5,3774.2287695,141
AD Hales,2330,93.83809907,0,5,3768.3809907,142
KAJ Roach,308,50.49180328,132,3,3752.9180328,143
Mohammad Yousuf,2783,74.39187383,1,2,3746.9187383,144
SP Narine,363,79.78021978,99,6,3740.8021977999997,145
RD Berrington,2292,74.36729396,15,4,3735.6729396,146
Shubman Gill,2328,99.0216929,0,4,3718.216929,147
CL Tryon,1440,107.1428571,40,4,3711.428571,148
MV Boucher,2617,88.38230328,0,2,3700.8230328,149
BL Mooney,2433,84.71448468,0,4,3680.1448468,150
AL Phehlukwayo,827,83.03212851,96,1,3677.3212851,151
Sarfraz Ahmed,2289,85.63411897,0,5,3645.3411897,152
M du Preez,2223,69.59924859,1,7,3638.9924859000002,153
A Balbirnie,2438,74.21613394,1,4,3600.1613394,154
R Rampaul,338,75.11111111,115,2,3589.1111111,155
HE van der Dussen,2388,85.10334996,1,3,3559.0334996,156
DR Martyn,2239,75.38720539,1,5,3512.8720539,157
A Vala,1783,68.73554356,47,1,3510.3554356,158
DR Smith,1261,88.18181818,53,3,3502.8181818,159
MP Stoinis,1489,91.80024661,48,1,3467.0024660999998,160
CS MacLeod,2015,78.40466926,8,5,3459.0466926,161
Salman Butt,2186,74.55661664,0,5,3431.5661664,162
Liton Das,2178,84.32055749,0,4,3421.2055749,163
KJ Coetzer,2280,80.67940552,1,3,3406.7940552,164
CL White,2053,79.48122338,11,3,3367.8122338000003,165
A Khaka,108,46.35193133,129,2,3351.5193133000002,166
SP Fleming,2133,70.256917,0,5,3335.5691699999998,167
Imrul Kayes,2242,68.60465116,0,4,3328.0465116,168
CJ Chibhabha,1987,63.48242812,30,1,3321.8242812,169
Karan KC,457,83.24225865,81,4,3309.4225865,170
J Louw,23,328.5714286,0,0,3308.714286,171
AE Jones,2071,83.50806452,0,4,3306.0806452,172
RL Haynes,1966,79.11468813,2,5,3297.1468813,173
KIC Asalanka,1810,86.60287081,16,3,3296.0287081,174
DN Wyatt,1680,90.76175041,14,4,3267.6175041,175
Nida Dar,1171,65.63901345,62,2,3267.3901345,176
ME Trescothick,1997,80.52419355,2,4,3242.2419355,177
Junaid Siddique,1021,66.68843893,77,0,3227.8843893000003,178
Mohammad Rizwan,2254,87.36434109,0,1,3227.6434109,179
MD Patel,1792,80.03573024,0,6,3192.3573024,180
KM Jadhav,1318,100.841622,28,3,3186.41622,181
SM Sharif,492,69.78723404,89,2,3169.8723404,182
LMM Tahuhu,340,86.07594937,98,0,3160.7594937,183
E Lewis,1903,85.75935106,0,4,3160.5935105999997,184
A Nehra,90,51.72413793,115,2,3107.2413793,185
HM Nicholls,2116,78.98469578,0,2,3105.8469578,186
SJ Taylor,1651,85.45548654,0,6,3105.5548654,187
RK Paudel,1629,73.24640288,10,5,3061.4640288,188
AT Carey,1978,87.63845813,0,2,3054.3845813,189
EC Joyce,1845,69.2048012,0,5,3037.048012,190
DJ Hussey,1672,87.44769874,19,1,3026.4769874000003,191
Haris Sohail,1709,85.02487562,13,2,3019.2487562,192
Sompal Kami,621,71.70900693,79,1,3018.0900693,193
V Sibanda,2125,61.29218344,4,2,3017.9218344,194
Bismah Maroof,1938,63.27130264,12,2,3010.7130263999998,195
N Pooran,1829,95.60899111,6,1,3005.0899111,196
Inzamam-ul-Haq,1916,77.19580983,0,3,2987.9580983,197
NJ Astle,1571,75.60153994,8,5,2987.0153994,198
UT Yadav,79,58.08823529,116,0,2979.8823529,199
JA Morkel,705,96.9738652,50,3,2974.738652,200
J Botha,594,82.72980501,77,0,2961.2980501,201
D Ramdin,2072,78.60394537,0,1,2958.0394537,202
MS Atapattu,1978,66.82432432,0,3,2946.2432432,203
Yousuf Youhana,1740,78.80434783,0,4,2928.0434783,204
M Labuschagne,1764,82.81690141,6,2,2912.1690141,205
LL Tsotsobe,58,51.32743363,102,3,2911.2743363,206
AR Patel,568,90.01584786,67,1,2908.1584786,207
Imad Wasim,937,108.9534884,44,0,2906.5348839999997,208
MS Wade,1792,80.50314465,0,3,2897.0314465,209
LMP Simmons,1958,71.43378329,1,2,2892.3378328999997,210
SO Hetmyer,1410,105.6179775,0,4,2866.179775,211
RJ Peterson,523,82.2327044,76,0,2865.327044,212
WIA Fernando,1404,84.93647913,0,6,2853.3647913,213
P Nissanka,1810,84.10780669,0,2,2851.0780669,214
YK Pathan,810,110.0543478,37,2,2850.543478,215
DJ Mitchell,1616,96.5929468,13,0,2841.9294680000003,216
BJ McMullen,888,83.93194707,39,3,2807.3194707000002,217
MP O'Dowd,1682,68.90618599,1,4,2791.0618599,218
MD Gunathilaka,1592,83.83359663,8,2,2790.3359663,219
WA Young,1426,86.16314199,0,5,2787.6314199,220
MM Patel,74,64.9122807,93,2,2783.1228069999997,221
DJ Malan,1418,94.28191489,1,4,2780.8191489,222
NE Bolton,1443,69.7438376,2,6,2780.438376,223
N Vanua,769,78.95277207,56,1,2778.5277207,224
AT Rayudu,1637,76.38824078,3,3,2760.8824078,225
CA Soper,653,55.38592027,67,2,2746.8592027,226
BC Lara,1878,76.49694501,0,1,2742.9694501,227
Sidra Ameen,1595,63.04347826,0,5,2725.4347826000003,228
OA Shah,1579,80.43810494,7,2,2723.3810494,229
JD Ryder,1242,95.98145286,11,3,2721.8145286,230
V Aravind,1843,67.23823422,0,2,2715.3823422,231
Azhar Ali,1806,72.88135593,4,1,2714.8135592999997,232
SA Edwards,1504,90.6570223,0,3,2710.5702229999997,233
Haris Rauf,70,75.2688172,79,3,2702.688172,234
DS Airee,861,70.74774035,46,2,2688.4774035,235
J Charles,1544,83.91304348,0,3,2683.1304348,236
UT Khawaja,1539,82.52010724,0,3,2664.2010724,237
HH Dippenaar,1283,67.41986337,0,7,2657.1986337,238
Aasif Sheikh,1423,73.23726197,0,5,2655.3726197,239
MH Cross,1675,67.9788961,0,3,2654.788961,240
M van Lingen,1300,90.15256588,2,4,2641.5256588,241
HG Munsey,1675,85.15505846,0,1,2626.5505846,242
L Ronchi,1397,112.5705077,0,1,2622.7050769999996,243
TM Odoyo,830,69.10907577,45,2,2621.0907577,244
T Bavuma,1548,87.26042841,0,2,2620.6042841,245
N Dickwella,1604,91.24004551,0,1,2616.4004551,246
NJ O'Brien,1692,70.67669173,0,2,2598.7669173,247
Zahoor Khan,143,55.21235521,95,0,2595.1235521,248
N de Klerk,589,72.09302326,53,2,2569.9302325999997,249
MD Shanaka,1153,87.54745634,22,1,2568.4745634,250
Fatima Sana,484,69.54022989,59,2,2559.4022989,251
BA King,1306,82.8680203,0,4,2534.680203,252
Joginder Sharma,5,250.0,1,0,2525.0,253
Yasir Hameed,1459,65.57303371,0,4,2514.7303371,254
BM Scholtz,251,66.05263158,70,2,2511.5263158,255
K Bhurtel,1182,78.90520694,12,3,2511.0520693999997,256
HT Tector,1622,83.99792853,2,0,2501.9792853,257
SMSM Senanayake,290,90.34267913,60,1,2493.4267913,258
Aayan Afzal Khan,585,73.95701643,43,3,2484.5701643,259
C Munro,1249,103.4797017,9,0,2463.797017,260
R Trumpelmann,350,79.36507937,56,2,2463.6507937,261
Waseem Muhammad,1398,85.87223587,0,2,2456.7223587,262
Nasir Jamshed,1418,73.43345417,0,3,2452.3345417,263
IDR Bradshaw,259,61.22931442,69,2,2451.2931442,264
JJ Smit,839,71.89374464,39,1,2437.9374464,265
KD Karthik,1624,71.38461538,0,1,2437.8461538,266
LV van Beek,505,82.78688525,50,1,2432.8688525,267
CJA Amini,952,61.61812298,33,2,2428.1812298,268
MP Vaughan,1382,65.25023607,9,2,2414.5023607000003,269
AR Nurse,454,97.84482759,44,1,2412.4482759,270
SW Tait,25,86.20689655,66,2,2407.0689655,271
T Chetty,1414,68.50775194,0,3,2399.0775194,272
DP Conway,1226,86.95035461,0,3,2395.5035460999998,273
JM Kerr,232,105.9360731,55,0,2391.3607309999998,274
ML Green,1407,67.7093359,0,3,2384.093359,275
Javeria Khan,1408,61.51157711,8,2,2383.1157711,276
RP Singh,135,44.40789474,80,2,2379.0789474000003,277
F Behardien,1074,96.40933573,12,1,2378.0933573,278
JN Frylinck,615,73.65269461,36,3,2371.5269461,279
GH Lewis,1348,65.9813999,8,2,2367.813999,280
Asif Khan,1155,80.99579243,0,4,2364.9579243,281
PG Raut,1436,61.10638298,0,3,2347.0638298,282
CK Kapugedera,1505,69.77283264,2,1,2342.7283264,283
CR Brathwaite,527,85.97063622,46,0,2306.7063622,284
Jatinder Singh,1356,71.36842105,1,2,2289.6842105,285
RR Rossouw,1239,92.39373602,1,1,2282.9373602,286
Gulsan Jha,625,75.57436518,30,3,2280.7436518,287
S Matsikenyeri,1309,66.51422764,15,0,2274.1422764,288
Anamul Haque,1322,74.06162465,0,2,2262.6162464999998,289
