team,Player_Count
India,119
West Indies,117
Sri Lanka,113
Pakistan,109
England,107
Australia,97
South Africa,92
New Zealand,90
Bangladesh,83
Zimbabwe,80
Scotland,66
Netherlands,65
Ireland,64
Canada,60
United Arab Emirates,48
United States of America,43
Papua New Guinea,34
Namibia,29
Nepal,27
Oman,19
Kenya,19
Bermuda,18
Hong Kong,17
Thailand,13
Jersey,11
