player_name,Total_Runs,Total_Balls_Faced,Strike_Rate,RUNS_PER_BALL
CJ Chibhabha,1987,3130,63.48,0.6348242811501598
AT Carey,1978,2257,87.64,0.8763845813026141
MS Atapattu,1978,2960,66.82,0.6682432432432432
H Klaasen,1977,1719,115.01,1.150087260034904
RL Haynes,1966,2485,79.11,0.7911468812877264
LMP Simmons,1958,2741,71.43,0.7143378329076979
Bismah Maroof,1938,3063,63.27,0.6327130264446621
Inzamam-ul-Haq,1916,2482,77.2,0.7719580983078163
E Lewis,1903,2219,85.76,0.857593510590356
BC Lara,1878,2455,76.5,0.764969450101833
AC Kerr,1854,2473,74.97,0.7496967246259604
DJG Sammy,1853,1926,96.21,0.9620976116303219
EC Joyce,1845,2666,69.2,0.6920480120030007
V Aravind,1843,2741,67.24,0.6723823422108719
N Pooran,1829,1913,95.61,0.9560899111343439
KIC Asalanka,1810,2090,86.6,0.8660287081339713
P Nissanka,1810,2152,84.11,0.8410780669144982
MG Erasmus,1810,2308,78.42,0.7842287694974004
Azhar Ali,1806,2478,72.88,0.7288135593220338
MS Wade,1792,2226,80.5,0.8050314465408805
MD Patel,1792,2239,80.04,0.8003573023671282
A Vala,1783,2594,68.74,0.687355435620663
M Labuschagne,1764,2130,82.82,0.828169014084507
HH Pandya,1762,1636,107.7,1.0770171149144254
Yousuf Youhana,1740,2208,78.8,0.7880434782608695
Haris Sohail,1709,2010,85.02,0.8502487562189055
NJ O'Brien,1692,2394,70.68,0.706766917293233
MP O'Dowd,1682,2441,68.91,0.6890618598934862
DN Wyatt,1680,1851,90.76,0.9076175040518638
DJS Dottin,1679,2070,81.11,0.8111111111111111
HG Munsey,1675,1967,85.16,0.8515505846466701
MH Cross,1675,2464,67.98,0.679788961038961
DJ Hussey,1672,1912,87.45,0.8744769874476988
SJ Taylor,1651,1932,85.46,0.8545548654244306
AT Rayudu,1637,2143,76.39,0.7638824078394774
RK Paudel,1629,2224,73.25,0.7324640287769785
KD Karthik,1624,2275,71.38,0.7138461538461538
HT Tector,1622,1931,84.0,0.8399792853443812
DJ Mitchell,1616,1673,96.59,0.9659294680215182
N Dickwella,1604,1758,91.24,0.9124004550625711
Sidra Ameen,1595,2530,63.04,0.6304347826086957
MD Gunathilaka,1592,1899,83.83,0.8383359662980516
OA Shah,1579,1963,80.44,0.804381049414162
NJ Astle,1571,2078,75.6,0.7560153994225216
T Bavuma,1548,1774,87.26,0.8726042841037204
J Charles,1544,1840,83.91,0.8391304347826087
UT Khawaja,1539,1865,82.52,0.825201072386059
JDS Neesham,1508,1538,98.05,0.9804941482444733
CK Kapugedera,1505,2157,69.77,0.6977283263792304
SA Edwards,1504,1659,90.66,0.9065702230259193
MP Stoinis,1489,1622,91.8,0.9180024660912454
Yasir Hameed,1459,2225,65.57,0.6557303370786517
NE Bolton,1443,2069,69.74,0.6974383760270663
CL Tryon,1440,1344,107.14,1.0714285714285714
PG Raut,1436,2350,61.11,0.6110638297872341
WA Young,1426,1655,86.16,0.861631419939577
Aasif Sheikh,1423,1943,73.24,0.7323726196603191
DJ Malan,1418,1504,94.28,0.9428191489361702
Nasir Jamshed,1418,1931,73.43,0.7343345416882444
T Chetty,1414,2064,68.51,0.685077519379845
SO Hetmyer,1410,1335,105.62,1.0561797752808988
Javeria Khan,1408,2289,61.51,0.6151157710790738
ML Green,1407,2078,67.71,0.6770933589990376
WIA Fernando,1404,1653,84.94,0.8493647912885662
Rohan Mustafa,1401,2261,61.96,0.6196373286156568
Waseem Muhammad,1398,1628,85.87,0.8587223587223587
L Ronchi,1397,1241,112.57,1.1257050765511685
MP Vaughan,1382,2118,65.25,0.6525023607176582
Jatinder Singh,1356,1900,71.37,0.7136842105263158
GH Lewis,1348,2043,65.98,0.6598139990210474
JR Hopes,1326,1436,92.34,0.9233983286908078
Anamul Haque,1322,1785,74.06,0.7406162464985995
KM Jadhav,1318,1307,100.84,1.008416220351951
M Kaif,1314,2062,63.72,0.6372453928225025
Asad Shafiq,1312,1986,66.06,0.6606243705941591
S Matsikenyeri,1309,1968,66.51,0.6651422764227642
MA Leask,1306,1173,111.34,1.113384484228474
BA King,1306,1576,82.87,0.8286802030456852
Mashrafe Mortaza,1304,1609,81.04,0.8104412678682411
M van Lingen,1300,1442,90.15,0.9015256588072122
HH Dippenaar,1283,1903,67.42,0.674198633736206
LPC Silva,1279,1805,70.86,0.7085872576177286
Fargana Hoque,1275,2581,49.4,0.49399457574583494
DR Smith,1261,1430,88.18,0.8818181818181818
Sabbir Rahman,1259,1395,90.25,0.9025089605734767
C Munro,1249,1207,103.48,1.0347970173985086
JD Ryder,1242,1294,95.98,0.9598145285935085
RR Rossouw,1239,1341,92.39,0.9239373601789709
GC Wilson,1232,1653,74.53,0.7453115547489413
Imran Farhat,1232,1909,64.54,0.645364064955474
MJ Prior,1229,1652,74.39,0.7439467312348669
DP Conway,1226,1410,86.95,0.8695035460992908
IK Pathan,1226,1548,79.2,0.7919896640826873
PG Fulton,1216,1726,70.45,0.7045191193511008
Shahriar Nafees,1216,1817,66.92,0.6692350027517887
Aliya Riaz,1207,1896,63.66,0.6366033755274262
RS Morton,1205,1872,64.37,0.6436965811965812
TP Ura,1196,1526,78.37,0.783748361730013
Vikramjit Singh,1190,1692,70.33,0.7033096926713948
Mehedi Hasan Miraz,1188,1516,78.36,0.783641160949868
K Bhurtel,1182,1498,78.91,0.7890520694259012
Raqibul Hasan,1177,1910,61.62,0.6162303664921466
A Gardner,1175,1168,100.6,1.0059931506849316
Nida Dar,1171,1784,65.64,0.656390134529148
SA Campbelle,1167,1948,59.91,0.5990759753593429
Nazmul Hossain Shanto,1165,1457,79.96,0.7995881949210707
KJ Martin,1161,1536,75.59,0.755859375
Asif Khan,1155,1426,81.0,0.8099579242636746
MD Shanaka,1153,1317,87.55,0.8754745634016705
Nahida Khan,1121,1760,63.69,0.6369318181818182
RW Chakabva,1106,1650,67.03,0.6703030303030303
L Vincent,1089,1593,68.36,0.6836158192090396
F Behardien,1074,1114,96.41,0.9640933572710951
S Samarawickrama,1073,1184,90.62,0.90625
WW Hinds,1066,1626,65.56,0.6555965559655597
Aftab Ahmed,1061,1451,73.12,0.7312198483804273
CM Edwards,1054,1464,71.99,0.7199453551912568
JI Rodrigues,1051,1299,80.91,0.8090839107005389
FDM Karunaratne,1044,1363,76.6,0.7659574468085106
SM Katich,1041,1517,68.62,0.6862228081740277
MN Waller,1039,1383,75.13,0.7512653651482285
RP Arnold,1039,1491,69.68,0.6968477531857814
AD Russell,1034,805,128.45,1.284472049689441
Aarif Sheikh,1032,1648,62.62,0.6262135922330098
Junaid Siddique,1021,1531,66.69,0.666884389288047
KU Carty,1000,1317,75.93,0.7593014426727411
KH Prajapati,996,1351,73.72,0.7372316802368616
C Kieswetter,985,1130,87.17,0.8716814159292036
DS Smith,973,1379,70.56,0.7055837563451777
JN Malan,958,1177,81.39,0.8139337298215803
AJ Blackwell,953,1258,75.76,0.7575516693163752
CJA Amini,952,1545,61.62,0.6161812297734628
Muneeba Ali,948,1609,58.92,0.5891858297078931
Shaiman Anwar,947,1162,81.5,0.814974182444062
JM How,939,1449,64.8,0.6480331262939959
G Singh,938,1155,81.21,0.8121212121212121
Imad Wasim,937,860,108.95,1.0895348837209302
MG Johnson,934,1002,93.21,0.9321357285429142
RV Uthappa,934,1070,87.29,0.8728971962616823
KOA Powell,934,1191,78.42,0.7842149454240135
RR Hendricks,930,1211,76.8,0.7679603633360859
Nigar Sultana,927,1899,48.82,0.4881516587677725
Habibul Bashar,926,1671,55.42,0.5541591861160982
Chirag Suri,924,1472,62.77,0.6277173913043478
NT Broom,919,1168,78.68,0.7868150684931506
R Powell,915,1054,86.81,0.8681214421252372
CP Rizwan,901,1573,57.28,0.5727908455181182
SJ Modani,898,1460,61.51,0.6150684931506849
P Litchfield,895,1142,78.37,0.7837127845884413
BJ McMullen,888,1058,83.93,0.8393194706994329
Muhammad Usman,888,1212,73.27,0.7326732673267327
Ishan Kishan,886,890,99.55,0.9955056179775281
JWA Taylor,879,1105,79.55,0.7954751131221719
S Bau,874,1483,58.93,0.5893459204315576
RR Pant,871,846,102.96,1.029550827423168
TT Bresnan,871,984,88.52,0.8851626016260162
PD Salt,866,770,112.47,1.1246753246753247
DS Airee,861,1217,70.75,0.7074774034511093
TD Paine,861,1250,68.88,0.6888
PWH de Silva,859,836,102.75,1.027511961722488
Rameez Shahzad,848,1118,75.85,0.7584973166368515
Shoaib Khan,843,1025,82.24,0.8224390243902439
SSJ Brooks,842,1150,73.22,0.7321739130434782
JJ Smit,839,1167,71.89,0.7189374464438731
CN Nation,831,1526,54.46,0.5445609436435125
TM Odoyo,830,1201,69.11,0.6910907577019151
VS Solanki,829,1194,69.43,0.6943048576214406
VVS Laxman,828,1142,72.5,0.7250437828371279
BM Halliday,828,1172,70.65,0.7064846416382252
AL Phehlukwayo,827,996,83.03,0.8303212851405622
SHT Kandamby,827,1198,69.03,0.6903171953255426
PJ Hughes,826,1118,73.88,0.738819320214669
O Prendergast,821,1104,74.37,0.7436594202898551
W Barresi,820,1076,76.21,0.7620817843866171
JA Rudolph,820,1228,66.78,0.6677524429967426
L Goodall,817,1364,59.9,0.5989736070381232
YK Pathan,810,736,110.05,1.1005434782608696
MF Maharoof,799,991,80.63,0.8062563067608476
AC Voges,798,956,83.47,0.8347280334728033
JN Loftie-Eaton,796,1072,74.25,0.7425373134328358
SIR Dunkley,789,993,79.46,0.7945619335347432
Sharjeel Khan,787,692,113.73,1.1372832369942196
T Brits,786,1137,69.13,0.6912928759894459
A Steyn,781,1278,61.11,0.6111111111111112
A Hunter,776,950,81.68,0.8168421052631579
SA Yadav,773,751,102.93,1.0292942743009321
N Vanua,769,974,78.95,0.7895277207392197
CA Ingram,761,935,81.39,0.813903743315508
AG Prince,761,1126,67.58,0.6758436944937833
Towhid Hridoy,759,888,85.47,0.8547297297297297
Kushal Malla,756,870,86.9,0.8689655172413793
MG Bevan,755,1177,64.15,0.6414613423959218
G Malla,753,1145,65.76,0.6576419213973799
L Siaka,749,1013,73.94,0.7393879565646594
LS Greenway,732,1112,65.83,0.658273381294964
SF Mire,729,944,77.22,0.7722457627118644
H Madavi,729,1093,66.7,0.666971637694419
Pargat Singh,722,930,77.63,0.7763440860215054
GO Jones,715,883,80.97,0.8097395243488109
AT Nidamanuru,713,781,91.29,0.912932138284251
SR Mukkamalla,711,858,82.87,0.8286713286713286
Mohammad Mithun,711,948,75.0,0.75
GD Phillips,710,749,94.79,0.9479305740987984
R Ashwin,707,831,85.08,0.8507821901323707
LJ Wright,707,838,84.37,0.8436754176610979
JA Morkel,705,727,96.97,0.9697386519944979
SO Tikolo,705,1097,64.27,0.6426618049225159
NND de Silva,703,1064,66.07,0.6607142857142857
B Sharki,703,1081,65.03,0.6503237742830712
BM Duckett,700,713,98.18,0.9817671809256662
Kycia A Knight,699,1350,51.78,0.5177777777777778
