player_name,total_overs_bowled,total_wickets_taken,total_runs_conceded,Wickets_Per_Over,Runs_Conceded_Per_Wicket
AR Adams,834,28,730,0.034,26.07
KW Richardson,1338,45,1251,0.034,27.8
N Pooran,178,6,174,0.034,29.0
IECM Wong,118,4,122,0.034,30.5
Wasim Ali,29,1,31,0.034,31.0
Umran Malik,381,13,408,0.034,31.38
Mohammad Aadil Alam,272,9,166,0.033,18.44
Ehsanul Haque,61,2,37,0.033,18.5
PA Desai,181,6,115,0.033,19.17
S Ismail,4242,142,2821,0.033,19.87
Kaleem Sana,813,27,561,0.033,20.78
JM Kerr,1662,55,1194,0.033,21.71
NW Bracken,5095,168,3792,0.033,22.57
A Neill,448,15,345,0.033,23.0
Q Joseph,480,16,380,0.033,23.75
KIC Asalanka,486,16,388,0.033,24.25
K Bhurtel,361,12,292,0.033,24.33
GF Linde,91,3,73,0.033,24.33
DW Steyn,6388,212,5202,0.033,24.54
Zahoor Khan,2888,95,2407,0.033,25.34
Kuldeep Yadav,5236,173,4400,0.033,25.43
JDF Vandersay,1206,40,1091,0.033,27.28
Fatima Sana,1772,59,1626,0.033,27.56
Zafar Gohar,61,2,56,0.033,28.0
KC Hodsoll,30,1,28,0.033,28.0
WD Parnell,3340,110,3090,0.033,28.09
Ali Naseer,701,23,667,0.033,29.0
EJB Miles,120,4,117,0.033,29.25
S Sreesanth,2481,81,2388,0.033,29.48
Hasan Mahmud,886,29,873,0.033,30.1
Kabir Ali,640,21,648,0.033,30.86
TT Samaraweera,30,1,33,0.033,33.0
RW Staple,61,2,78,0.033,39.0
SE Aley,63,2,29,0.032,14.5
GM Harris,249,8,144,0.032,18.0
C Abel,156,5,96,0.032,19.2
AM Peterson,593,19,371,0.032,19.53
JM Willathgamuwa,94,3,63,0.032,21.0
AG Wharf,562,18,403,0.032,22.39
N Niranjana,476,15,340,0.032,22.67
R Trumpelmann,1773,56,1324,0.032,23.64
S Luus,2630,84,2006,0.032,23.88
H Durham,62,2,48,0.032,24.0
Imran Tahir,5556,180,4325,0.032,24.03
Shorna Akter,216,7,171,0.032,24.43
MG Johnson,7537,243,5977,0.032,24.6
CW Perchard,216,7,174,0.032,24.86
UDU Chandana,1194,38,978,0.032,25.74
HK Badani,63,2,53,0.032,26.5
S Siegers,283,9,243,0.032,27.0
GA Rogers,154,5,138,0.032,27.6
DJ Bravo,6052,193,5330,0.032,27.62
SL Malinga,10803,343,9518,0.032,27.75
A Codrington,187,6,169,0.032,28.17
Shoriful Islam,1445,46,1379,0.032,29.98
KK Ahmed,435,14,423,0.032,30.21
RA Lewis,31,1,31,0.032,31.0
Gulsan Jha,951,30,937,0.032,31.23
Shariz Ahmad,595,19,596,0.032,31.37
E Otieno,463,15,479,0.032,31.93
O Thomas,931,30,998,0.032,33.27
Raza Hasan,62,2,68,0.032,34.0
JG Bethell,124,4,145,0.032,36.25
CR Seneviratna,392,12,234,0.031,19.5
M van Jaarsveld,32,1,20,0.031,20.0
Simi Singh,958,30,615,0.031,20.5
DNT Zoysa,750,23,560,0.031,24.35
T Muzarabani,256,8,195,0.031,24.38
RM Haq,871,27,673,0.031,24.93
FL Mackay,614,19,475,0.031,25.0
N de Klerk,1702,53,1362,0.031,25.7
S Thuraisingam,191,6,162,0.031,27.0
R Rampaul,3703,115,3136,0.031,27.27
Sompal Kami,2511,79,2168,0.031,27.44
JB Reva,192,6,165,0.031,27.5
TL Best,1175,36,994,0.031,27.61
IK Pathan,5050,156,4419,0.031,28.33
A Nehra,3745,115,3363,0.031,29.24
KP Meiyappan,1228,38,1123,0.031,29.55
Tanzim Hasan Sakib,445,14,417,0.031,29.79
BM Halliday,223,7,209,0.031,29.86
SI Mahmood,1238,38,1145,0.031,30.13
B Shikongo,796,25,755,0.031,30.2
B Evans,542,17,525,0.031,30.88
UT Yadav,3701,116,3659,0.031,31.54
JD Ryder,359,11,357,0.031,32.45
LN Rajbanshi,1388,42,893,0.03,21.26
AR Caddick,604,18,389,0.03,21.61
AD Janakanthymala,67,2,47,0.03,23.5
ASS Fletcher,2041,61,1526,0.03,25.02
AR White,328,10,253,0.03,25.3
LMM Tahuhu,3276,98,2511,0.03,25.62
S Nisansala,269,8,209,0.03,26.12
MF Maharoof,3911,118,3113,0.03,26.38
JM Davison,630,19,513,0.03,27.0
Junaid Siddique,2575,77,2137,0.03,27.75
KAJ Roach,4472,132,3775,0.03,28.6
JF Mooney,1242,37,1119,0.03,30.24
AD Russell,2362,72,2235,0.03,31.04
AL Phehlukwayo,3189,96,3003,0.03,31.28
NR Kumar,67,2,67,0.03,33.5
Z Mali,139,4,81,0.029,20.25
G Fontenla,102,3,65,0.029,21.67
A Martin,447,13,300,0.029,23.08
EN Lynch,510,15,355,0.029,23.67
A Khaka,4389,129,3067,0.029,23.78
RK Paudel,346,10,238,0.029,23.8
Fariha Trisna,208,6,144,0.029,24.0
D Gough,2004,58,1504,0.029,25.93
A Mohammed,2015,58,1533,0.029,26.43
Washington Sundar,807,23,631,0.029,27.43
AA Alleyne,1021,30,834,0.029,27.8
MA Leask,2184,64,1789,0.029,27.95
P Roy,34,1,28,0.029,28.0
SM Sharif,3099,89,2497,0.029,28.06
MM Patel,3188,93,2614,0.029,28.11
SI Kamea,950,28,797,0.029,28.46
GR Codrington,307,9,267,0.029,29.67
I Wardlaw,622,18,596,0.029,33.11
Usama Mir,521,15,507,0.029,33.8
JA Turner,70,2,70,0.029,35.0
Mohammad Hasnain,695,20,705,0.029,35.25
Afif Hossain,105,3,108,0.029,36.0
G Toka,102,3,111,0.029,37.0
H Hiri,103,3,114,0.029,38.0
NG Smith,208,6,230,0.029,38.33
Iram Javed,34,1,41,0.029,41.0
AM Samad,69,2,93,0.029,46.5
N Boochatham,356,10,165,0.028,16.5
C Sutthiruang,246,7,149,0.028,21.29
