player_name,total_overs_bowled,total_wickets_taken,total_runs_conceded,Wickets_Per_Over,Runs_Conceded_Per_Wicket
A Sharma,273,4,183,0.015,45.75
MT Chinouya,68,1,50,0.015,50.0
Joginder Sharma,68,1,50,0.015,50.0
L Siaka,202,3,153,0.015,51.0
BJ Hodge,66,1,51,0.015,51.0
Azhar Mahmood,407,6,324,0.015,54.0
NE Bonner,67,1,56,0.015,56.0
Aliya Riaz,894,13,806,0.015,62.0
Azhar Ali,264,4,262,0.015,65.5
BRM Taylor,262,4,279,0.015,69.75
HR Johnson,67,1,70,0.015,70.0
BA Langston,138,2,70,0.014,35.0
HDPK Dharmasena,425,6,277,0.014,46.17
P Khadka,279,4,194,0.014,48.5
CJ Metcalfe,358,5,268,0.014,53.6
Faisal Hossain,73,1,54,0.014,54.0
R MacDonald-Gay,69,1,55,0.014,55.0
IM Vaghela,280,4,221,0.014,55.25
MR Swart,144,2,116,0.014,58.0
Nazmul Hossain Shanto,72,1,59,0.014,59.0
D Gamage,70,1,59,0.014,59.0
KE Broadmore,74,1,61,0.014,61.0
Shoaib Khan,146,2,131,0.014,65.5
V Sibanda,276,4,267,0.014,66.75
I van der Woning,142,2,140,0.014,70.0
RS Gavaskar,73,1,74,0.014,74.0
HT Tector,148,2,149,0.014,74.5
W Mwayenga,74,1,86,0.014,86.0
CK Hooper,72,1,89,0.014,89.0
SM Kavanagh,74,1,92,0.014,92.0
Zulfiqar Babar,297,4,247,0.013,61.75
Lata Mondal,159,2,129,0.013,64.5
N Shangase,467,6,404,0.013,67.33
B Fernando,159,2,140,0.013,70.0
L Cheatle,154,2,142,0.013,71.0
ME Trescothick,155,2,149,0.013,74.5
MG Neser,224,3,239,0.013,79.67
CS Terblanche,81,1,35,0.012,35.0
RD Steede,84,1,54,0.012,54.0
J Yadav,86,1,61,0.012,61.0
CA Reid,81,1,64,0.012,64.0
BR Dorey,169,2,147,0.012,73.5
PW Borren,494,6,442,0.012,73.67
JS Ababu,81,1,75,0.012,75.0
HL Baker,82,1,78,0.012,78.0
VS Solanki,84,1,80,0.012,80.0
R Malhotra,85,1,82,0.012,82.0
R Powell,256,3,261,0.012,87.0
JP Greaves,86,1,95,0.012,95.0
Qaiser Ali,89,1,55,0.011,55.0
H Carlyon,183,2,141,0.011,70.5
AK Peters,88,1,72,0.011,72.0
S Nitschke,93,1,73,0.011,73.0
NND de Silva,270,3,228,0.011,76.0
DR Martyn,90,1,78,0.011,78.0
SHT Kandamby,177,2,175,0.011,87.5
O Bell,288,3,164,0.01,54.67
Aarif Sheikh,762,8,589,0.01,73.62
Shaila Sharmin,97,1,79,0.01,79.0
CS MacLeod,774,8,635,0.01,79.38
D Devnarain,97,1,91,0.01,91.0
N Deonarine,399,4,368,0.01,92.0
Aftab Ahmed,411,4,379,0.01,94.75
F du Plessis,197,2,191,0.01,95.5
V Kohli,671,7,681,0.01,97.29
JL Denly,104,1,101,0.01,101.0
TJG Pringle,200,2,222,0.01,111.0
Sabbir Rahman,289,3,337,0.01,112.33
N M'shangwe,219,2,165,0.009,82.5
PRCS Kumarihami,347,3,255,0.009,85.0
SP de Alwis,110,1,93,0.009,93.0
KH Pandya,234,2,224,0.009,112.0
RN Bhatia,348,3,337,0.009,112.33
MJ Humphreys,109,1,113,0.009,113.0
Raza-ur-Rehman,113,1,114,0.009,114.0
Hasibul Hossain,107,1,121,0.009,121.0
BB Seebaran,108,1,132,0.009,132.0
M Levitt,120,1,83,0.008,83.0
N Dutta,236,2,177,0.008,88.5
Waheed Ahmed,125,1,94,0.008,94.0
MP O'Dowd,127,1,129,0.008,129.0
PRP Boissevain,133,1,192,0.008,192.0
SACA King,286,2,204,0.007,102.0
Fakhar Zaman,135,1,112,0.007,112.0
DE Budge,153,1,112,0.007,112.0
CK Kapugedera,271,2,226,0.007,113.0
Mosharraf Hossain,153,1,124,0.007,124.0
Shahid Ahmadzai,169,1,94,0.006,94.0
KJ Coetzer,169,1,132,0.006,132.0
A Bosch,159,1,134,0.006,134.0
MW Short,167,1,162,0.006,162.0
Yasir Arafat,355,2,327,0.006,163.5
LMP Simmons,163,1,172,0.006,172.0
PJC Hoffmann,196,1,177,0.005,177.0
TCB Fernando,220,1,182,0.005,182.0
Younis Khan,222,1,217,0.005,217.0
LRPL Taylor,45,0,35,0.0,
Tamim Iqbal,7,0,13,0.0,
DA Warner,6,0,8,0.0,
G Gambhir,8,0,13,0.0,
Misbah-ul-Haq,24,0,30,0.0,
BKG Mendis,20,0,28,0.0,
S Chanderpaul,26,0,20,0.0,
AJ Strauss,6,0,3,0.0,
T Taibu,25,0,20,0.0,
SS Iyer,39,0,39,0.0,
Shubman Gill,18,0,25,0.0,
Sarfraz Ahmed,12,0,15,0.0,
Salman Butt,72,0,90,0.0,
H Klaasen,30,0,33,0.0,
Yousuf Youhana,1,0,1,0.0,
T Bavuma,37,0,22,0.0,
J Charles,7,0,12,0.0,
ML Green,79,0,81,0.0,
Waseem Muhammad,75,0,96,0.0,
Asad Shafiq,12,0,18,0.0,
RS Morton,6,0,2,0.0,
TP Ura,6,0,12,0.0,
Nahida Khan,12,0,12,0.0,
FDM Karunaratne,16,0,18,0.0,
KU Carty,27,0,28,0.0,
KH Prajapati,2,0,1,0.0,
DS Smith,18,0,17,0.0,
RV Uthappa,2,0,0,0.0,
SJ Modani,12,0,6,0.0,
Rameez Shahzad,34,0,34,0.0,
CN Nation,6,0,9,0.0,
W Barresi,6,0,13,0.0,
SA Yadav,12,0,17,0.0,
CA Ingram,6,0,17,0.0,
AG Prince,12,0,3,0.0,
Towhid Hridoy,1,0,2,0.0,
H Madavi,25,0,33,0.0,
AT Nidamanuru,6,0,8,0.0,
Mohammad Mithun,13,0,12,0.0,
B Sharki,6,0,8,0.0,
Kyshona A Knight,26,0,32,0.0,
DD Ebrahim,2,0,5,0.0,
Babar Hayat,6,0,9,0.0,
Sandeep Goud,91,0,80,0.0,
AN Petersen,9,0,7,0.0,
A Johnson,24,0,14,0.0,
Ayesha Zafar,27,0,18,0.0,
XM Marshall,4,0,5,0.0,
Asif Ali,5,0,9,0.0,
MDT Kamini,31,0,31,0.0,
I Kaia,28,0,22,0.0,
D Khanal,18,0,20,0.0,
SA Engelbrecht,12,0,17,0.0,
MR Meshram,86,0,51,0.0,
D la Cock,12,0,9,0.0,
ADS Fletcher,28,0,26,0.0,
NS Dhaliwal,6,0,20,0.0,
C Brits,9,0,5,0.0,
S Chattergoon,42,0,30,0.0,
Hannan Sarkar,3,0,13,0.0,
GH Worker,6,0,5,0.0,
Umar Amin,42,0,24,0.0,
Shamsur Rahman,6,0,13,0.0,
JD Campbell,6,0,13,0.0,
N Chaiwai,12,0,5,0.0,
Musa Ahmed,6,0,5,0.0,
AM Tribe,13,0,20,0.0,
HMD Rasangika,12,0,20,0.0,
CNIM Joyce,19,0,31,0.0,
S Mostary,44,0,56,0.0,
T Stubbs,12,0,15,0.0,
DJM Short,90,0,117,0.0,
S Forbes,15,0,17,0.0,
Mohammad Boota,12,0,11,0.0,
C Zhuwao,19,0,21,0.0,
BOP Fernando,12,0,16,0.0,
KNA Bandara,6,0,9,0.0,
B Sai Sudharsan,4,0,8,0.0,
K Weeraratne,96,0,102,0.0,
J Anderson,30,0,20,0.0,
BJ Patel,18,0,21,0.0,
MA Carberry,6,0,12,0.0,
I Maraj,27,0,23,0.0,
AL Kandappah,1,0,4,0.0,
Sanjida Islam,8,0,12,0.0,
T Munyonga,6,0,10,0.0,
SK Atai,48,0,35,0.0,
TC Bastiampillai,6,0,12,0.0,
C Hemraj,7,0,9,0.0,
M Terblanche,12,0,0,0.0,
MJ Cosgrove,24,0,12,0.0,
SP Krishnamurthi,36,0,26,0.0,
Utkarsh Srivastava,24,0,17,0.0,
KDK Vithanage,12,0,17,0.0,
MNK Fernando,12,0,22,0.0,
BJ Bennett,12,0,27,0.0,
Shuvagata Hom,12,0,9,0.0,
Natalia Pervaiz,18,0,16,0.0,
DR Mousley,13,0,17,0.0,
Tilak Varma,42,0,39,0.0,
GM Strydom,30,0,24,0.0,
Mehran Khan,61,0,89,0.0,
K Thomson,21,0,39,0.0,
AK Perera,36,0,33,0.0,
WA Agar,70,0,44,0.0,
Steven Ryan Taylor,21,0,23,0.0,
Fayyaz Ahmed,102,0,69,0.0,
M Shumba,29,0,27,0.0,
CKB Kulasekara,79,0,82,0.0,
M Mangru,18,0,9,0.0,
MF Kendal,21,0,22,0.0,
KED Carroll,6,0,8,0.0,
Waqas Barkat,12,0,19,0.0,
LJ Poulton,13,0,18,0.0,
VR Iyer,30,0,28,0.0,
RW Sims,18,0,21,0.0,
J Louw,44,0,50,0.0,
J Blackwood,18,0,16,0.0,
Shamim Hossain,6,0,8,0.0,
BP Nash,30,0,33,0.0,
Jamaluddin Ahmed,24,0,28,0.0,
Sultan Ahmed,72,0,58,0.0,
DI Allan,18,0,13,0.0,
Skhawat Ali,49,0,71,0.0,
CP Jack,24,0,21,0.0,
SJ Andrews,24,0,13,0.0,
N Ifill,79,0,90,0.0,
MM Iqbal,36,0,45,0.0,
HM Watson,43,0,25,0.0,
AM McCarthy,12,0,10,0.0,
G Chapple,24,0,14,0.0,
O Davidson,54,0,30,0.0,
MC Patel,82,0,54,0.0,
TW Hartley,60,0,48,0.0,
SV Bahutule,19,0,24,0.0,
L Wood,61,0,63,0.0,
H Shah,60,0,55,0.0,
Rashid Zia,59,0,75,0.0,
Mrittunjoy Chowdhury,51,0,68,0.0,
ADJ Pitcher,38,0,38,0.0,
BP Kruger,21,0,23,0.0,
RO Hinds,68,0,37,0.0,
SB Bangar,68,0,60,0.0,
PY Lavine,12,0,14,0.0,
DG Blampied,79,0,78,0.0,
N Rana,18,0,10,0.0,
J Glasgow,12,0,9,0.0,
SR Thadani,19,0,21,0.0,
MJ North,18,0,16,0.0,
MJ Fourie,81,0,52,0.0,
Tanbir Hayder,60,0,67,0.0,
T Gwandu,24,0,38,0.0,
Talha Jubair,77,0,73,0.0,
A Munisar,7,0,9,0.0,
Sufyan Mehmood,9,0,10,0.0,
Muhammad Farooq,81,0,68,0.0,
Pankaj Singh,44,0,45,0.0,
A Shamshudeen,18,0,24,0.0,
LJ Hamilton,52,0,67,0.0,
D Lakshan,12,0,12,0.0,
Hussain Talat,13,0,17,0.0,
HE Whelan,42,0,25,0.0,
GJ McCarter,48,0,38,0.0,
Tharika Sewwandi,13,0,14,0.0,
Omid Shafi Rahman,80,0,104,0.0,
MT Herbert,18,0,15,0.0,
PHT Kaushal,36,0,25,0.0,
Fazle Mahmud,20,0,16,0.0,
DL Blake,6,0,8,0.0,
AL Watkins,13,0,21,0.0,
GA Guy,19,0,20,0.0,
SK Naidu,18,0,22,0.0,
JA Whelan,15,0,7,0.0,
CK Holder,20,0,26,0.0,
Shathira Jakir,19,0,22,0.0,
KC Sangakkara,0,0,0,,
HM Amla,0,0,0,,
Mushfiqur Rahim,0,0,0,,
RT Ponting,0,0,0,,
EJG Morgan,0,0,0,,
S Dhawan,0,0,0,,
Q de Kock,0,0,0,,
WU Tharanga,0,0,0,,
Babar Azam,0,0,0,,
BB McCullum,0,0,0,,
JC Buttler,0,0,0,,
SD Hope,0,0,0,,
DA Miller,0,0,0,,
AC Gilchrist,0,0,0,,
JJ Roy,0,0,0,,
TWM Latham,0,0,0,,
L Wolvaardt,0,0,0,,
ML Hayden,0,0,0,,
TT Beaumont,0,0,0,,
HH Gibbs,0,0,0,,
JM Bairstow,0,0,0,,
LD Chandimal,0,0,0,,
R Dravid,0,0,0,,
AN Cook,0,0,0,,
MDKJ Perera,0,0,0,,
Umar Akmal,0,0,0,,
GJ Bailey,0,0,0,,
DM Bravo,0,0,0,,
BJ Haddin,0,0,0,,
M Raj,0,0,0,,
AM Rahane,0,0,0,,
Imam-ul-Haq,0,0,0,,
CR Ervine,0,0,0,,
KL Rahul,0,0,0,,
AJ Healy,0,0,0,,
Kamran Akmal,0,0,0,,
WTS Porterfield,0,0,0,,
SE Marsh,0,0,0,,
MV Boucher,0,0,0,,
BL Mooney,0,0,0,,
AD Hales,0,0,0,,
Mohammad Rizwan,0,0,0,,
Imrul Kayes,0,0,0,,
Liton Das,0,0,0,,
SP Fleming,0,0,0,,
HM Nicholls,0,0,0,,
D Ramdin,0,0,0,,
AE Jones,0,0,0,,
AT Carey,0,0,0,,
MS Atapattu,0,0,0,,
Inzamam-ul-Haq,0,0,0,,
E Lewis,0,0,0,,
BC Lara,0,0,0,,
EC Joyce,0,0,0,,
V Aravind,0,0,0,,
P Nissanka,0,0,0,,
MS Wade,0,0,0,,
MD Patel,0,0,0,,
NJ O'Brien,0,0,0,,
HG Munsey,0,0,0,,
MH Cross,0,0,0,,
SJ Taylor,0,0,0,,
KD Karthik,0,0,0,,
N Dickwella,0,0,0,,
Sidra Ameen,0,0,0,,
UT Khawaja,0,0,0,,
SA Edwards,0,0,0,,
Yasir Hameed,0,0,0,,
PG Raut,0,0,0,,
WA Young,0,0,0,,
Aasif Sheikh,0,0,0,,
Nasir Jamshed,0,0,0,,
T Chetty,0,0,0,,
SO Hetmyer,0,0,0,,
WIA Fernando,0,0,0,,
L Ronchi,0,0,0,,
Anamul Haque,0,0,0,,
M Kaif,0,0,0,,
BA King,0,0,0,,
HH Dippenaar,0,0,0,,
Fargana Hoque,0,0,0,,
GC Wilson,0,0,0,,
MJ Prior,0,0,0,,
DP Conway,0,0,0,,
PG Fulton,0,0,0,,
Shahriar Nafees,0,0,0,,
Raqibul Hasan,0,0,0,,
KJ Martin,0,0,0,,
Asif Khan,0,0,0,,
RW Chakabva,0,0,0,,
S Samarawickrama,0,0,0,,
SM Katich,0,0,0,,
C Kieswetter,0,0,0,,
JN Malan,0,0,0,,
AJ Blackwell,0,0,0,,
Muneeba Ali,0,0,0,,
JM How,0,0,0,,
KOA Powell,0,0,0,,
Nigar Sultana,0,0,0,,
Habibul Bashar,0,0,0,,
Chirag Suri,0,0,0,,
NT Broom,0,0,0,,
P Litchfield,0,0,0,,
Muhammad Usman,0,0,0,,
Ishan Kishan,0,0,0,,
JWA Taylor,0,0,0,,
RR Pant,0,0,0,,
PD Salt,0,0,0,,
TD Paine,0,0,0,,
SSJ Brooks,0,0,0,,
VVS Laxman,0,0,0,,
PJ Hughes,0,0,0,,
JA Rudolph,0,0,0,,
L Goodall,0,0,0,,
Sharjeel Khan,0,0,0,,
T Brits,0,0,0,,
A Steyn,0,0,0,,
A Hunter,0,0,0,,
MG Bevan,0,0,0,,
LS Greenway,0,0,0,,
GO Jones,0,0,0,,
SR Mukkamalla,0,0,0,,
BM Duckett,0,0,0,,
Kycia A Knight,0,0,0,,
PA Patel,0,0,0,,
RM Ghosh,0,0,0,,
SW Billings,0,0,0,,
ZE Green,0,0,0,,
MS Chapman,0,0,0,,
GWHM Perera,0,0,0,,
YH Bhatia,0,0,0,,
CJ Ferguson,0,0,0,,
RH Priest,0,0,0,,
HJH Marshall,0,0,0,,
L Tucker,0,0,0,,
HC Brook,0,0,0,,
CK Coventry,0,0,0,,
Sharmin Akhter,0,0,0,,
MADD Surangika,0,0,0,,
PM Weerakkody,0,0,0,,
PSP Handscomb,0,0,0,,
KT Perkins,0,0,0,,
A Bagai,0,0,0,,
Khaled Mashud,0,0,0,,
PL Mommsen,0,0,0,,
FH Allen,0,0,0,,
BJ Watling,0,0,0,,
L Winfield,0,0,0,,
MK Pandey,0,0,0,,
Abdullah Shafique,0,0,0,,
L Louwrens,0,0,0,,
Imran Nazir,0,0,0,,
JP Inglis,0,0,0,,
Nain Abidi,0,0,0,,
PJ Moor,0,0,0,,
K Doriga,0,0,0,,
MA Vermeulen,0,0,0,,
CD Wallace,0,0,0,,
SV Samson,0,0,0,,
Shayan Jahangir,0,0,0,,
AA Obanda,0,0,0,,
LR Down,0,0,0,,
ME Bouchier,0,0,0,,
RS Williams,0,0,0,,
K Verreynne,0,0,0,,
SW Ambris,0,0,0,,
N Chantam,0,0,0,,
MA Ouma,0,0,0,,
Javed Omar,0,0,0,,
GS Ballance,0,0,0,,
JE Cameron,0,0,0,,
Ghulam Shabber,0,0,0,,
Murshida Khatun,0,0,0,,
MN van Wyk,0,0,0,,
FC Wilson,0,0,0,,
RD Shah,0,0,0,,
RMVD Gunaratne,0,0,0,,
T Mishra,0,0,0,,
MAA Sanjeewani,0,0,0,,
AB Barath,0,0,0,,
Suraj Kumar,0,0,0,,
MA Jones,0,0,0,,
CS Baugh,0,0,0,,
T de Zorzi,0,0,0,,
J Gumbie,0,0,0,,
M Mupachikwa,0,0,0,,
PJ Forrest,0,0,0,,
MS Sinclair,0,0,0,,
Tanzid Hasan,0,0,0,,
CB Wishart,0,0,0,,
DG Brownlie,0,0,0,,
Naseem Khushi,0,0,0,,
MDN Hansika,0,0,0,,
SJ Myburgh,0,0,0,,
NV Knight,0,0,0,,
B Cooper,0,0,0,,
Rashid Latif,0,0,0,,
A Flower,0,0,0,,
HP Tillakaratne,0,0,0,,
KA Edwards,0,0,0,,
Adnan Mufti,0,0,0,,
SJ Baard,0,0,0,,
Sidra Nawaz,0,0,0,,
S Movva,0,0,0,,
MR Aguilleira,0,0,0,,
DA Gunawardene,0,0,0,,
AK Sah,0,0,0,,
R Mutumbami,0,0,0,,
JP Kotze,0,0,0,,
Shamima Sultana,0,0,0,,
DO Obuya,0,0,0,,
LE Bosman,0,0,0,,
PA Nixon,0,0,0,,
L Winfield-Hill,0,0,0,,
MV Waldron,0,0,0,,
B de Leede,0,0,0,,
AJ Stewart,0,0,0,,
ES Szwarczynski,0,0,0,,
CS Mugeri-Tiripano,0,0,0,,
SK Patel,0,0,0,,
Moin Khan,0,0,0,,
PS Punia,0,0,0,,
TA Blundell,0,0,0,,
B Bezuidenhout,0,0,0,,
B Bhandari,0,0,0,,
M Musonda,0,0,0,,
Sadaf Shamas,0,0,0,,
Taufeeq Umar,0,0,0,,
R Chopra,0,0,0,,
A Sharafu,0,0,0,,
GE Plimmer,0,0,0,,
R Gunasekera,0,0,0,,
C Madande,0,0,0,,
KO Otieno,0,0,0,,
Amjad Ali,0,0,0,,
R Stokell,0,0,0,,
SM Davies,0,0,0,,
ML Udawatte,0,0,0,,
C Tear,0,0,0,,
D Dhingra,0,0,0,,
GJ Hopkins,0,0,0,,
Abid Ali,0,0,0,,
JP Bray,0,0,0,,
NFI McCallum,0,0,0,,
NY McLean,0,0,0,,
TM Dowlin,0,0,0,,
Jahurul Islam,0,0,0,,
T Duffin,0,0,0,,
BR McDermott,0,0,0,,
IS Billcliff,0,0,0,,
P Mustard,0,0,0,,
DR Chumney,0,0,0,,
JM Fields,0,0,0,,
T Marumani,0,0,0,,
TK Musakanda,0,0,0,,
NRJ Croes,0,0,0,,
Khurram Manzoor,0,0,0,,
HS Modi,0,0,0,,
S Sriharsha,0,0,0,,
Z Crawley,0,0,0,,
Saleem Elahi,0,0,0,,
IA Karim,0,0,0,,
PJ Ingram,0,0,0,,
SA Wijeratne,0,0,0,,
PP Shaw,0,0,0,,
A Saud,0,0,0,,
RD Rickelton,0,0,0,,
G Kirsten,0,0,0,,
BB Chari,0,0,0,,
F Mutizwa,0,0,0,,
ND McKenzie,0,0,0,,
CMA Shillington,0,0,0,,
DM Richards,0,0,0,,
JA McCollum,0,0,0,,
B Zuiderent,0,0,0,,
JAD Lawrenson,0,0,0,,
IC Gaze,0,0,0,,
G Voll,0,0,0,,
GM Hamilton,0,0,0,,
SJ Bryce,0,0,0,,
Najiha Alvi,0,0,0,,
TSS Mackintosh,0,0,0,,
Nurul Hasan,0,0,0,,
MJ Lumb,0,0,0,,
ST Doheny,0,0,0,,
Shan Masood,0,0,0,,
Y Venugopal Rao,0,0,0,,
FRJ Coleman,0,0,0,,
SJ McGlashan,0,0,0,,
Akshay Homraj,0,0,0,,
AGS Gous,0,0,0,,
CJO Smith,0,0,0,,
T Kaitano,0,0,0,,
CMW Read,0,0,0,,
SRH Curtis,0,0,0,,
A Kolan,0,0,0,,
MB Kruger,0,0,0,,
A Rawat,0,0,0,,
SP Patil,0,0,0,,
AJ Redmond,0,0,0,,
D Ganga,0,0,0,,
AA Mulla,0,0,0,,
BN Cooper,0,0,0,,
Khalid Latif,0,0,0,,
Nazimuddin,0,0,0,,
BYA Mendis,0,0,0,,
JA Burns,0,0,0,,
K Zondo,0,0,0,,
NC Dodd,0,0,0,,
CO Browne,0,0,0,,
S Jafta,0,0,0,,
MB Loye,0,0,0,,
HJW Gardiner,0,0,0,,
RD Jacobs,0,0,0,,
VV Morea,0,0,0,,
KJJ van Noortwijk,0,0,0,,
TS Hasabnis,0,0,0,,
M Bhanuka,0,0,0,,
CT Dhururu,0,0,0,,
ARI Umeed,0,0,0,,
D Myers,0,0,0,,
KA Hope,0,0,0,,
T Bhatia,0,0,0,,
N Vare,0,0,0,,
CR Pagydyala,0,0,0,,
S Verma,0,0,0,,
T Banton,0,0,0,,
PA Browne,0,0,0,,
Faisal Iqbal,0,0,0,,
JL Smith,0,0,0,,
D Keulder,0,0,0,,
TS Kamunhukamwe,0,0,0,,
D Bau,0,0,0,,
DF Watts,0,0,0,,
Nafees Iqbal,0,0,0,,
N Hussain,0,0,0,,
ZE Surkari,0,0,0,,
CE Coulter Reilly,0,0,0,,
AR Odedara,0,0,0,,
RS Kaluwitharana,0,0,0,,
Dhiman Ghosh,0,0,0,,
PA Jaques,0,0,0,,
Usman Limbada,0,0,0,,
B Tau,0,0,0,,
JP Maher,0,0,0,,
Ayasha Rahman,0,0,0,,
AL Hodgkinson,0,0,0,,
N Koncharoenkai,0,0,0,,
JW Jenner,0,0,0,,
J Edness,0,0,0,,
Khalid Kail,0,0,0,,
CMG Atkins,0,0,0,,
RD Gaikwad,0,0,0,,
S Meghana,0,0,0,,
Jaker Ali,0,0,0,,
L Jack,0,0,0,,
DP Hyatt,0,0,0,,
C Carter,0,0,0,,
AN Kervezee,0,0,0,,
SV Carlisle,0,0,0,,
R Murray,0,0,0,,
A Maregwede,0,0,0,,
KNM Fernando,0,0,0,,
MM English,0,0,0,,
BA Parchment,0,0,0,,
SR Hain,0,0,0,,
A Minny,0,0,0,,
SL Kalis,0,0,0,,
HDJ Siegers,0,0,0,,
AA Jangoo,0,0,0,,
DA Minors,0,0,0,,
KV Jain,0,0,0,,
PS Athavale,0,0,0,,
Yasir Ali Chowdhury,0,0,0,,
Shahzaib Hasan,0,0,0,,
R Kanoh,0,0,0,,
CJ Bowes,0,0,0,,
Hamza Tariq,0,0,0,,
RA Jones,0,0,0,,
GEF Barnett,0,0,0,,
JV Harris,0,0,0,,
GB Murgatroyd,0,0,0,,
PBB Rajapaksa,0,0,0,,
N Davin,0,0,0,,
SE Findlay,0,0,0,,
J Fraser-McGurk,0,0,0,,
P Mujaji,0,0,0,,
FL Reifer,0,0,0,,
JJ Atkinson,0,0,0,,
CJ Nevin,0,0,0,,
GC Bhogle,0,0,0,,
A Lister,0,0,0,,
M McColl,0,0,0,,
Rabiya Shah,0,0,0,,
M Spoors,0,0,0,,
E Claridge,0,0,0,,
S Badrinath,0,0,0,,
HJ Armitage,0,0,0,,
T Suri,0,0,0,,
Sami Aslam,0,0,0,,
SP Khakurel,0,0,0,,
SC Taylor,0,0,0,,
Ravinderpal Singh,0,0,0,,
SC Joseph,0,0,0,,
CA Lynn,0,0,0,,
SW Poynter,0,0,0,,
N Gwanzura,0,0,0,,
U Raymond-Hoey,0,0,0,,
DS Weerakkody,0,0,0,,
SS McKechnie,0,0,0,,
TP Visee,0,0,0,,
J Smits,0,0,0,,
K Frank,0,0,0,,
TN de Grooth,0,0,0,,
Sana Javed,0,0,0,,
SR Waters,0,0,0,,
Sharmin Sultana,0,0,0,,
JR Philippe,0,0,0,,
AD Poynter,0,0,0,,
Batool Fatima,0,0,0,,
PD McGlashan,0,0,0,,
Adnan Akmal,0,0,0,,
J Gray,0,0,0,,
BT Foakes,0,0,0,,
Shahid Wasif,0,0,0,,
PJ Scholfield,0,0,0,,
BAM Heath,0,0,0,,
MJ Hay,0,0,0,,
Abdul Jabbar,0,0,0,,
Mohammad Naim,0,0,0,,
Hammad Mirza,0,0,0,,
M van Schoor,0,0,0,,
TMK Mawoyo,0,0,0,,
Tayyab Tahir,0,0,0,,
L Sreekumar,0,0,0,,
Akram Khan,0,0,0,,
S Jora,0,0,0,,
Zubayr Hamza,0,0,0,,
FY Fazal,0,0,0,,
J Figy John,0,0,0,,
DES Maxwell,0,0,0,,
CAK Walton,0,0,0,,
AR Berenger,0,0,0,,
Waqas Khan,0,0,0,,
IR James,0,0,0,,
CA Pujara,0,0,0,,
VR Vanitha,0,0,0,,
MJ Bulow,0,0,0,,
EL Watson,0,0,0,,
SS Tiwary,0,0,0,,
TB Robinson,0,0,0,,
Zulqarnain Haider,0,0,0,,
Irfan Khan,0,0,0,,
Tasqeen Qadeer,0,0,0,,
KK Nair,0,0,0,,
OV Anderson,0,0,0,,
M Karg,0,0,0,,
TV Mufambisi,0,0,0,,
M De Ridder,0,0,0,,
Tabarak Dar,0,0,0,,
Al Sahariar,0,0,0,,
SJ Swanepoel,0,0,0,,
Haider Ali,0,0,0,,
CD Cumming,0,0,0,,
WP Saha,0,0,0,,
KY Ottley,0,0,0,,
Aaditya Varadarajan,0,0,0,,
JO Troughton,0,0,0,,
RWT Key,0,0,0,,
NA Greenwood,0,0,0,,
JNT Vare,0,0,0,,
C McAuslan,0,0,0,,
J van Vliet,0,0,0,,
Abdul Shakoor,0,0,0,,
LDVV Silva,0,0,0,,
RP Alexander,0,0,0,,
TL Seifert,0,0,0,,
Ayesha Naseem,0,0,0,,
HM Tiffen,0,0,0,,
A Aitken-Drummond,0,0,0,,
Mohammad Iqbal,0,0,0,,
PARP Perera,0,0,0,,
JAH Marshall,0,0,0,,
D Cleaver,0,0,0,,
MHW Papps,0,0,0,,
AA Deshpande,0,0,0,,
C Jonker,0,0,0,,
JB Nero,0,0,0,,
D Daesrath,0,0,0,,
Mohammad Haris,0,0,0,,
Saqlain Haider,0,0,0,,
RM Jariwala,0,0,0,,
AR Pitcher,0,0,0,,
SM Warnapura,0,0,0,,
B Leephatthana,0,0,0,,
R Boyce,0,0,0,,
DI Joyce,0,0,0,,
JJ Celestine,0,0,0,,
OL Pitcher,0,0,0,,
CJ Smith,0,0,0,,
AF Buurman,0,0,0,,
Khurram Nawaz,0,0,0,,
M Faisal,0,0,0,,
SL Stewart,0,0,0,,
S Naik,0,0,0,,
CH van Koolwijk,0,0,0,,
LK Ebsary,0,0,0,,
Y van der Westhuizen,0,0,0,,
SJ Massiah,0,0,0,,
RD McCann,0,0,0,,
RM Patidar,0,0,0,,
Mohammad Salman,0,0,0,,
JM Cox,0,0,0,,
EC Perry,0,0,0,,
LR Naylor,0,0,0,,
MR Johnson,0,0,0,,
HGV Vare,0,0,0,,
JA Simpson,0,0,0,,
L Rajadurai,0,0,0,,
AF Sattaur,0,0,0,,
S Jyoti,0,0,0,,
LR Johnson,0,0,0,,
S Khiaoto,0,0,0,,
CC Dalton,0,0,0,,
K Whatham,0,0,0,,
SDNS Karunaratne,0,0,0,,
J Sharma,0,0,0,,
OO Bascome,0,0,0,,
SP Terry,0,0,0,,
Ankur Sharma,0,0,0,,
JH Desai,0,0,0,,
Nuzhat Tasnia,0,0,0,,
F Walters,0,0,0,,
F Tunnicliffe,0,0,0,,
EMDY Munaweera,0,0,0,,
I Dulani,0,0,0,,
RM van Oosterom,0,0,0,,
J Post,0,0,0,,
HD Rutherford,0,0,0,,
ML Patel,0,0,0,,
A Valthapa,0,0,0,,
J Da Silva,0,0,0,,
MD du Preez,0,0,0,,
IPP Batuwitarachchi,0,0,0,,
NK Crafton,0,0,0,,
Usman Salahuddin,0,0,0,,
AA Shafique,0,0,0,,
HIS Mendis,0,0,0,,
GI Maiden,0,0,0,,
