player_name,Total_Matches_Played,Total_Matches_Lost,Players_Loss_Percentage
TMK Mawoyo,195,144,73.84615384615384
AC Cummins,38,28,73.6842105263158
AA Mulla,38,28,73.6842105263158
DES Maxwell,38,28,73.6842105263158
GR Codrington,38,28,73.6842105263158
Hamza Tariq,34,25,73.52941176470588
Usman Limbada,34,25,73.52941176470588
RW Sims,67,49,73.13432835820896
KH Butt,11,8,72.72727272727273
Shahid Ahmadzai,33,24,72.72727272727273
Ethan D'Souza,22,16,72.72727272727273
Lovepreet Singh,22,16,72.72727272727273
Tabarak Dar,11,8,72.72727272727273
Skhawat Ali,11,8,72.72727272727273
CK Kruger,11,8,72.72727272727273
Shahriar Hossain,40,29,72.5
D Joseph,29,21,72.41379310344827
Abdul Jabbar,32,23,71.875
J Patraj,32,23,71.875
TC Bastiampillai,32,23,71.875
Mohammad Iqbal,32,23,71.875
D Soraine,32,23,71.875
AL Kandappah,32,23,71.875
S Jyoti,42,30,71.42857142857143
S Dhaniram,42,30,71.42857142857143
SS McKechnie,14,10,71.42857142857143
CN Ackermann,86,61,70.93023255813954
AT Nidamanuru,86,61,70.93023255813954
LV van Beek,86,61,70.93023255813954
R Klein,79,56,70.88607594936708
Tareq Aziz,48,34,70.83333333333333
NA Statham,75,53,70.66666666666667
J Smits,75,53,70.66666666666667
DLS van Bunge,75,53,70.66666666666667
RP Lefebvre,75,53,70.66666666666667
B de Leede,85,60,70.58823529411765
F Overdijk,85,60,70.58823529411765
S Siegers,85,60,70.58823529411765
R Rijke,85,60,70.58823529411765
J Post,85,60,70.58823529411765
RM van Oosterom,85,60,70.58823529411765
I van der Woning,85,60,70.58823529411765
AS van Beuge,85,60,70.58823529411765
C de Lange,85,60,70.58823529411765
IJR Zwilling,85,60,70.58823529411765
EN Lynch,85,60,70.58823529411765
SJ Myburgh,78,55,70.51282051282051
HDJ Siegers,81,57,70.37037037037037
SL Kalis,81,57,70.37037037037037
Musa Ahmed,84,59,70.23809523809524
PRP Boissevain,77,54,70.12987012987013
JF Kloppenburg,87,61,70.11494252873563
LP van Troost,87,61,70.11494252873563
