player_name,Total_Wickets_Taken,Total_Runs_Conceded,Runs_Conceded_Per_Wicket
Zahoor Khan,95,2407,25.33684210526316
Kuldeep Yadav,173,4400,25.433526011560694
PWH de Silva,85,2164,25.458823529411763
AR Cusack,34,866,25.470588235294116
CM Edwards,2,51,25.5
CM McBride,4,102,25.5
NJ Carey,20,511,25.55
SSB Magala,15,384,25.6
LMM Tahuhu,98,2511,25.622448979591837
Haris Rauf,79,2029,25.68354430379747
N de Klerk,53,1362,25.69811320754717
Rumana Ahmed,26,669,25.73076923076923
UDU Chandana,38,978,25.736842105263158
IDR Bradshaw,69,1777,25.753623188405797
Waqar Younis,7,181,25.857142857142858
D Gough,58,1504,25.93103448275862
S Gajnabi,5,130,26.0
TM Odoyo,45,1172,26.044444444444444
JN Frylinck,36,938,26.055555555555557
AR Adams,28,730,26.071428571428573
S Nisansala,8,209,26.125
I Toua,11,288,26.181818181818183
OA Shah,7,184,26.285714285714285
MF Maharoof,118,3113,26.38135593220339
AJ Tye,15,396,26.4
A Mohammed,58,1533,26.43103448275862
CA Soper,67,1774,26.47761194029851
AC Botha,16,424,26.5
HK Badani,2,53,26.5
TD Smartt,12,319,26.583333333333332
D Hazell,34,904,26.58823529411765
HK Matthews,83,2210,26.626506024096386
LA Marsh,53,1414,26.67924528301887
S Siegers,9,243,27.0
S Thuraisingam,6,162,27.0
DS Bajwa,1,27,27.0
JM Davison,19,513,27.0
MG Erasmus,34,921,27.08823529411765
Shaiman Anwar,5,136,27.2
AA Paradkar,9,245,27.22222222222222
Soumya Sarkar,20,545,27.25
A Capsey,8,218,27.25
R Rampaul,115,3136,27.269565217391303
JDF Vandersay,40,1091,27.275
TG Norris,7,191,27.285714285714285
HJ Thomas,9,246,27.333333333333332
J Jarvis,7,192,27.428571428571427
Washington Sundar,23,631,27.434782608695652
Sompal Kami,79,2168,27.443037974683545
JB Reva,6,165,27.5
OC McCoy,4,110,27.5
Fatima Sana,59,1626,27.559322033898304
GA Rogers,5,138,27.6
TL Best,36,994,27.61111111111111
DJ Bravo,193,5330,27.616580310880828
HM Rowe,58,1603,27.637931034482758
V Sukumaran,3,83,27.666666666666668
R Ntozakhe,21,582,27.714285714285715
Nashra Sandhu,87,2413,27.735632183908045
SL Malinga,343,9518,27.749271137026238
Junaid Siddique,77,2137,27.753246753246753
AA Alleyne,30,834,27.8
KW Richardson,45,1251,27.8
KS Lokuarachchi,18,503,27.944444444444443
MA Leask,64,1789,27.953125
Aayan Afzal Khan,43,1202,27.953488372093023
DS Airee,46,1287,27.97826086956522
Zafar Gohar,2,56,28.0
P Roy,1,28,28.0
KC Hodsoll,1,28,28.0
L Lee,2,56,28.0
SSD Arachchige,1,28,28.0
H Thaker,22,617,28.045454545454547
SM Sharif,89,2497,28.0561797752809
A Vala,47,1320,28.085106382978722
WD Parnell,110,3090,28.09090909090909
MM Patel,93,2614,28.107526881720432
WPUJC Vaas,118,3317,28.110169491525422
A Codrington,6,169,28.166666666666668
G Sultana,12,338,28.166666666666668
IK Pathan,156,4419,28.326923076923077
EA Perry,83,2352,28.337349397590362
SI Kamea,28,797,28.464285714285715
AJ Hosein,60,1709,28.483333333333334
Qanita Jalil,6,171,28.5
KAJ Roach,132,3775,28.598484848484848
FR Davies,11,316,28.727272727272727
Jubair Hossain,4,115,28.75
DT Christian,21,605,28.80952380952381
AE Satterthwaite,29,839,28.93103448275862
Ali Naseer,23,667,29.0
SW Currie,3,87,29.0
N Pooran,6,174,29.0
SD Udal,1,29,29.0
DT Johnston,39,1133,29.05128205128205
Kashif Daud,17,495,29.11764705882353
A Mazvishaya,12,350,29.166666666666668
U Bhatti,12,350,29.166666666666668
A Nehra,115,3363,29.243478260869566
EJB Miles,4,117,29.25
PJ Ongondo,34,995,29.264705882352942
AB de Villiers,7,205,29.285714285714285
NA de Groot,3,88,29.333333333333332
Mahedi Hasan,15,441,29.4
Kushal Malla,26,766,29.46153846153846
M Dillon,25,737,29.48
S Sreesanth,81,2388,29.48148148148148
Tushar Imran,2,59,29.5
SS Weerakkody,28,826,29.5
PT Collins,12,354,29.5
SR Watson,162,4780,29.506172839506174
KP Meiyappan,38,1123,29.55263157894737
M Klaas,77,2277,29.571428571428573
GR Codrington,9,267,29.666666666666668
Nizakat Khan,3,89,29.666666666666668
AD Mathews,137,4068,29.693430656934307
MD Dai,13,387,29.76923076923077
Tanzim Hasan Sakib,14,417,29.785714285714285
WB Rankin,67,1996,29.791044776119403
AC Kerr,97,2891,29.804123711340207
BM Halliday,7,209,29.857142857142858
CN Ackermann,15,448,29.866666666666667
Shoriful Islam,46,1379,29.97826086956522
AJ Turner,2,60,30.0
MK Tiwary,5,150,30.0
H Graham,1,30,30.0
RJ Peterson,76,2280,30.0
CL White,11,331,30.09090909090909
Hasan Mahmud,29,873,30.103448275862068
AF Giles,38,1144,30.105263157894736
SI Mahmood,38,1145,30.13157894736842
DLS van Bunge,6,181,30.166666666666668
B Shikongo,25,755,30.2
KK Ahmed,14,423,30.214285714285715
JF Mooney,37,1119,30.243243243243242
O Chare,3,91,30.333333333333332
WK McCallan,14,425,30.357142857142858
Saad Bin Zafar,25,760,30.4
ST Jayasuriya,105,3194,30.419047619047618
IECM Wong,4,122,30.5
Rohan Mustafa,87,2654,30.50574712643678
Sohag Gazi,24,736,30.666666666666668
P Marange,10,307,30.7
Syed Rasel,53,1634,30.830188679245282
Kabir Ali,21,648,30.857142857142858
B Evans,17,525,30.88235294117647
Wasim Ali,1,31,31.0
GM Ewing,6,186,31.0
A Balbirnie,1,31,31.0
RA Lewis,1,31,31.0
AD Russell,72,2235,31.041666666666668
RP Singh,80,2487,31.0875
Gulsan Jha,30,937,31.233333333333334
AL Phehlukwayo,96,3003,31.28125
HDRL Thirimanne,3,94,31.333333333333332
Shariz Ahmad,19,596,31.36842105263158
Umran Malik,13,408,31.384615384615383
T Mupariwa,39,1225,31.41025641025641
PP Ojha,21,660,31.428571428571427
R Ashwin,166,5228,31.49397590361446
Pratika Rawal,2,63,31.5
DPMD Jayawardene,2,63,31.5
RP Lefebvre,4,126,31.5
SMSM Senanayake,60,1892,31.533333333333335
S Rana,26,820,31.53846153846154
UT Yadav,116,3659,31.54310344827586
AR Patel,67,2117,31.597014925373134
GP Tom,4,127,31.75
MDK Perera,13,413,31.76923076923077
I Ranaweera,62,1975,31.85483870967742
CH Gayle,112,3569,31.866071428571427
TS Chisoro,12,383,31.916666666666668
DN Wyatt,14,447,31.928571428571427
E Otieno,15,479,31.933333333333334
MS Dhoni,1,32,32.0
EL Lamb,3,96,32.0
SG Whittingham,6,192,32.0
BCJ Cutting,5,160,32.0
Mudassar Bukhari,16,515,32.1875
W O'Rourke,8,258,32.25
TT Bresnan,120,3879,32.325
TB Sole,9,291,32.333333333333336
LV van Beek,50,1619,32.38
TS Sekhukhune,27,875,32.407407407407405
Umaima Sohail,18,584,32.44444444444444
JD Ryder,11,357,32.45454545454545
M van Lingen,2,65,32.5
SA Campbelle,4,130,32.5
S Randiv,38,1240,32.63157894736842
RN ten Doeschate,20,654,32.7
Mashrafe Mortaza,227,7441,32.779735682819386
L Tshuma,10,328,32.8
Mehedi Hasan Miraz,107,3511,32.81308411214953
SO Tikolo,28,919,32.82142857142857
AB Kaur,6,197,32.833333333333336
Saqlain Mushtaq,4,132,33.0
TT Samaraweera,1,33,33.0
JR Hopes,73,2414,33.06849315068493
I Wardlaw,18,596,33.111111111111114
L Balaji,28,928,33.142857142857146
B Muzarabani,54,1794,33.22222222222222
O Thomas,30,998,33.266666666666666
SR Thompson,10,333,33.3
MS Panesar,30,1000,33.333333333333336
MJ Clarke,56,1868,33.357142857142854
CA Henry,33,1105,33.484848484848484
NR Kumar,2,67,33.5
DEM Carter,8,268,33.5
N Vanua,56,1880,33.57142857142857
Abdul Razzaq,110,3694,33.58181818181818
L Klusener,12,403,33.583333333333336
LHD Dilhara,3,101,33.666666666666664
DN Wellalage,27,909,33.666666666666664
SMA Priyanjan,7,236,33.714285714285715
Usama Mir,15,507,33.8
J Kila,6,203,33.833333333333336
Javeria Khan,8,271,33.875
MKDI Amerasinghe,10,339,33.9
SPD Smith,29,985,33.96551724137931
LPC Silva,1,34,34.0
TS Roland-Jones,1,34,34.0
Raza Hasan,2,68,34.0
T Maruma,6,204,34.0
O Prendergast,18,616,34.22222222222222
PP Chawla,33,1131,34.27272727272727
H Deol,2,69,34.5
RK Kleinveldt,12,415,34.583333333333336
TK Curran,38,1315,34.60526315789474
C de Lange,12,416,34.666666666666664
JA Morkel,50,1736,34.72
Yuvraj Singh,99,3438,34.72727272727273
PA de Silva,14,487,34.785714285714285
SFM Devine,55,1914,34.8
D Joseph,5,174,34.8
M Kartik,30,1048,34.93333333333333
R Slater,1,35,35.0
BA Langston,2,70,35.0
Mohammad Nawaz (3),17,595,35.0
JA Turner,2,70,35.0
CS Terblanche,1,35,35.0
RML Taylor,11,386,35.09090909090909
Mohammad Hasnain,20,705,35.25
JO Holder,162,5712,35.25925925925926
V Buruka,3,106,35.333333333333336
KA Pollard,59,2086,35.355932203389834
MC Henriques,10,354,35.4
PA Chatterji,8,284,35.5
DR Smith,53,1888,35.62264150943396
Mohammad Hafeez,142,5081,35.78169014084507
CR Brathwaite,46,1647,35.80434782608695
Nida Dar,62,2224,35.87096774193548
PD Collingwood,96,3444,35.875
KM Jadhav,28,1005,35.892857142857146
AAP Atkinson,11,395,35.90909090909091
MR Marsh,57,2047,35.91228070175438
V Sehwag,58,2083,35.91379310344828
GB Brent,25,900,36.0
S Mandhana,1,36,36.0
RC Irani,8,288,36.0
EJ Villani,6,216,36.0
Afif Hossain,3,108,36.0
HH Pandya,81,2919,36.03703703703704
CL Tryon,40,1445,36.125
P Vastrakar,29,1049,36.172413793103445
A Nao,20,724,36.2
D Langford-Smith,10,362,36.2
JDS Neesham,71,2573,36.23943661971831
JG Bethell,4,145,36.25
JP Behrendorff,16,581,36.3125
CJ Jordan,47,1708,36.340425531914896
DJ Hussey,19,694,36.526315789473685
Avesh Khan,9,330,36.666666666666664
J Botha,77,2839,36.87012987012987
SKW Kelly,2,74,37.0
Saud Shakeel,1,37,37.0
LE Milliken,1,37,37.0
G Toka,3,111,37.0
D Elgar,2,74,37.0
Jatinder Singh,1,37,37.0
KJ O'Brien,60,2221,37.016666666666666
