player_name,total_runs,Strike_Rate
Fargana Hoque,1275,49.4
DR Smith,1261,88.18
Sabbir Rahman,1259,90.25
C Munro,1249,103.48
JD Ryder,1242,95.98
RR Rossouw,1239,92.39
GC Wilson,1232,74.53
Imran Farhat,1232,64.54
MJ Prior,1229,74.39
DP Conway,1226,86.95
IK Pathan,1226,79.2
PG Fulton,1216,70.45
Shahriar Nafees,1216,66.92
Aliya Riaz,1207,63.66
RS Morton,1205,64.37
TP Ura,1196,78.37
Vikramjit Singh,1190,70.33
Mehedi Hasan Miraz,1188,78.36
K Bhurtel,1182,78.91
Raqibul Hasan,1177,61.62
A Gardner,1175,100.6
Nida Dar,1171,65.64
SA Campbelle,1167,59.91
Nazmul Hossain Shanto,1165,79.96
KJ Martin,1161,75.59
Asif Khan,1155,81.0
MD Shanaka,1153,87.55
Nahida Khan,1121,63.69
RW Chakabva,1106,67.03
L Vincent,1089,68.36
F Behardien,1074,96.41
S Samarawickrama,1073,90.62
WW Hinds,1066,65.56
Aftab Ahmed,1061,73.12
CM Edwards,1054,71.99
JI Rodrigues,1051,80.91
FDM Karunaratne,1044,76.6
SM Katich,1041,68.62
MN Waller,1039,75.13
RP Arnold,1039,69.68
AD Russell,1034,128.45
Aarif Sheikh,1032,62.62
Junaid Siddique,1021,66.69
KU Carty,1000,75.93
KH Prajapati,996,73.72
C Kieswetter,985,87.17
DS Smith,973,70.56
JN Malan,958,81.39
AJ Blackwell,953,75.76
CJA Amini,952,61.62
Muneeba Ali,948,58.92
Shaiman Anwar,947,81.5
JM How,939,64.8
G Singh,938,81.21
Imad Wasim,937,108.95
MG Johnson,934,93.21
RV Uthappa,934,87.29
KOA Powell,934,78.42
RR Hendricks,930,76.8
Nigar Sultana,927,48.82
Habibul Bashar,926,55.42
Chirag Suri,924,62.77
NT Broom,919,78.68
R Powell,915,86.81
CP Rizwan,901,57.28
SJ Modani,898,61.51
P Litchfield,895,78.37
BJ McMullen,888,83.93
Muhammad Usman,888,73.27
Ishan Kishan,886,99.55
JWA Taylor,879,79.55
S Bau,874,58.93
RR Pant,871,102.96
TT Bresnan,871,88.52
PD Salt,866,112.47
DS Airee,861,70.75
TD Paine,861,68.88
PWH de Silva,859,102.75
Rameez Shahzad,848,75.85
Shoaib Khan,843,82.24
SSJ Brooks,842,73.22
JJ Smit,839,71.89
CN Nation,831,54.46
TM Odoyo,830,69.11
VS Solanki,829,69.43
VVS Laxman,828,72.5
BM Halliday,828,70.65
AL Phehlukwayo,827,83.03
SHT Kandamby,827,69.03
PJ Hughes,826,73.88
O Prendergast,821,74.37
W Barresi,820,76.21
JA Rudolph,820,66.78
L Goodall,817,59.9
YK Pathan,810,110.05
MF Maharoof,799,80.63
AC Voges,798,83.47
JN Loftie-Eaton,796,74.25
SIR Dunkley,789,79.46
Sharjeel Khan,787,113.73
T Brits,786,69.13
A Steyn,781,61.11
A Hunter,776,81.68
SA Yadav,773,102.93
N Vanua,769,78.95
CA Ingram,761,81.39
AG Prince,761,67.58
Towhid Hridoy,759,85.47
Kushal Malla,756,86.9
MG Bevan,755,64.15
G Malla,753,65.76
L Siaka,749,73.94
LS Greenway,732,65.83
SF Mire,729,77.22
H Madavi,729,66.7
Pargat Singh,722,77.63
GO Jones,715,80.97
AT Nidamanuru,713,91.29
SR Mukkamalla,711,82.87
Mohammad Mithun,711,75.0
GD Phillips,710,94.79
R Ashwin,707,85.08
LJ Wright,707,84.37
JA Morkel,705,96.97
SO Tikolo,705,64.27
NND de Silva,703,66.07
B Sharki,703,65.03
BM Duckett,700,98.18
Kycia A Knight,699,51.78
PA Patel,693,78.39
RM Ghosh,690,90.2
SW Billings,690,89.84
ZE Green,686,78.67
MS Chapman,684,102.86
HASD Siriwardene,679,55.98
Umaima Sohail,670,61.69
TT Samaraweera,669,73.19
GWHM Perera,668,56.75
YH Bhatia,666,69.88
CJ Ferguson,663,83.4
RH Priest,661,81.0
HJH Marshall,661,67.45
L Tucker,657,76.75
HC Brook,653,105.49
CA Soper,653,55.39
CK Coventry,645,87.52
Shafali Verma,644,79.21
Sharmin Akhter,643,56.4
MADD Surangika,642,53.06
PM Weerakkody,638,54.44
Agha Salman,637,97.7
PSP Handscomb,632,96.34
C Green,626,81.3
Gulsan Jha,625,75.57
Sompal Kami,621,71.71
JN Mohammed,621,66.85
KT Perkins,618,73.75
JN Frylinck,615,73.65
A Bagai,614,61.71
H Thaker,612,66.81
JF Mooney,610,81.77
Khaled Mashud,605,53.12
PL Mommsen,601,76.46
Kyshona A Knight,597,47.99
RN ten Doeschate,594,87.1
J Botha,594,82.73
BMAJ Mendis,593,80.03
JM Vince,590,86.51
N de Klerk,589,72.09
Aayan Afzal Khan,585,73.96
FH Allen,582,91.37
P Vastrakar,579,86.29
TLW Cooper,576,74.23
WD Parnell,574,77.25
BJ Watling,573,66.63
WPUJC Vaas,569,67.34
AR Patel,568,90.02
L Winfield,564,70.77
H Deol,561,76.53
MK Pandey,558,89.42
DD Ebrahim,555,52.86
Abdullah Shafique,554,80.41
Afif Hossain,548,86.85
N Deonarine,546,62.54
Babar Hayat,539,71.96
CA Henry,537,76.39
Sandeep Goud,535,69.84
L Louwrens,535,58.28
JL Jonassen,533,84.34
Imran Nazir,531,87.91
J Mubarak,531,63.75
CR Brathwaite,527,85.97
Mosaddek Hossain,524,80.0
RJ Peterson,523,82.23
JP Inglis,521,99.24
Nain Abidi,521,54.55
PJ Moor,520,66.58
K Doriga,520,56.09
MA Vermeulen,517,64.95
BJ Hodge,516,88.51
CD Wallace,515,86.12
SV Samson,510,96.77
Nizakat Khan,508,80.89
SL Malinga,508,72.47
LV van Beek,505,82.79
AN Petersen,498,81.64
SE Rutherford,497,110.44
Shayan Jahangir,497,85.25
Mominul Haque,495,73.77
SM Sharif,492,69.79
JWM Dalrymple,487,71.94
AA Obanda,487,69.18
LR Down,486,60.83
Fatima Sana,484,69.54
NR Kirton,483,74.19
ME Bouchier,482,103.43
RS Williams,477,46.22
K Verreynne,476,87.18
SW Ambris,473,93.66
N Chantam,473,68.65
WG Jacks,468,98.11
EJ Villani,468,77.23
MA Ouma,468,54.74
Javed Omar,468,48.4
Karan KC,457,83.24
AR Nurse,454,97.84
GS Ballance,454,70.17
JE Cameron,452,75.21
JL Denly,446,69.15
Pratika Rawal,444,89.52
Ghulam Shabber,444,62.01
JM Davison,443,112.72
S Lamichhane,440,88.0
A Johnson,438,95.22
H Hiri,435,54.79
Murshida Khatun,429,55.0
A Ndiraya,428,68.59
CG Williams,427,77.64
MN van Wyk,425,67.35
