player_name,total_runs,Strike_Rate
MR Swart,59,75.64
Abdul Jabbar,59,68.6
Shaila Sharmin,59,60.2
HJ Thomas,59,48.36
D Parashar,58,65.17
Mohammad Naim,58,58.59
Hammad Mirza,58,54.72
M van Schoor,58,52.25
LL Tsotsobe,58,51.33
TMK Mawoyo,58,34.94
Tayyab Tahir,57,123.91
AJ Tye,57,118.75
L Sreekumar,57,82.61
Akram Khan,57,55.88
S Jora,56,82.35
Zubayr Hamza,56,68.29
RK Singh,55,127.91
FY Fazal,55,84.62
J Figy John,55,73.33
AB Kaur,55,50.46
DES Maxwell,54,120.0
Kabir Ali,54,93.1
A Nao,54,76.06
A Mazvishaya,54,44.63
Mohammad Hasnain,53,155.88
BCJ Cutting,53,79.1
CAK Walton,53,60.23
P Maya,53,50.48
AR Berenger,53,46.09
K Thomson,52,75.36
AK Perera,52,62.65
KE Ebrahim,52,54.74
Waqas Khan,52,49.06
IR James,51,79.69
AA Paradkar,51,60.0
RN Bhatia,51,44.74
CA Pujara,51,37.5
WA Agar,50,116.28
RTM Mendis,50,100.0
VR Vanitha,50,78.12
MJ Bulow,50,67.57
EL Watson,50,40.0
SS Tiwary,49,85.96
LHD Dilhara,49,81.67
KO Meth,49,52.69
TB Robinson,48,97.96
Zulqarnain Haider,48,68.57
Irfan Khan,48,64.86
Tasqeen Qadeer,48,33.33
G Kodali,46,60.53
Steven Ryan Taylor,46,56.79
KK Nair,46,51.69
OV Anderson,46,47.42
SZ Thakor,46,45.1
PP Ojha,46,40.35
AE Smith,45,150.0
TH David,45,80.36
M Karg,45,68.18
TV Mufambisi,45,63.38
M De Ridder,45,60.81
IM Vaghela,45,49.45
Tabarak Dar,45,47.37
M Dillon,44,84.62
Al Sahariar,44,43.14
S Sreesanth,44,35.2
NA de Groot,44,33.85
RP Lefebvre,43,63.24
SJ Swanepoel,43,43.43
Haider Ali,42,127.27
CD Cumming,42,41.58
WP Saha,41,69.49
NE Farrant,41,64.06
KY Ottley,41,53.95
JL Pattinson,41,51.25
Fayyaz Ahmed,41,41.84
I Toua,41,41.0
TD Smartt,40,61.54
N Mlaba,40,58.82
M Shumba,40,48.19
NB Mahwire,40,37.04
SJ Tsukigawa,39,55.71
Usama Mir,38,126.67
TB Sole,38,102.7
N M'shangwe,38,86.36
T Granger,38,65.52
PP Chawla,38,63.33
CS Terblanche,38,58.46
CKB Kulasekara,38,52.05
TMM Newton,38,48.1
R Klein,38,46.91
N Shangase,38,38.78
Qaiser Ali,38,38.78
Arshdeep Singh,37,108.82
TS Roland-Jones,37,97.37
DM Kimmince,37,71.15
Hasan Mahmud,37,48.05
LN Rajbanshi,37,23.72
DNT Zoysa,36,65.45
Aaditya Varadarajan,36,54.55
JO Troughton,36,46.75
RWT Key,36,34.29
Zulfiqar Babar,35,87.5
O Kamchomphu,35,57.38
NA Greenwood,35,50.72
JNT Vare,35,49.3
C McAuslan,35,47.3
J van Vliet,35,41.67
Abdul Shakoor,34,51.52
LDVV Silva,34,44.74
RP Alexander,34,41.98
TL Seifert,33,117.86
Ayesha Naseem,33,82.5
HM Tiffen,33,80.49
A Aitken-Drummond,33,68.75
Mohammad Iqbal,33,58.93
PRP Boissevain,33,57.89
PARP Perera,33,54.1
A Codrington,33,41.77
JAH Marshall,33,39.29
J Overton,32,145.45
DO Leicher,32,103.23
MK Villiers,32,100.0
D Cleaver,32,86.49
GA Rogers,32,64.0
MHW Papps,32,50.79
Qanita Jalil,32,50.0
AA Deshpande,32,46.38
O Bell,32,41.56
C Jonker,31,91.18
CW Perchard,31,88.57
JB Nero,31,55.36
D Daesrath,31,52.54
EC Rainsford,31,30.1
T Putthawong,31,24.8
PJC Hoffmann,30,130.43
Mohammad Haris,30,83.33
Saqlain Haider,30,75.0
RM Jariwala,30,56.6
AR Pitcher,30,54.55
SM Warnapura,30,46.88
B Leephatthana,30,45.45
M Mangru,30,42.86
MF Kendal,30,34.48
R Boyce,30,30.0
A Neill,29,67.44
M van Jaarsveld,29,50.88
DI Joyce,29,47.54
KED Carroll,28,66.67
SA Fritz,28,53.85
SP de Alwis,28,52.83
Sadia Iqbal,28,50.0
J Jarvis,28,47.46
JJ Celestine,28,43.75
Ehsanul Haque,28,36.84
OL Pitcher,28,33.73
PM Liyanagamage,28,33.33
GF Linde,27,87.1
Ehsan Adil,27,62.79
CJ Smith,27,56.25
AF Buurman,26,76.47
B Fernando,26,70.27
Shahid Ahmadzai,26,66.67
NG Smith,26,65.0
S Thuraisingam,26,55.32
Khurram Nawaz,26,53.06
M Faisal,26,49.06
Faisal Hossain,26,48.15
Wasim Ali,26,45.61
SL Stewart,26,44.07
MS Panesar,26,28.26
SW Tait,25,86.21
A Patel,25,83.33
S Naik,25,64.1
HDRS Silva,25,54.35
Waqas Barkat,25,46.3
T Kamungozi,25,44.64
CH van Koolwijk,25,37.88
LJ Poulton,25,36.23
VR Iyer,24,58.54
N Niranjana,24,40.0
RW Sims,24,37.5
TS Sekhukhune,24,28.24
J Louw,23,328.57
LK Ebsary,23,95.83
Avesh Khan,23,76.67
Y van der Westhuizen,23,58.97
J Blackwood,23,53.49
SJ Massiah,23,48.94
Nestor Dhamba,23,44.23
RD McCann,23,40.35
TJ Heggelman,23,32.39
RL Bhudia,22,146.67
RM Patidar,22,122.22
PKD Chase,22,66.67
Shamim Hossain,22,57.89
Mohammad Salman,22,55.0
S Bhari,22,42.31
E Mbofana,22,39.29
JM Cox,22,38.6
Mosharraf Hossain,22,34.38
O Thomas,22,28.21
BP Nash,21,100.0
BA Langston,21,95.45
JP Behrendorff,21,91.3
AC Cummins,21,91.3
EC Perry,21,75.0
AB Dinda,21,55.26
J Patraj,21,43.75
CJ Metcalfe,21,38.89
E Otieno,21,36.84
LR Naylor,20,95.24
S Nisansala,20,90.91
MR Johnson,20,86.96
HGV Vare,20,64.52
JA Simpson,20,62.5
L Rajadurai,20,37.74
AF Sattaur,20,31.75
C Viljoen,19,82.61
AG Wharf,19,65.52
GP Tom,19,55.88
S Jyoti,19,44.19
LR Johnson,19,29.23
Tanvir Ahmed,18,150.0
SG Borthwick,18,112.5
TL Chivanga,18,85.71
S Khiaoto,18,75.0
SSB Magala,18,72.0
CC Dalton,18,66.67
Jamaluddin Ahmed,18,58.06
I Wardlaw,18,54.55
W Sutherland,18,54.55
TCB Fernando,18,46.15
K Whatham,18,41.86
Sultan Ahmed,18,40.91
DI Allan,18,37.5
SI Kamea,18,32.73
Skhawat Ali,18,30.0
R MacDonald-Gay,17,121.43
SDNS Karunaratne,17,121.43
JA Clarkson,17,70.83
Waqar Younis,17,68.0
CP Jack,17,65.38
J Sharma,17,51.52
Saqlain Mushtaq,17,43.59
OO Bascome,17,36.17
B Shikongo,17,31.48
SP Terry,16,88.89
Ankur Sharma,16,51.61
SJ Andrews,16,44.44
JH Desai,16,42.11
Nuzhat Tasnia,16,37.21
N Ifill,16,36.36
F Walters,16,33.33
SK Dolawatte,16,28.57
MM Iqbal,16,27.59
SE Aley,15,187.5
IECM Wong,15,166.67
Zafar Gohar,15,100.0
SA Millanta,15,78.95
F Tunnicliffe,15,71.43
RD Steede,15,68.18
HM Watson,15,57.69
JB Reva,15,55.56
EMDY Munaweera,15,51.72
I Dulani,15,42.86
RM van Oosterom,15,39.47
AM McCarthy,15,36.59
J Post,15,28.85
HD Rutherford,15,26.79
ML Patel,15,24.59
G Chapple,14,200.0
Muhammad Jawadullah,14,93.33
A Valthapa,14,63.64
O Davidson,14,42.42
J Da Silva,14,40.0
MD du Preez,14,31.11
IPP Batuwitarachchi,14,27.45
FC Jonas,14,24.56
L Cheatle,13,100.0
NK Crafton,13,76.47
HHC Gunaratne,13,65.0
GM Harris,13,59.09
OEG Baartman,13,54.17
RD Chahar,13,50.0
Usman Salahuddin,13,46.43
D Joseph,13,40.62
AA Shafique,13,39.39
I van der Woning,13,37.14
MC Patel,13,37.14
MMA Jonkman,13,34.21
FR Davies,13,30.95
HIS Mendis,13,26.0
TW Hartley,12,133.33
TS Nethula,12,109.09
GI Maiden,12,85.71
S Daniel,12,41.38
HRA Rainey,12,34.29
AH Maqsood,12,33.33
S Dhamala,12,30.0
NS Poonia,12,28.57
MM Penfold,12,23.08
AJ Ireland,12,18.75
SC Kuggeleijn,11,183.33
SV Bahutule,11,84.62
Javeria Rauf,11,68.75
S Siegers,11,57.89
Saad Ali,11,47.83
MG Neser,11,37.93
L Wood,10,100.0
A Ashok,10,83.33
GC Tonge,10,62.5
Mukesh Kumar,10,58.82
RS Vandort,10,58.82
JW Ogle-Thomas,10,58.82
Ansh Tandon,10,55.56
SW Currie,10,52.63
RO Hussain,10,50.0
W Jaffer,10,43.48
A Martin,10,34.48
T Muzarabani,10,31.25
TR Ambrose,10,29.41
MA Aponso,10,22.22
R Slater,9,90.0
Zahid Mahmood,9,75.0
VB van Jaarsveld,9,56.25
HR Johnson,9,42.86
Ethan D'Souza,9,42.86
BJ Currie,9,40.91
F Kasteni,9,37.5
H Shah,9,36.0
Lovepreet Singh,9,34.62
D Murphy,9,32.14
KE Broadmore,9,26.47
Faisal Athar,9,23.08
C Abel,9,19.15
Rashid Zia,9,15.52
Mrittunjoy Chowdhury,8,72.73
ADJ Pitcher,8,66.67
BP Kruger,8,66.67
JI de Villiers,8,50.0
SJ Elliott,8,50.0
KK Ahmed,8,47.06
CA Reid,8,44.44
RO Hinds,8,42.11
SB Bangar,8,42.11
Dilara Akter,8,42.11
NJ Coffey,8,40.0
H Davids,8,32.0
PY Lavine,8,30.77
KH Butt,8,27.59
R Ntozakhe,8,26.67
RH Scholte,8,25.81
SKW Kelly,7,140.0
DSK Madushanka,7,116.67
GA Manou,7,116.67
DG Blampied,7,53.85
N Rana,7,50.0
Shawaal Zulfiqar,7,46.67
J Glasgow,7,41.18
Naved Latif,7,41.18
V Shetty,7,41.18
Zeeshan Siddiqi,7,33.33
Hasibul Hossain,7,30.43
NA Rock,7,28.0
ADR Campbell,7,28.0
D Prins,7,17.5
S Dhakal,7,15.91
NA Statham,7,15.56
CR Foggo,6,120.0
SO Dowrich,6,75.0
MJ Humphreys,6,66.67
MT Chinouya,6,66.67
M Commins,6,46.15
SR Thadani,6,46.15
TJG Pringle,6,42.86
J Logtenberg,6,40.0
JE Dunford,6,35.29
MJ North,6,31.58
MQ Sheikh,6,28.57
AK Peters,6,20.69
Joginder Sharma,5,250.0
RT Lyons,5,166.67
Naumanullah,5,125.0
MKDI Amerasinghe,5,71.43
RT Crandon,5,55.56
Jubair Hossain,5,50.0
NA Moodley,5,50.0
Aijaz Ali,5,45.45
RK Whelan,5,41.67
MJ Fourie,5,38.46
N Fernandes,5,38.46
SG Whittingham,5,33.33
W O'Rourke,5,33.33
JN Hamilton,5,31.25
Tanbir Hayder,5,29.41
N Kruger,5,25.0
K Sonavale,5,17.24
P Roy,5,14.71
CK Hooper,4,133.33
A van der Merwe,4,100.0
H Graham,4,80.0
Nahid Rana,4,80.0
Kaynat Hafeez,4,66.67
T Gwandu,4,50.0
Talha Jubair,4,50.0
S Immadi,4,44.44
HAPW Jayawardene,4,40.0
SD Heazlett,4,36.36
Sania Khan,4,33.33
RW Staple,4,30.77
A Munisar,4,30.77
BB Seebaran,4,28.57
H Durham,4,28.57
Rony Talukdar,4,26.67
Sufyan Mehmood,4,25.0
MWA van Nierop,4,25.0
Muhammad Farooq,4,25.0
Z Groenewald,4,21.05
VAB Tewarie,4,18.18
PLS Gamage,4,14.81
HL Baker,3,100.0
Pankaj Singh,3,100.0
S Sriram,3,60.0
A le Breton,3,50.0
DOD Rikhi,3,50.0
J Yadav,3,42.86
PT Collins,3,30.0
D Soraine,3,30.0
B Siddharth,3,30.0
KA Blackwell,3,27.27
D Gamage,3,27.27
HML Madushani,3,20.0
KHRK Fernando,3,20.0
O Chare,3,16.67
Ebadat Hossain,3,16.67
Sagar Pun,3,15.0
CK Kruger,3,14.29
A Shamshudeen,3,10.0
K Kamyuka,2,100.0
K Gowtham,2,66.67
C Prathyusha,2,66.67
RJ Rolls,2,50.0
LJ Hamilton,2,50.0
KR Sen,2,50.0
JA Turner,2,40.0
KC Hodsoll,2,33.33
JN Rhodes,2,33.33
U Thimashini,2,33.33
GH O'Brien,2,33.33
Z Mali,2,28.57
JNK Shannon,2,25.0
BR Dorey,2,22.22
D Lakshan,2,22.22
Fahad Nawaz,2,20.0
JM Willathgamuwa,2,20.0
Umran Malik,2,18.18
PG Gillespie,2,18.18
Akhil Kumar,2,18.18
Tareq Aziz,2,18.18
PA Desai,2,16.67
KL Rolton,2,16.67
RA Lewis,2,15.38
Hussain Talat,2,14.29
HE Whelan,2,12.5
J Pashley,2,11.76
M Prasidh Krishna,2,11.11
SC Meaker,2,11.11
Nasir Javed,2,10.0
HWR Cartwright,2,8.7
GJ McCarter,1,100.0
G Onions,1,50.0
JW Wilson,1,50.0
LE Milliken,1,33.33
Alawi Shukri,1,33.33
G Fontenla,1,33.33
Tharika Sewwandi,1,33.33
Khaled Ahmed,1,25.0
Zakir Hasan,1,20.0
LC Romero,1,14.29
EJB Miles,1,14.29
Omid Shafi Rahman,1,14.29
RR Ramdass,1,11.11
NV Ojha,1,11.11
K Mahato,1,10.0
W Mwayenga,1,9.09
Jannatul Ferdus,1,7.69
AD Janakanthymala,1,6.67
CM Beggs,1,6.25
Moniruzzaman,1,5.0
MT Herbert,1,4.55
SD Udal,0,0.0
RA Rolfe,0,0.0
PHT Kaushal,0,0.0
D Foxcroft,0,0.0
Fazle Mahmud,0,0.0
V Buruka,0,0.0
Fariha Trisna,0,0.0
R Walters,0,0.0
DL Blake,0,0.0
F Hand,0,0.0
JS Ababu,0,0.0
TJ Bishop,0,0.0
AG Puttick,0,0.0
VCE Wattenberg,0,0.0
LM Hoitink,0,0.0
K Phillip,0,0.0
MF Fahey,0,0.0
AL Watkins,0,0.0
SI Galagedara,0,0.0
OC McCoy,0,0.0
GA Guy,0,0.0
APS Lakshika,0,0.0
Melanie Ani,0,0.0
Shahbaz Ahmed,0,0.0
Raza Hasan,0,0.0
A Chopra,0,0.0
SK Naidu,0,0.0
JA Whelan,0,0.0
JC Carroll,0,0.0
Sumaiya Akter,0,0.0
KL Tucker,0,0.0
Pooja Ganesh,0,0.0
CK Holder,0,0.0
S Lackay,0,0.0
Sufiyan Muqeem,0,0.0
Simandeep Singh,0,0.0
Shathira Jakir,0,0.0
Sultana Yesmin,0,0.0
C Sakariya,0,0.0
Shahriar Hossain,0,0.0
Salman Faris,0,0.0
Haseebullah Khan,0,0.0
Syeda Aroob Shah,0,0.0
