player_name,total_matches_played,matches_won,total_runs,player_of_match_awards,POTM_Rate
DC Thomas,427,165,238,0,0.0
Musa Ahmed,84,25,238,0,0.0
DE Budge,96,51,237,0,0.0
C Tear,85,46,237,0,0.0
D Dhingra,57,27,237,0,0.0
GJ Hopkins,444,231,236,0,0.0
AM Tribe,4,1,233,0,0.0
NFI McCallum,89,48,233,0,0.0
K Birkenstock,52,25,233,0,0.0
JM Kerr,428,222,232,0,0.0
T Ruma,56,10,232,0,0.0
NY McLean,386,152,231,0,0.0
TM Dowlin,401,155,228,0,0.0
CNIM Joyce,160,56,228,0,0.0
Jahurul Islam,341,133,226,0,0.0
AM Samad,43,13,226,0,0.0
Asmavia Iqbal,456,221,225,0,0.0
S Mostary,325,126,224,0,0.0
F Overdijk,85,25,224,0,0.0
T Duffin,249,60,224,0,0.0
BR McDermott,341,246,223,0,0.0
IS Billcliff,49,16,223,0,0.0
P Mustard,501,287,219,0,0.0
DR Chumney,49,16,219,0,0.0
Saeed Anwar,426,209,218,0,0.0
GJ Delany,130,43,217,0,0.0
Saad Bin Zafar,51,18,217,0,0.0
Iram Javed,442,215,216,0,0.0
JM Fields,495,346,215,0,0.0
T Marumani,242,58,214,0,0.0
DJM Short,531,370,211,0,0.0
TK Musakanda,204,53,210,0,0.0
NRJ Croes,90,29,207,0,0.0
Khurram Manzoor,469,227,206,0,0.0
HS Modi,38,13,205,0,0.0
WP Masakadza,273,66,204,0,0.0
DEM Carter,97,52,200,0,0.0
S Sriharsha,57,27,200,0,0.0
Z Crawley,328,193,199,0,0.0
Saleem Elahi,426,209,199,0,0.0
M Levitt,90,29,196,0,0.0
MW Short,526,366,195,0,0.0
Mohammad Nawaz (3),462,223,193,0,0.0
PJ Ingram,373,191,193,0,0.0
SA Wijeratne,51,18,191,0,0.0
H Karunaratne,482,223,190,0,0.0
A Saud,52,26,189,0,0.0
G Kirsten,260,159,186,0,0.0
BB Chari,257,60,186,0,0.0
S Rana,556,344,184,0,0.0
F Mutizwa,275,66,183,0,0.0
ND McKenzie,438,270,182,0,0.0
CMA Shillington,160,56,179,0,0.0
Q Joseph,428,165,179,0,0.0
DM Richards,401,155,179,0,0.0
I Ranaweera,497,231,179,0,0.0
SR Thompson,159,56,178,0,0.0
JA McCollum,155,55,178,0,0.0
B Zuiderent,87,26,178,0,0.0
NR Kumar,46,15,177,0,0.0
H Patel,48,16,176,0,0.0
IC Gaze,428,222,176,0,0.0
S Forbes,150,53,175,0,0.0
IH Romaine,12,2,175,0,0.0
Raza-ur-Rehman,36,9,174,0,0.0
G Voll,359,260,173,0,0.0
Mohammad Boota,83,29,173,0,0.0
GM Hamilton,88,47,173,0,0.0
SJ Bryce,97,52,171,0,0.0
Najiha Alvi,434,212,170,0,0.0
Lata Mondal,301,109,170,0,0.0
TSS Mackintosh,82,44,169,0,0.0
JG Bethell,495,284,167,0,0.0
Nurul Hasan,207,76,165,0,0.0
MJ Lumb,470,270,165,0,0.0
ST Doheny,117,38,165,0,0.0
KS Lokuarachchi,496,231,164,0,0.0
D Bishoo,425,164,164,0,0.0
Shan Masood,461,222,163,0,0.0
KP Meiyappan,99,34,163,0,0.0
Y Venugopal Rao,498,308,161,0,0.0
FRJ Coleman,100,53,160,0,0.0
SJ McGlashan,402,209,160,0,0.0
P Siaka,56,10,160,0,0.0
Akshay Homraj,61,29,159,0,0.0
J Kila,58,11,159,0,0.0
Shariz Ahmad,90,29,159,0,0.0
CJO Smith,88,47,157,0,0.0
T Kaitano,273,66,157,0,0.0
CMW Read,497,285,156,0,0.0
SRH Curtis,351,182,156,0,0.0
A Kolan,57,27,155,0,0.0
C Zhuwao,264,64,154,0,0.0
MB Kruger,49,24,154,0,0.0
SP Patil,97,33,153,0,0.0
K Fraser,79,43,152,0,0.0
MDK Perera,498,231,152,0,0.0
AJ Redmond,279,142,152,0,0.0
D Ganga,323,125,152,0,0.0
AA Mulla,38,10,150,0,0.0
PJ Ongondo,38,13,150,0,0.0
BN Cooper,88,27,148,0,0.0
BOP Fernando,448,209,148,0,0.0
Khalid Latif,417,206,147,0,0.0
Shorna Akter,333,130,147,0,0.0
Nazimuddin,289,104,147,0,0.0
BYA Mendis,464,216,147,0,0.0
JA Burns,535,374,146,0,0.0
ID Blackwell,503,288,146,0,0.0
K Zondo,469,289,146,0,0.0
D Devnarain,403,249,145,0,0.0
IJR Zwilling,85,25,145,0,0.0
CO Browne,424,164,144,0,0.0
S Jafta,449,275,144,0,0.0
Zahoor Khan,99,34,143,0,0.0
MB Loye,399,235,142,0,0.0
HJW Gardiner,100,53,142,0,0.0
RD Jacobs,368,144,142,0,0.0
VV Morea,49,9,142,0,0.0
KJJ van Noortwijk,87,26,141,0,0.0
KNA Bandara,465,216,141,0,0.0
SF Daley,428,165,141,0,0.0
TS Hasabnis,490,303,140,0,0.0
M Bhanuka,478,221,140,0,0.0
CT Dhururu,270,65,140,0,0.0
D Myers,242,58,138,0,0.0
KA Hope,402,155,138,0,0.0
T Bhatia,503,312,138,0,0.0
N Vare,56,10,138,0,0.0
Marina Iqbal,416,205,137,0,0.0
NJ Carey,491,343,136,0,0.0
HK Badani,534,330,135,0,0.0
S Verma,435,267,135,0,0.0
P Molkenboer,80,24,135,0,0.0
T Banton,426,244,134,0,0.0
AM Hardie,510,356,134,0,0.0
PA Browne,408,157,134,0,0.0
Faisal Iqbal,422,207,134,0,0.0
JL Smith,487,280,133,0,0.0
CR Seneviratna,464,216,133,0,0.0
TJ Friend,226,56,132,0,0.0
D Keulder,53,25,132,0,0.0
TS Kamunhukamwe,273,66,131,0,0.0
KH Pandya,572,355,130,0,0.0
D Bau,54,10,130,0,0.0
DF Watts,89,48,130,0,0.0
HDPK Dharmasena,360,167,129,0,0.0
D Ravu,59,12,128,0,0.0
Nafees Iqbal,293,106,128,0,0.0
B Sai Sudharsan,580,360,127,0,0.0
N Hussain,457,262,127,0,0.0
ZE Surkari,48,16,127,0,0.0
Azhar Mahmood,453,220,126,0,0.0
Mudassar Bukhari,73,22,126,0,0.0
CE Coulter Reilly,146,52,126,0,0.0
SACA King,386,152,126,0,0.0
SM Kavanagh,136,46,126,0,0.0
KDU Prabodhani,497,231,126,0,0.0
H Carlyon,4,1,125,0,0.0
P Marange,270,65,125,0,0.0
ML Nkala,265,64,125,0,0.0
FL Mackay,384,195,125,0,0.0
RS Kaluwitharana,348,162,124,0,0.0
Dhiman Ghosh,291,105,124,0,0.0
PA Jaques,522,363,123,0,0.0
Usman Limbada,34,9,123,0,0.0
B Tau,56,10,123,0,0.0
PA Chatterji,97,52,123,0,0.0
CT Mutombodzi,263,64,122,0,0.0
JP Maher,540,378,122,0,0.0
Mahedi Hasan,327,127,122,0,0.0
Ayasha Rahman,157,56,122,0,0.0
T Maruma,266,64,122,0,0.0
B Evans,257,60,121,0,0.0
AL Hodgkinson,322,192,121,0,0.0
U Bhatti,46,15,120,0,0.0
K Weeraratne,463,216,120,0,0.0
N Koncharoenkai,8,7,120,0,0.0
JW Jenner,4,1,119,0,0.0
J Edness,11,2,119,0,0.0
R Malhotra,561,347,118,0,0.0
S Jimmy,56,10,118,0,0.0
J Anderson,124,40,118,0,0.0
BJ Patel,38,13,118,0,0.0
Khalid Kail,41,23,117,0,0.0
MC Henriques,518,362,117,0,0.0
SL Quintyne,365,143,117,0,0.0
RD Gaikwad,580,360,115,0,0.0
EN Lynch,85,25,115,0,0.0
Kainat Imtiaz,441,214,115,0,0.0
S Meghana,530,329,114,0,0.0
MA Carberry,482,276,114,0,0.0
Jaker Ali,190,70,113,0,0.0
L Jack,97,52,113,0,0.0
LP van Troost,87,26,112,0,0.0
DP Hyatt,328,125,112,0,0.0
KD Shah,15,5,112,0,0.0
C Carter,16,5,111,0,0.0
AN Kervezee,73,22,110,0,0.0
SV Carlisle,136,33,110,0,0.0
D Hazell,489,282,109,0,0.0
R Murray,253,60,108,0,0.0
A Maregwede,265,64,108,0,0.0
KNM Fernando,310,146,107,0,0.0
BA Parchment,408,157,107,0,0.0
SR Hain,283,168,106,0,0.0
A Minny,389,238,106,0,0.0
SL Kalis,81,24,106,0,0.0
HDJ Siegers,81,24,105,0,0.0
RML Taylor,100,53,105,0,0.0
RK Kleinveldt,463,284,105,0,0.0
L Balaji,537,331,104,0,0.0
DA Minors,12,2,104,0,0.0
D Elgar,469,289,104,0,0.0
KV Jain,514,318,104,0,0.0
PS Athavale,49,27,103,0,0.0
C de Lange,85,25,103,0,0.0
AM Bacher,393,241,102,0,0.0
Yasir Ali Chowdhury,312,116,101,0,0.0
WK McCallan,152,53,101,0,0.0
Shahzaib Hasan,319,162,100,0,0.0
SM Benade,389,238,100,0,0.0
R Kanoh,9,8,100,0,0.0
CJ Bowes,333,174,99,0,0.0
Hamza Tariq,34,9,99,0,0.0
BMSM Kumari,497,231,99,0,0.0
I Maraj,49,16,98,0,0.0
JL Ontong,459,283,97,0,0.0
AL Kandappah,32,9,97,0,0.0
RA Jones,315,164,96,0,0.0
GEF Barnett,46,15,95,0,0.0
RJ Trott,11,2,95,0,0.0
RS Gavaskar,330,192,93,0,0.0
Sanjida Islam,295,107,93,0,0.0
T Munyonga,186,47,92,0,0.0
Shoriful Islam,327,127,91,0,0.0
JV Harris,49,16,91,0,0.0
GB Murgatroyd,53,25,90,0,0.0
SK Atai,62,12,90,0,0.0
Bilawal Bhatti,449,220,89,0,0.0
PBB Rajapaksa,478,221,89,0,0.0
SSD Arachchige,324,153,89,0,0.0
TC Bastiampillai,32,9,89,0,0.0
S Tippoch,9,8,89,0,0.0
Z James,417,162,89,0,0.0
Nashra Sandhu,463,223,89,0,0.0
N Davin,54,25,88,0,0.0
SE Findlay,394,153,88,0,0.0
J Fraser-McGurk,488,340,87,0,0.0
T Mupariwa,266,64,87,0,0.0
P Mujaji,224,55,86,0,0.0
FL Reifer,401,155,86,0,0.0
NE Bonner,384,151,85,0,0.0
J Sumerauer,4,1,84,0,0.0
JJ Atkinson,12,3,84,0,0.0
CJ Nevin,411,214,83,0,0.0
C Hemraj,413,161,82,0,0.0
GC Bhogle,57,27,82,0,0.0
Mohammad Wasim,461,222,80,0,0.0
A Lister,97,52,80,0,0.0
M McColl,97,52,80,0,0.0
Rabiya Shah,431,211,80,0,0.0
M Terblanche,389,238,80,0,0.0
M Spoors,50,17,80,0,0.0
D Langford-Smith,152,53,79,0,0.0
E Claridge,57,27,79,0,0.0
AI Chudasama,57,27,79,0,0.0
UT Yadav,565,349,79,0,0.0
JP Greaves,388,152,79,0,0.0
E Schiferli,87,26,79,0,0.0
S Badrinath,567,350,79,0,0.0
HJ Armitage,490,282,78,0,0.0
T Suri,96,33,78,0,0.0
Sami Aslam,430,211,78,0,0.0
SP Khakurel,64,32,78,0,0.0
WB Rankin,164,60,78,0,0.0
SC Taylor,412,239,77,0,0.0
SP Krishnamurthi,49,24,77,0,0.0
Ravinderpal Singh,50,17,77,0,0.0
GM Ewing,232,57,77,0,0.0
SC Joseph,338,128,77,0,0.0
S Gajnabi,417,162,77,0,0.0
Syed Rasel,343,134,76,0,0.0
Utkarsh Srivastava,39,19,75,0,0.0
KDK Vithanage,435,204,75,0,0.0
CA Lynn,379,272,75,0,0.0
MNK Fernando,376,178,75,0,0.0
SW Poynter,129,43,74,0,0.0
N Gwanzura,270,65,74,0,0.0
DS Bajwa,39,10,74,0,0.0
U Raymond-Hoey,153,54,74,0,0.0
DS Weerakkody,262,124,73,0,0.0
Kaleem Sana,50,17,73,0,0.0
Waheed Ahmed,86,29,73,0,0.0
C Sutthiruang,9,8,73,0,0.0
SS McKechnie,14,4,73,0,0.0
TP Visee,88,27,72,0,0.0
TL Best,416,162,72,0,0.0
DR Brown,78,43,72,0,0.0
SD Outerbridge,12,2,72,0,0.0
J Smits,75,22,72,0,0.0
BJ Bennett,242,58,71,0,0.0
TK Patel,61,29,71,0,0.0
V Araa,56,10,71,0,0.0
Mohammad Aadil Alam,65,33,70,0,0.0
Shuvagata Hom,204,75,70,0,0.0
Natalia Pervaiz,253,130,70,0,0.0
N Dutta,50,17,70,0,0.0
K Frank,56,10,70,0,0.0
TN de Grooth,73,22,70,0,0.0
DR Mousley,495,284,69,0,0.0
B Ward,4,1,69,0,0.0
Tilak Varma,580,360,68,0,0.0
Sana Javed,383,190,68,0,0.0
AS van Beuge,85,25,68,0,0.0
RC Irani,457,262,67,0,0.0
GM Strydom,201,52,67,0,0.0
SR Waters,33,11,67,0,0.0
Sharmin Sultana,295,107,67,0,0.0
Mehran Khan,49,27,66,0,0.0
JR Philippe,341,246,65,0,0.0
CD de Lange,98,53,65,0,0.0
AD Poynter,144,51,65,0,0.0
Yasir Arafat,423,207,64,0,0.0
Batool Fatima,383,190,64,0,0.0
N Boochatham,9,8,64,0,0.0
PD McGlashan,375,192,63,0,0.0
AAP Atkinson,444,253,63,0,0.0
L Tshuma,270,65,63,0,0.0
Adnan Akmal,444,216,62,0,0.0
J Gray,110,36,62,0,0.0
CS Fraser,417,162,62,0,0.0
K Klein,90,29,61,0,0.0
S Laomi,9,8,61,0,0.0
G Sultana,561,347,61,0,0.0
Shahid Wasif,16,5,60,0,0.0
TG Norris,57,27,59,0,0.0
PJ Scholfield,490,282,59,0,0.0
BAM Heath,490,282,59,0,0.0
MJ Hay,216,113,59,0,0.0
MR Swart,69,22,59,0,0.0
Abdul Jabbar,32,9,59,0,0.0
Shaila Sharmin,272,97,59,0,0.0
HJ Thomas,56,10,59,0,0.0
D Parashar,69,26,58,0,0.0
Mohammad Naim,322,123,58,0,0.0
Hammad Mirza,37,21,58,0,0.0
M van Schoor,53,25,58,0,0.0
TMK Mawoyo,195,51,58,0,0.0
Tayyab Tahir,409,203,57,0,0.0
AJ Tye,501,350,57,0,0.0
L Sreekumar,97,33,57,0,0.0
Akram Khan,346,134,57,0,0.0
S Jora,54,27,56,0,0.0
Zubayr Hamza,288,176,56,0,0.0
RK Singh,580,360,55,0,0.0
FY Fazal,120,63,55,0,0.0
J Figy John,95,33,55,0,0.0
AB Kaur,398,241,55,0,0.0
DES Maxwell,38,10,54,0,0.0
Kabir Ali,518,295,54,0,0.0
A Mazvishaya,270,65,54,0,0.0
Mohammad Hasnain,461,222,53,0,0.0
BCJ Cutting,463,323,53,0,0.0
CAK Walton,402,155,53,0,0.0
P Maya,9,8,53,0,0.0
AR Berenger,60,24,53,0,0.0
K Thomson,352,212,52,0,0.0
AK Perera,448,209,52,0,0.0
KE Ebrahim,238,124,52,0,0.0
Waqas Khan,16,5,52,0,0.0
IR James,420,220,51,0,0.0
AA Paradkar,49,24,51,0,0.0
RN Bhatia,92,31,51,0,0.0
CA Pujara,517,321,51,0,0.0
WA Agar,341,246,50,0,0.0
RTM Mendis,204,92,50,0,0.0
VR Vanitha,358,210,50,0,0.0
MJ Bulow,409,291,50,0,0.0
EL Watson,97,52,50,0,0.0
SS Tiwary,391,234,49,0,0.0
LHD Dilhara,245,114,49,0,0.0
KO Meth,210,54,49,0,0.0
TB Robinson,216,113,48,0,0.0
Zulqarnain Haider,334,166,48,0,0.0
Irfan Khan,428,211,48,0,0.0
Tasqeen Qadeer,383,190,48,0,0.0
Steven Ryan Taylor,13,7,46,0,0.0
KK Nair,559,347,46,0,0.0
SZ Thakor,490,303,46,0,0.0
PP Ojha,565,349,46,0,0.0
AE Smith,389,238,45,0,0.0
TH David,483,337,45,0,0.0
M Karg,53,25,45,0,0.0
TV Mufambisi,249,60,45,0,0.0
M De Ridder,453,278,45,0,0.0
IM Vaghela,57,27,45,0,0.0
Tabarak Dar,11,3,45,0,0.0
M Dillon,424,164,44,0,0.0
Al Sahariar,346,134,44,0,0.0
NA de Groot,49,16,44,0,0.0
RP Lefebvre,75,22,43,0,0.0
SJ Swanepoel,51,24,43,0,0.0
Haider Ali,346,174,42,0,0.0
CD Cumming,382,194,42,0,0.0
WP Saha,579,360,41,0,0.0
NE Farrant,395,232,41,0,0.0
KY Ottley,388,152,41,0,0.0
JL Pattinson,460,321,41,0,0.0
Fayyaz Ahmed,72,26,41,0,0.0
TD Smartt,365,143,40,0,0.0
N Mlaba,471,290,40,0,0.0
M Shumba,179,44,40,0,0.0
NB Mahwire,249,60,40,0,0.0
SJ Tsukigawa,329,170,39,0,0.0
Usama Mir,461,222,38,0,0.0
N M'shangwe,140,33,38,0,0.0
T Granger,270,65,38,0,0.0
PP Chawla,546,337,38,0,0.0
CS Terblanche,389,238,38,0,0.0
CKB Kulasekara,491,227,38,0,0.0
TMM Newton,351,182,38,0,0.0
R Klein,79,23,38,0,0.0
N Shangase,453,278,38,0,0.0
Qaiser Ali,37,9,38,0,0.0
TS Roland-Jones,85,48,37,0,0.0
LN Rajbanshi,59,30,37,0,0.0
Aaditya Varadarajan,11,1,36,0,0.0
JO Troughton,497,285,36,0,0.0
RWT Key,480,276,36,0,0.0
Zulfiqar Babar,430,211,35,0,0.0
O Kamchomphu,9,8,35,0,0.0
NA Greenwood,4,1,35,0,0.0
JNT Vare,42,7,35,0,0.0
C McAuslan,13,4,35,0,0.0
J van Vliet,67,22,35,0,0.0
Abdul Shakoor,97,33,34,0,0.0
LDVV Silva,340,160,34,0,0.0
RP Alexander,58,27,34,0,0.0
TL Seifert,437,227,33,0,0.0
Ayesha Naseem,371,185,33,0,0.0
HM Tiffen,329,170,33,0,0.0
A Aitken-Drummond,79,43,33,0,0.0
Mohammad Iqbal,32,9,33,0,0.0
PRP Boissevain,77,23,33,0,0.0
PARP Perera,448,209,33,0,0.0
JAH Marshall,427,222,33,0,0.0
J Overton,495,284,32,0,0.0
DO Leicher,10,7,32,0,0.0
MK Villiers,490,282,32,0,0.0
D Cleaver,251,129,32,0,0.0
GA Rogers,78,43,32,0,0.0
MHW Papps,427,222,32,0,0.0
Qanita Jalil,456,221,32,0,0.0
AA Deshpande,231,133,32,0,0.0
O Bell,97,52,32,0,0.0
C Jonker,469,289,31,0,0.0
CW Perchard,4,1,31,0,0.0
JB Nero,308,118,31,0,0.0
D Daesrath,36,9,31,0,0.0
EC Rainsford,261,62,31,0,0.0
T Putthawong,9,8,31,0,0.0
PJC Hoffmann,78,43,30,0,0.0
Mohammad Haris,317,160,30,0,0.0
Saqlain Haider,90,31,30,0,0.0
RM Jariwala,64,30,30,0,0.0
AR Pitcher,8,2,30,0,0.0
SM Warnapura,222,102,30,0,0.0
B Leephatthana,9,8,30,0,0.0
M Mangru,392,152,30,0,0.0
MF Kendal,139,47,30,0,0.0
R Boyce,428,165,30,0,0.0
M van Jaarsveld,437,270,29,0,0.0
DI Joyce,149,53,29,0,0.0
KED Carroll,152,53,28,0,0.0
SA Fritz,389,238,28,0,0.0
SP de Alwis,340,160,28,0,0.0
Sadia Iqbal,463,223,28,0,0.0
J Jarvis,63,35,28,0,0.0
JJ Celestine,11,2,28,0,0.0
Ehsanul Haque,108,35,28,0,0.0
OL Pitcher,12,2,28,0,0.0
PM Liyanagamage,380,180,28,0,0.0
GF Linde,238,146,27,0,0.0
Ehsan Adil,460,222,27,0,0.0
CJ Smith,9,2,27,0,0.0
AF Buurman,73,22,26,0,0.0
B Fernando,335,160,26,0,0.0
Shahid Ahmadzai,33,9,26,0,0.0
NG Smith,401,208,26,0,0.0
S Thuraisingam,49,16,26,0,0.0
Khurram Nawaz,52,27,26,0,0.0
M Faisal,65,36,26,0,0.0
Faisal Hossain,306,112,26,0,0.0
Wasim Ali,37,21,26,0,0.0
SL Stewart,286,145,26,0,0.0
MS Panesar,509,291,26,0,0.0
A Patel,40,10,25,0,0.0
S Naik,561,347,25,0,0.0
HDRS Silva,468,217,25,0,0.0
Waqas Barkat,15,5,25,0,0.0
T Kamungozi,246,58,25,0,0.0
CH van Koolwijk,55,18,25,0,0.0
LJ Poulton,495,346,25,0,0.0
VR Iyer,102,54,24,0,0.0
N Niranjana,561,347,24,0,0.0
RW Sims,67,18,24,0,0.0
TS Sekhukhune,464,285,24,0,0.0
J Louw,459,283,23,0,0.0
LK Ebsary,416,296,23,0,0.0
Avesh Khan,580,360,23,0,0.0
Y van der Westhuizen,322,192,23,0,0.0
J Blackwood,315,118,23,0,0.0
SJ Massiah,58,27,23,0,0.0
Nestor Dhamba,50,27,23,0,0.0
RD McCann,144,51,23,0,0.0
TJ Heggelman,69,22,23,0,0.0
RL Bhudia,32,11,22,0,0.0
RM Patidar,30,21,22,0,0.0
PKD Chase,159,56,22,0,0.0
Shamim Hossain,292,106,22,0,0.0
Mohammad Salman,415,205,22,0,0.0
S Bhari,65,33,22,0,0.0
E Mbofana,270,65,22,0,0.0
JM Cox,495,284,22,0,0.0
Mosharraf Hossain,247,88,22,0,0.0
BP Nash,244,90,21,0,0.0
BA Langston,489,282,21,0,0.0
JP Behrendorff,474,332,21,0,0.0
AC Cummins,38,10,21,0,0.0
EC Perry,244,127,21,0,0.0
AB Dinda,565,349,21,0,0.0
J Patraj,32,9,21,0,0.0
CJ Metcalfe,139,47,21,0,0.0
LR Naylor,24,15,20,0,0.0
MR Johnson,58,27,20,0,0.0
HGV Vare,47,7,20,0,0.0
JA Simpson,233,139,20,0,0.0
L Rajadurai,33,6,20,0,0.0
AF Sattaur,49,16,20,0,0.0
C Viljoen,50,24,19,0,0.0
GP Tom,56,10,19,0,0.0
S Jyoti,42,12,19,0,0.0
LR Johnson,399,155,19,0,0.0
Tanvir Ahmed,411,203,18,0,0.0
SG Borthwick,292,173,18,0,0.0
TL Chivanga,273,66,18,0,0.0
S Khiaoto,3,3,18,0,0.0
CC Dalton,79,24,18,0,0.0
Jamaluddin Ahmed,33,11,18,0,0.0
I Wardlaw,100,53,18,0,0.0
W Sutherland,488,340,18,0,0.0
TCB Fernando,509,236,18,0,0.0
K Whatham,5,1,18,0,0.0
Sultan Ahmed,83,29,18,0,0.0
DI Allan,39,13,18,0,0.0
SI Kamea,63,12,18,0,0.0
Skhawat Ali,11,3,18,0,0.0
R MacDonald-Gay,490,282,17,0,0.0
SDNS Karunaratne,372,175,17,0,0.0
JA Clarkson,326,169,17,0,0.0
Waqar Younis,426,209,17,0,0.0
CP Jack,331,126,17,0,0.0
J Sharma,396,239,17,0,0.0
Saqlain Mushtaq,426,209,17,0,0.0
OO Bascome,1,1,17,0,0.0
B Shikongo,49,24,17,0,0.0
SP Terry,124,40,16,0,0.0
Ankur Sharma,1,0,16,0,0.0
SJ Andrews,416,296,16,0,0.0
JH Desai,46,23,16,0,0.0
Nuzhat Tasnia,141,48,16,0,0.0
N Ifill,40,10,16,0,0.0
F Walters,247,91,16,0,0.0
SK Dolawatte,464,216,16,0,0.0
MM Iqbal,99,53,16,0,0.0
SE Aley,62,41,15,0,0.0
IECM Wong,428,246,15,0,0.0
Zafar Gohar,437,212,15,0,0.0
SA Millanta,495,346,15,0,0.0
F Tunnicliffe,214,133,15,0,0.0
RD Steede,2,1,15,0,0.0
HM Watson,329,170,15,0,0.0
JB Reva,49,9,15,0,0.0
EMDY Munaweera,459,215,15,0,0.0
I Dulani,428,200,15,0,0.0
RM van Oosterom,85,25,15,0,0.0
AM McCarthy,79,28,15,0,0.0
J Post,85,25,15,0,0.0
HD Rutherford,438,227,15,0,0.0
ML Patel,34,11,15,0,0.0
G Chapple,474,272,14,0,0.0
Muhammad Jawadullah,92,31,14,0,0.0
A Valthapa,15,5,14,0,0.0
O Davidson,33,18,14,0,0.0
J Da Silva,79,28,14,0,0.0
MD du Preez,47,24,14,0,0.0
IPP Batuwitarachchi,76,27,14,0,0.0
FC Jonas,428,222,14,0,0.0
L Cheatle,428,303,13,0,0.0
NK Crafton,135,53,13,0,0.0
GM Harris,450,315,13,0,0.0
OEG Baartman,424,262,13,0,0.0
RD Chahar,75,41,13,0,0.0
Usman Salahuddin,415,205,13,0,0.0
D Joseph,29,8,13,0,0.0
AA Shafique,43,24,13,0,0.0
I van der Woning,85,25,13,0,0.0
MC Patel,68,38,13,0,0.0
MMA Jonkman,11,4,13,0,0.0
FR Davies,476,273,13,0,0.0
HIS Mendis,347,161,13,0,0.0
TW Hartley,283,168,12,0,0.0
TS Nethula,359,185,12,0,0.0
GI Maiden,89,48,12,0,0.0
S Daniel,182,79,12,0,0.0
HRA Rainey,97,52,12,0,0.0
S Dhamala,7,4,12,0,0.0
NS Poonia,88,47,12,0,0.0
MM Penfold,428,222,12,0,0.0
AJ Ireland,249,60,12,0,0.0
SC Kuggeleijn,415,218,11,0,0.0
SV Bahutule,534,330,11,0,0.0
Javeria Rauf,456,221,11,0,0.0
S Siegers,85,25,11,0,0.0
Saad Ali,335,166,11,0,0.0
MG Neser,512,356,11,0,0.0
L Wood,72,40,10,0,0.0
A Ashok,245,127,10,0,0.0
GC Tonge,355,138,10,0,0.0
Mukesh Kumar,580,360,10,0,0.0
RS Vandort,372,175,10,0,0.0
JW Ogle-Thomas,308,118,10,0,0.0
Ansh Tandon,1,1,10,0,0.0
SW Currie,85,46,10,0,0.0
RO Hussain,56,31,10,0,0.0
W Jaffer,539,331,10,0,0.0
T Muzarabani,267,64,10,0,0.0
TR Ambrose,461,263,10,0,0.0
MA Aponso,498,231,10,0,0.0
R Slater,15,11,9,0,0.0
Zahid Mahmood,317,160,9,0,0.0
VB van Jaarsveld,399,247,9,0,0.0
HR Johnson,58,27,9,0,0.0
Ethan D'Souza,22,6,9,0,0.0
F Kasteni,230,56,9,0,0.0
H Shah,34,16,9,0,0.0
Lovepreet Singh,22,6,9,0,0.0
D Murphy,100,53,9,0,0.0
KE Broadmore,149,79,9,0,0.0
Faisal Athar,327,164,9,0,0.0
C Abel,79,43,9,0,0.0
Rashid Zia,58,27,9,0,0.0
Mrittunjoy Chowdhury,145,51,8,0,0.0
ADJ Pitcher,6,2,8,0,0.0
BP Kruger,21,7,8,0,0.0
JI de Villiers,49,24,8,0,0.0
SJ Elliott,409,291,8,0,0.0
KK Ahmed,560,347,8,0,0.0
CA Reid,58,27,8,0,0.0
RO Hinds,318,120,8,0,0.0
SB Bangar,104,55,8,0,0.0
Dilara Akter,60,18,8,0,0.0
NJ Coffey,61,20,8,0,0.0
H Davids,343,205,8,0,0.0
PY Lavine,331,126,8,0,0.0
KH Butt,11,3,8,0,0.0
R Ntozakhe,464,285,8,0,0.0
RH Scholte,51,16,8,0,0.0
SKW Kelly,5,2,7,0,0.0
DSK Madushanka,294,137,7,0,0.0
GA Manou,135,98,7,0,0.0
DG Blampied,4,1,7,0,0.0
N Rana,75,41,7,0,0.0
Shawaal Zulfiqar,192,96,7,0,0.0
J Glasgow,392,152,7,0,0.0
Naved Latif,403,199,7,0,0.0
V Shetty,76,27,7,0,0.0
Zeeshan Siddiqi,23,6,7,0,0.0
Hasibul Hossain,239,85,7,0,0.0
NA Rock,115,38,7,0,0.0
ADR Campbell,112,28,7,0,0.0
D Prins,65,21,7,0,0.0
S Dhakal,43,19,7,0,0.0
NA Statham,75,22,7,0,0.0
CR Foggo,1,1,6,0,0.0
SO Dowrich,71,27,6,0,0.0
MJ Humphreys,143,50,6,0,0.0
MT Chinouya,234,57,6,0,0.0
M Commins,94,30,6,0,0.0
SR Thadani,30,14,6,0,0.0
TJG Pringle,41,14,6,0,0.0
J Logtenberg,384,234,6,0,0.0
JE Dunford,4,1,6,0,0.0
MJ North,392,280,6,0,0.0
MQ Sheikh,25,16,6,0,0.0
AK Peters,390,152,6,0,0.0
Joginder Sharma,304,174,5,0,0.0
RT Lyons,27,17,5,0,0.0
Naumanullah,306,154,5,0,0.0
MKDI Amerasinghe,427,200,5,0,0.0
RT Crandon,355,138,5,0,0.0
Jubair Hossain,281,101,5,0,0.0
NA Moodley,103,67,5,0,0.0
Aijaz Ali,58,27,5,0,0.0
RK Whelan,128,43,5,0,0.0
MJ Fourie,128,43,5,0,0.0
N Fernandes,74,26,5,0,0.0
SG Whittingham,96,51,5,0,0.0
W O'Rourke,401,208,5,0,0.0
