player_name,total_matches_played,matches_won,total_runs,player_of_match_awards,POTM_Rate
PWH de Silva,478,221,859,4,0.84
CM Edwards,507,291,1054,4,0.79
WPUJC Vaas,509,236,569,4,0.79
AE Jones,513,292,2071,4,0.78
DN Wyatt,513,292,1680,4,0.78
ME Trescothick,518,295,1997,4,0.77
DJ Malan,519,295,1418,4,0.77
A Gardner,527,367,1175,4,0.76
BL Mooney,533,372,2433,4,0.75
P Litchfield,533,372,895,4,0.75
GJ Bailey,544,381,3011,4,0.74
SE Marsh,545,381,2622,4,0.73
Shubman Gill,560,347,2328,4,0.71
HH Pandya,572,355,1762,4,0.7
KL Rahul,580,360,2761,4,0.69
SS Iyer,576,357,2396,4,0.69
N Chantam,9,8,473,3,33.33
Babar Hayat,16,5,539,3,18.75
JM Davison,49,16,443,3,6.12
JN Frylinck,55,26,615,3,5.45
Gulsan Jha,63,31,625,3,4.76
G Singh,64,30,938,3,4.69
K Bhurtel,65,33,1182,3,4.62
S Horley,79,43,276,3,3.8
BJ McMullen,85,46,888,3,3.53
SA Edwards,90,29,1504,3,3.33
Aayan Afzal Khan,99,34,585,3,3.03
KJ Coetzer,101,54,2280,3,2.97
MH Cross,101,54,1675,3,2.97
MA Leask,101,54,1306,3,2.97
T Taibu,275,66,2837,3,1.09
H Masakadza,277,66,3955,3,1.08
Shahriar Nafees,345,134,1216,3,0.87
DM Bravo,427,165,3007,3,0.7
J Charles,430,166,1544,3,0.7
DR Smith,426,165,1261,3,0.7
DP Conway,431,224,1226,3,0.7
KAJ Roach,427,165,308,3,0.7
AC Kerr,433,225,1854,3,0.69
ML Green,433,225,1407,3,0.69
JD Ryder,435,226,1242,3,0.69
PG Fulton,443,231,1216,3,0.68
JM How,444,231,939,3,0.68
Imam-ul-Haq,451,220,2840,3,0.67
CA Ingram,456,280,761,3,0.66
Inzamam-ul-Haq,464,224,1916,3,0.65
JA Morkel,459,283,705,3,0.65
Haris Rauf,461,222,70,3,0.65
LL Tsotsobe,463,284,58,3,0.65
HE van der Dussen,472,291,2388,3,0.64
S Luus,471,290,2080,3,0.64
Nasir Jamshed,466,225,1418,3,0.64
T Chetty,471,290,1414,3,0.64
KIC Asalanka,495,230,1810,3,0.61
IJL Trott,505,289,2819,3,0.59
MS Atapattu,509,236,1978,3,0.59
JWA Taylor,511,291,879,3,0.59
CL White,539,377,2053,3,0.56
MS Wade,535,374,1792,3,0.56
BJ Haddin,545,381,3003,3,0.55
UT Khawaja,542,380,1539,3,0.55
NW Bracken,545,381,174,3,0.55
AT Rayudu,575,356,1637,3,0.52
PG Raut,578,359,1436,3,0.52
KM Jadhav,576,357,1318,3,0.52
R Ashwin,579,360,707,3,0.52
N Chaiwai,9,8,244,2,22.22
MS Chapman,15,5,684,2,13.33
TM Odoyo,38,13,830,2,5.26
S Dhaniram,42,12,281,2,4.76
Shakeel Ahmed,49,27,69,2,4.08
Shoaib Khan,51,27,843,2,3.92
Pargat Singh,51,18,722,2,3.92
Jatinder Singh,52,27,1356,2,3.85
JN Loftie-Eaton,55,26,796,2,3.64
R Trumpelmann,55,26,350,2,3.64
BM Scholtz,55,26,251,2,3.64
CJA Amini,63,12,952,2,3.17
S Bau,63,12,874,2,3.17
CA Soper,63,12,653,2,3.17
Aarif Sheikh,65,33,1032,2,3.08
DS Airee,65,33,861,2,3.08
RN ten Doeschate,73,22,594,2,2.74
Vikramjit Singh,90,29,1190,2,2.22
Kashif Daud,94,32,282,2,2.13
V Aravind,99,34,1843,2,2.02
Waseem Muhammad,99,34,1398,2,2.02
SM Sharif,101,54,492,2,1.98
NJ O'Brien,161,57,1692,2,1.24
GH Lewis,162,58,1348,2,1.23
GB Brent,264,64,192,2,0.76
M Mupachikwa,270,65,376,2,0.74
V Sibanda,276,66,2125,2,0.72
Sharmin Akhter,325,126,643,2,0.62
Nazmul Hossain Shanto,329,127,1165,2,0.61
Nigar Sultana,333,130,927,2,0.6
Anamul Haque,342,134,1322,2,0.58
Aftab Ahmed,344,134,1061,2,0.58
Sohag Gazi,342,134,182,2,0.58
Pratika Rawal,366,215,444,2,0.55
C Brits,389,238,292,2,0.51
AR Adams,394,202,165,2,0.51
RS Morton,408,157,1205,2,0.49
O Thomas,418,162,22,2,0.48
SSB Magala,419,259,18,2,0.48
LMP Simmons,426,165,1958,2,0.47
SSJ Brooks,430,166,842,2,0.47
R Rampaul,422,163,338,2,0.47
IDR Bradshaw,424,164,259,2,0.47
A Mohammed,428,165,232,2,0.47
HM Nicholls,437,227,2116,2,0.46
T Bavuma,443,272,1548,2,0.45
HJH Marshall,441,229,661,2,0.45
Mohammad Yousuf,458,221,2783,2,0.44
Bismah Maroof,459,221,1938,2,0.44
JN Malan,458,282,958,2,0.44
A Bosch,453,278,355,2,0.44
