player_name,Total_Runs,POM_Awards
A Bosch,355,2
SSJ Brooks,842,2
V Aravind,1843,2
AR Adams,165,2
MV Boucher,2617,2
R Trumpelmann,350,2
JR Hopes,1326,2
Waseem Muhammad,1398,2
Jatinder Singh,1356,2
YK Pathan,810,2
N Chaiwai,244,2
Javeria Khan,1408,2
P Nissanka,1810,2
Vikramjit Singh,1190,2
JL Jonassen,533,2
JN Malan,958,2
Mohammad Yousuf,2783,2
JN Loftie-Eaton,796,2
RN ten Doeschate,594,2
V Sibanda,2125,2
Mohammad Nawaz,173,2
RP Singh,135,2
RR Hendricks,930,2
VVS Laxman,828,2
Pratika Rawal,444,2
Fatima Sana,484,2
TM Odoyo,830,2
SM Sharif,492,2
Pargat Singh,722,2
DS Airee,861,2
BM Scholtz,251,2
Haris Sohail,1709,2
IDR Bradshaw,259,2
SW Tait,25,2
Bismah Maroof,1938,2
C Brits,292,2
C Green,626,2
LS Greenway,732,2
HM Nicholls,2116,2
HJH Marshall,661,2
CA Soper,653,2
OA Shah,1579,2
S Samarawickrama,1073,2
MDT Kamini,353,2
Aarif Sheikh,1032,2
S Dhaniram,281,2
UDU Chandana,260,2
Aftab Ahmed,1061,2
MS Chapman,684,2
Anamul Haque,1322,2
NJ O'Brien,1692,2
AT Carey,1978,2
MP Vaughan,1382,2
SV Samson,510,2
TT Samaraweera,669,2
MM Patel,74,2
G Kodali,46,1
LA Marsh,264,1
FDM Karunaratne,1044,1
FH Allen,582,1
P Vastrakar,579,1
SMSM Senanayake,290,1
SM Davies,244,1
L Siaka,749,1
SK Patel,278,1
Fargana Hoque,1275,1
L Ronchi,1397,1
IA Karim,196,1
KJ Martin,1161,1
Imran Farhat,1232,1
Imran Nazir,531,1
KH Prajapati,996,1
Ishan Kishan,886,1
R Chopra,260,1
R Gunasekera,255,1
Rumana Ahmed,346,1
J Mubarak,531,1
J Nkomo,354,1
KD Karthik,1624,1
Rameez Shahzad,848,1
R Powell,915,1
SR Mukkamalla,711,1
JAD Lawrenson,177,1
JD Campbell,248,1
JDF Vandersay,112,1
JDS Neesham,1508,1
JE Cameron,452,1
JF Kloppenburg,149,1
JH Davey,193,1
RR Rossouw,1239,1
JJ Smit,839,1
RR Pant,871,1
JM Vince,590,1
JN Mohammed,621,1
RD Rickelton,188,1
JP Bray,234,1
RM Haq,181,1
R Rijke,238,1
GC Wilson,1232,1
GD Phillips,710,1
L Klusener,163,1
SJ Myburgh,347,1
SJ Modani,898,1
L Goodall,817,1
Kushal Malla,756,1
GR Codrington,80,1
Khushdil Shah,200,1
GT Main,82,1
PJ Moor,520,1
SF Mire,729,1
SE Rutherford,497,1
PL Mommsen,601,1
I Udana,227,1
HHC Gunaratne,13,1
KW Richardson,75,1
PP Shaw,189,1
HM Rowe,332,1
HMD Rasangika,232,1
SA Campbelle,1167,1
HN Ya France,237,1
PS Punia,273,1
S Sreesanth,44,1
S Randiv,280,1
Hasan Mahmud,37,1
S Nitschke,81,1
S Nisansala,20,1
S Molineux,64,1
I Toua,41,1
HG Munsey,1675,1
CB Wishart,361,1
MG Bevan,755,1
CA Henry,537,1
T Stubbs,218,1
N Vanua,769,1
T de Zorzi,381,1
A Hunter,776,1
TB Sole,38,1
A Neill,29,1
AJ Turner,192,1
C Kieswetter,985,1
TD Paine,861,1
MJ Cosgrove,78,1
AK Sah,320,1
A Codrington,33,1
AL Phehlukwayo,827,1
BT Foakes,61,1
TBM de Leede,113,1
A Ndiraya,428,1
A Nao,54,1
CMG Atkins,117,1
N Pooran,1829,1
CM McBride,386,1
MD Shanaka,1153,1
CK Kapugedera,1505,1
CK Coventry,645,1
AH Maqsood,12,1
A Martin,10,1
CJ Ferguson,663,1
AG Prince,761,1
AG Wharf,19,1
CJ Chibhabha,1987,1
ME Bouchier,482,1
CG Williams,427,1
AGS Gous,157,1
T Mishra,395,1
NC Dodd,145,1
Azhar Ali,1806,1
AR Nurse,454,1
MO Odumbe,324,1
MP Stoinis,1489,1
Tanzim Hasan Sakib,95,1
Arshdeep Singh,37,1
AR Odedara,126,1
Taufeeq Umar,262,1
NT Broom,919,1
AR Patel,568,1
Towhid Hridoy,759,1
MR Meshram,322,1
Agha Salman,637,1
Afif Hossain,548,1
Adnan Mufti,328,1
Abid Ali,234,1
ARI Umeed,138,1
AT Nidamanuru,713,1
Aliya Riaz,1207,1
TK Curran,303,1
NS Dhaliwal,295,1
MJ Prior,1229,1
MK Pandey,558,1
MK Tiwary,287,1
BMAJ Mendis,593,1
AM Peterson,167,1
BJ Hodge,516,1
MN Waller,1039,1
BC Lara,1878,1
NR Kirton,483,1
TP Ura,1196,1
TS Chisoro,109,1
MM English,107,1
B Sharki,703,1
AR Caddick,64,1
B Muzarabani,114,1
AR Cusack,264,1
BJ Currie,9,1
LR Down,486,1
Mosaddek Hossain,524,1
N Dickwella,1604,1
P Khadka,252,1
LV van Beek,505,1
DNT Zoysa,36,1
DM Kimmince,37,1
D Ramdin,2072,1
VS Solanki,829,1
DJ Hussey,1672,1
M Kaif,1314,1
Mohammad Rizwan,2254,1
Sandeep Goud,535,1
M Kartik,102,1
Saud Shakeel,283,1
O Prendergast,821,1
OV Anderson,46,1
WW Hinds,1066,1
F Behardien,1074,1
A Bagai,614,1
Murshida Khatun,429,1
LM Kasperek,148,1
EL Lamb,396,1
Wasim Akram,71,1
DS Smith,973,1
EJ Villani,468,1
E Otieno,21,1
YH Bhatia,666,1
STR Binny,230,1
N Deonarine,546,1
LPC Silva,1279,1
DT Johnston,361,1
SW Ambris,473,1
WG Jacks,468,1
MA Vermeulen,517,1
A Sharma,323,1
A Steyn,781,1
Simi Singh,406,1
Nasum Ahmed,156,1
M Vijay,339,1
D Gough,137,1
A Vala,1783,1
CR Pagydyala,136,1
Sompal Kami,621,1
CP Rizwan,901,1
Shamsur Rahman,266,1
AC Agar,322,1
A Rawat,153,1
Chirag Suri,924,1
M Musonda,262,1
AA Jangoo,104,1
M Prasidh Krishna,2,1
V Sukumaran,194,1
T Brits,786,1
N Niranjana,24,0
NB Mahwire,40,0
RC Irani,67,0
RD Steede,15,0
RJ Peterson,523,0
RH Scholte,8,0
N Rana,7,0
N Davin,88,0
N Mlaba,40,0
RA Lewis,2,0
RA Rolfe,0,0
R Klein,38,0
NA de Groot,44,0
R Kanoh,100,0
RH Priest,661,0
N Boochatham,64,0
N M'shangwe,38,0
N Ifill,16,0
R Stokell,247,0
RD Jacobs,142,0
R Walters,0,0
N Vare,138,0
R Slater,9,0
RD Gaikwad,115,0
N Hussain,127,0
NA Greenwood,35,0
RA Jones,96,0
N Gwanzura,74,0
R Ntozakhe,8,0
NA Rock,7,0
RD McCann,23,0
N Shangase,38,0
N Koncharoenkai,120,0
R Mutumbami,319,0
R Murray,108,0
N Dutta,70,0
R Malhotra,118,0
RD Chahar,13,0
RD Shah,407,0
NA Moodley,5,0
R MacDonald-Gay,17,0
N Kruger,5,0
NA Statham,7,0
N Fernandes,5,0
OC McCoy,0,0
PD Salt,866,0
O Kamchomphu,35,0
O Davidson,14,0
PG Gillespie,2,0
O Chare,3,0
O Bell,32,0
PHT Kaushal,0,0
Nuzhat Tasnia,16,0
RJ Rolls,2,0
Nurul Hasan,165,0
Nizakat Khan,508,0
