player_name,Total_Runs,POM_Awards
BJ Watling,573,0
BJ Patel,118,0
BJ Bennett,71,0
BCJ Cutting,53,0
BB Seebaran,4,0
BOP Fernando,148,0
CD Cumming,42,0
CC Dalton,18,0
CAK Walton,53,0
CA Reid,8,0
CA Pujara,51,0
CA Lynn,75,0
C de Lange,103,0
C Zhuwao,154,0
C Carter,111,0
C Tear,237,0
C Sutthiruang,73,0
C Sakariya,0,0
C Prathyusha,2,0
C Munro,1249,0
C McAuslan,35,0
C Madande,251,0
C Jonker,31,0
C Hemraj,82,0
C Viljoen,19,0
Ayasha Rahman,122,0
Avesh Khan,23,0
Asmavia Iqbal,225,0
Asif Ali,375,0
Asad Shafiq,1312,0
Ansh Tandon,10,0
Ankur Sharma,16,0
Amjad Ali,249,0
BB Chari,186,0
Alawi Shukri,1,0
Al Sahariar,44,0
Akshay Homraj,159,0
Akram Khan,57,0
Akhil Kumar,2,0
Aijaz Ali,5,0
Adnan Akmal,62,0
Abdullah Shafique,554,0
Abdul Shakoor,34,0
Ali Naseer,396,0
BAM Heath,59,0
BA Parchment,107,0
BA Langston,21,0
B de Leede,289,0
B Zuiderent,178,0
B Ward,69,0
B Tau,123,0
B Siddharth,3,0
Ayesha Naseem,33,0
B Sai Sudharsan,127,0
B Leephatthana,30,0
B Fernando,26,0
B Evans,121,0
B Cooper,339,0
B Bhandari,265,0
B Bezuidenhout,266,0
Azhar Mahmood,126,0
Ayesha Zafar,407,0
B Shikongo,17,0
LK Ebsary,23,0
LJ Wright,707,0
LJ Poulton,25,0
LJ Hamilton,2,0
LHD Dilhara,49,0
LE Milliken,1,0
LE Bosman,301,0
LDVV Silva,34,0
H Durham,4,0
L Wood,10,0
L Winfield-Hill,294,0
L Winfield,564,0
L Tucker,657,0
L Tshuma,63,0
L Sreekumar,57,0
L Rajadurai,20,0
L Louwrens,535,0
L Jack,113,0
LC Romero,1,0
M Shumba,40,0
M McColl,80,0
M Mangru,30,0
M Levitt,196,0
M Karg,45,0
M Faisal,26,0
M Dillon,44,0
M De Ridder,45,0
LM Hoitink,0,0
M Bhanuka,140,0
Lovepreet Singh,9,0
Lata Mondal,170,0
LR Naylor,20,0
LR Johnson,19,0
LP van Troost,112,0
LN Rajbanshi,37,0
Zulqarnain Haider,48,0
LM Jongwe,315,0
M Commins,6,0
KP Meiyappan,163,0
KOA Powell,934,0
KO Otieno,250,0
KO Meth,49,0
KNM Fernando,107,0
KNA Bandara,141,0
KM Dabengwa,364,0
KL Tucker,0,0
L Cheatle,13,0
KK Nair,46,0
KK Ahmed,8,0
KJJ van Noortwijk,141,0
KHRK Fernando,3,0
KH Pandya,130,0
KH Butt,8,0
KED Carroll,28,0
KE Ebrahim,52,0
KE Bryce,301,0
KL Rolton,2,0
L Balaji,104,0
Kyshona A Knight,597,0
Kycia A Knight,699,0
Khurram Nawaz,26,0
Khurram Manzoor,206,0
Khalid Latif,147,0
Khalid Kail,117,0
Khaled Mashud,605,0
KR Sen,2,0
Kaynat Hafeez,4,0
Kaleem Sana,73,0
Kainat Imtiaz,115,0
Kabir Ali,54,0
KY Ottley,41,0
KV Jain,104,0
KU Carty,1000,0
KT Perkins,618,0
KS Lokuarachchi,164,0
Khaled Ahmed,1,0
Mohammad Boota,173,0
Mohammad Aadil Alam,70,0
Melanie Ani,0,0
Mehran Khan,66,0
Marina Iqbal,137,0
Mahedi Hasan,122,0
MWA van Nierop,4,0
MW Short,195,0
M Spoors,80,0
MV Waldron,290,0
MT Herbert,1,0
MT Chinouya,6,0
MS Sinclair,367,0
MS Panesar,26,0
MR Swart,59,0
MR Johnson,20,0
MR Aguilleira,323,0
MQ Sheikh,6,0
MW Machan,393,0
Muneeba Ali,948,0
Mukesh Kumar,10,0
Muhammad Usman,888,0
Muhammad Jawadullah,14,0
Muhammad Farooq,4,0
Mudassar Bukhari,126,0
Mrittunjoy Chowdhury,8,0
Mosharraf Hossain,22,0
Mohammad Haris,30,0
Mominul Haque,495,0
Moin Khan,274,0
Mohammad Wasim,80,0
Mohammad Salman,22,0
Mohammad Nawaz (3),193,0
Mohammad Naim,58,0
Mohammad Mithun,711,0
Mohammad Iqbal,33,0
Mohammad Hasnain,53,0
Moniruzzaman,1,0
MF Fahey,0,0
MDN Hansika,357,0
MDK Perera,152,0
MD du Preez,14,0
MD Dai,277,0
MC Patel,13,0
MC Henriques,117,0
MB Loye,142,0
MNK Fernando,75,0
MADD Surangika,642,0
MAA Sanjeewani,395,0
MA Ouma,468,0
MA Jones,385,0
MA Carberry,114,0
MA Aponso,10,0
M van Schoor,58,0
M van Jaarsveld,29,0
M Terblanche,80,0
MB Kruger,154,0
MN van Wyk,425,0
MMA Jonkman,13,0
MM Penfold,12,0
MM Iqbal,16,0
ML Udawatte,243,0
ML Patel,15,0
ML Nkala,125,0
MKDI Amerasinghe,5,0
MF Kendal,30,0
MJ North,6,0
MJ Lumb,165,0
MJ Humphreys,6,0
MJ Hay,59,0
MJ Fourie,5,0
MJ Bulow,50,0
MHW Papps,32,0
MH Yardy,326,0
MG Neser,11,0
MK Villiers,32,0
J Anderson,118,0
Irfan Khan,48,0
Iram Javed,216,0
Imad Wasim,937,0
IS Billcliff,223,0
IR James,51,0
IPP Batuwitarachchi,14,0
IM Vaghela,45,0
KE Broadmore,9,0
IH Romaine,175,0
IECM Wong,15,0
ID Blackwell,146,0
IC Gaze,176,0
I van der Woning,13,0
I Wardlaw,18,0
I Ranaweera,179,0
I Maraj,98,0
I Kaia,332,0
IJR Zwilling,145,0
J Smits,72,0
J Sharma,17,0
J Post,15,0
J Patraj,21,0
J Pashley,2,0
J Overton,32,0
J Louw,23,0
J Logtenberg,6,0
J Blackwood,23,0
J Jarvis,28,0
J Gumbie,379,0
J Gray,62,0
J Glasgow,7,0
J Fraser-McGurk,87,0
J Figy John,55,0
J Edness,119,0
J Da Silva,14,0
J Botha,594,0
J Kila,159,0
HJW Gardiner,142,0
HJ Thomas,59,0
HJ Armitage,78,0
HIS Mendis,13,0
HGV Vare,20,0
HE Whelan,2,0
HDRS Silva,25,0
HDPK Dharmasena,129,0
I Dulani,15,0
HD Rutherford,15,0
HASD Siriwardene,679,0
HAPW Jayawardene,4,0
H Shah,9,0
H Patel,176,0
H Madavi,729,0
H Karunaratne,190,0
H Hiri,435,0
H Graham,4,0
HDJ Siegers,105,0
Hussain Talat,2,0
Hasibul Hossain,7,0
Haseebullah Khan,0,0
Hannan Sarkar,280,0
Hamza Tariq,99,0
Hammad Mirza,58,0
Haider Ali,42,0
Habibul Bashar,926,0
HK Badani,135,0
HT Tector,1622,0
HS Modi,205,0
HRA Rainey,12,0
HR Johnson,9,0
HP Tillakaratne,332,0
HML Madushani,3,0
HM Watson,15,0
HM Tiffen,33,0
HL Baker,3,0
HWR Cartwright,2,0
K Frank,70,0
K Doriga,520,0
K Birkenstock,233,0
Junaid Siddique,1021,0
Jubair Hossain,5,0
Joginder Sharma,5,0
Javeria Rauf,11,0
Javed Omar,468,0
J Sumerauer,84,0
Jamaluddin Ahmed,18,0
Jaker Ali,113,0
Jahurul Islam,226,0
JWM Dalrymple,487,0
JW Wilson,1,0
JW Ogle-Thomas,10,0
JW Jenner,119,0
JV Harris,91,0
JS Ababu,0,0
Jannatul Ferdus,1,0
KDU Prabodhani,126,0
KDK Vithanage,75,0
KD Shah,112,0
KC Hodsoll,2,0
KA Hope,138,0
KA Edwards,331,0
KA Blackwell,3,0
K Zondo,146,0
K Fraser,152,0
K Weeraratne,120,0
K Verreynne,476,0
K Thomson,52,0
K Sonavale,5,0
K Phillip,0,0
K Mahato,1,0
K Klein,61,0
K Kamyuka,2,0
K Gowtham,2,0
K Whatham,18,0
JI de Villiers,8,0
JH Desai,16,0
JG Bethell,167,0
JF Mooney,610,0
JE Dunford,6,0
JC Carroll,0,0
JB Reva,15,0
JB Nero,31,0
JR Philippe,65,0
JA Whelan,0,0
JA Turner,2,0
JA Simpson,20,0
JA Rudolph,820,0
JA McCollum,178,0
JA Clarkson,17,0
JA Burns,146,0
J van Vliet,35,0
J Yadav,3,0
JAH Marshall,33,0
JP Maher,122,0
JP Kotze,316,0
JP Inglis,521,0
JP Greaves,79,0
JP Behrendorff,21,0
JO Troughton,36,0
JNT Vare,35,0
JNK Shannon,2,0
JN Rhodes,2,0
JJ Atkinson,84,0
JM Willathgamuwa,2,0
JM Kerr,232,0
JM Fields,215,0
JM Cox,22,0
JL Smith,133,0
JL Pattinson,41,0
JL Ontong,97,0
JL Denly,446,0
JJ Celestine,28,0
JN Hamilton,5,0
