player_name,Total_Wickets,Total_Overs,Total_Runs,Wickets_Per_Over,Runs_Per_Wicket
AR Adams,28,834,730,0.034,26.07
KW Richardson,45,1338,1251,0.034,27.8
N Pooran,6,178,174,0.034,29.0
IECM Wong,4,118,122,0.034,30.5
Wasim Ali,1,29,31,0.034,31.0
Umran Malik,13,381,408,0.034,31.38
Mohammad Aadil Alam,9,272,166,0.033,18.44
Ehsanul Haque,2,61,37,0.033,18.5
PA Desai,6,181,115,0.033,19.17
S Ismail,142,4242,2821,0.033,19.87
Kaleem Sana,27,813,561,0.033,20.78
JM Kerr,55,1662,1194,0.033,21.71
NW Bracken,168,5095,3792,0.033,22.57
A Neill,15,448,345,0.033,23.0
Q Joseph,16,480,380,0.033,23.75
KIC Asalanka,16,486,388,0.033,24.25
GF Linde,3,91,73,0.033,24.33
K Bhurtel,12,361,292,0.033,24.33
DW Steyn,212,6388,5202,0.033,24.54
Zahoor Khan,95,2888,2407,0.033,25.34
Kuldeep Yadav,173,5236,4400,0.033,25.43
JDF Vandersay,40,1206,1091,0.033,27.28
Fatima Sana,59,1772,1626,0.033,27.56
KC Hodsoll,1,30,28,0.033,28.0
Zafar Gohar,2,61,56,0.033,28.0
WD Parnell,110,3340,3090,0.033,28.09
Ali Naseer,23,701,667,0.033,29.0
EJB Miles,4,120,117,0.033,29.25
S Sreesanth,81,2481,2388,0.033,29.48
Hasan Mahmud,29,886,873,0.033,30.1
Kabir Ali,21,640,648,0.033,30.86
TT Samaraweera,1,30,33,0.033,33.0
RW Staple,2,61,78,0.033,39.0
SE Aley,2,63,29,0.032,14.5
GM Harris,8,249,144,0.032,18.0
C Abel,5,156,96,0.032,19.2
AM Peterson,19,593,371,0.032,19.53
JM Willathgamuwa,3,94,63,0.032,21.0
AG Wharf,18,562,403,0.032,22.39
N Niranjana,15,476,340,0.032,22.67
R Trumpelmann,56,1773,1324,0.032,23.64
S Luus,84,2630,2006,0.032,23.88
H Durham,2,62,48,0.032,24.0
Imran Tahir,180,5556,4325,0.032,24.03
Shorna Akter,7,216,171,0.032,24.43
MG Johnson,243,7537,5977,0.032,24.6
CW Perchard,7,216,174,0.032,24.86
UDU Chandana,38,1194,978,0.032,25.74
HK Badani,2,63,53,0.032,26.5
S Siegers,9,283,243,0.032,27.0
GA Rogers,5,154,138,0.032,27.6
DJ Bravo,193,6052,5330,0.032,27.62
SL Malinga,343,10803,9518,0.032,27.75
