player_name,total_matches_played,matches_won,total_runs,Strike_Rate,Win_Percentage
DP Conway,431,224,1226,86.95,51.97215777262181
GD Phillips,431,224,710,94.79,51.97215777262181
FH Allen,431,224,582,91.37,51.97215777262181
SW Bates,433,225,3245,75.85,51.96304849884527
AE Satterthwaite,433,225,2895,80.02,51.96304849884527
SFM Devine,433,225,2796,87.54,51.96304849884527
AC Kerr,433,225,1854,74.97,51.96304849884527
ML Green,433,225,1407,67.71,51.96304849884527
LR Down,433,225,486,60.83,51.96304849884527
LMM Tahuhu,433,225,340,86.08,51.96304849884527
HM Rowe,433,225,332,66.27,51.96304849884527
B Bezuidenhout,433,225,266,71.89,51.96304849884527
AM Peterson,433,225,167,79.15,51.96304849884527
LM Kasperek,433,225,148,53.62,51.96304849884527
JD Ryder,435,226,1242,95.98,51.95402298850575
HM Nicholls,437,227,2116,78.98,51.94508009153318
MJ Henry,437,227,268,91.16,51.94508009153318
TL Seifert,437,227,33,117.86,51.94508009153318
TWM Latham,439,228,4019,83.4,51.93621867881549
JDS Neesham,439,228,1508,98.05,51.93621867881549
L Ronchi,439,228,1397,112.57,51.93621867881549
C Munro,439,228,1249,103.48,51.93621867881549
SP Fleming,441,229,2133,70.26,51.92743764172336
HJH Marshall,441,229,661,67.45,51.92743764172336
Jatinder Singh,52,27,1356,71.37,51.92307692307692
Sandeep Goud,52,27,535,69.84,51.92307692307692
Suraj Kumar,52,27,392,74.81,51.92307692307692
Khurram Nawaz,52,27,26,53.06,51.92307692307692
NG Smith,401,208,26,65.0,51.87032418952619
W O'Rourke,401,208,5,33.33,51.87032418952619
BM Halliday,428,222,828,70.65,51.86915887850467
GE Plimmer,428,222,256,62.44,51.86915887850467
JM Kerr,428,222,232,105.94,51.86915887850467
IC Gaze,428,222,176,59.66,51.86915887850467
FC Jonas,428,222,14,24.56,51.86915887850467
MM Penfold,428,222,12,23.08,51.86915887850467
SRH Curtis,351,182,156,66.67,51.851851851851855
NC Dodd,351,182,145,48.49,51.851851851851855
TMM Newton,351,182,38,48.1,51.851851851851855
NJ Astle,434,225,1571,75.6,51.84331797235023
L Vincent,434,225,1089,68.36,51.84331797235023
JA Clarkson,326,169,17,70.83,51.84049079754601
A Ashok,245,127,10,83.33,51.83673469387755
HD Rutherford,438,227,15,26.79,51.82648401826484
BJ Watling,440,228,573,66.63,51.81818181818182
K Sonavale,29,15,5,17.24,51.724137931034484
B Siddharth,29,15,3,30.0,51.724137931034484
SJ Tsukigawa,329,170,39,55.71,51.671732522796354
HM Tiffen,329,170,33,80.49,51.671732522796354
HM Watson,329,170,15,57.69,51.671732522796354
RJ Rolls,329,170,2,50.0,51.671732522796354
LE Milliken,329,170,1,33.33,51.671732522796354
MF Fahey,329,170,0,0.0,51.671732522796354
AL Watkins,329,170,0,0.0,51.671732522796354
TS Nethula,359,185,12,109.09,51.532033426183844
D Cleaver,251,129,32,86.49,51.39442231075697
Natalia Pervaiz,253,130,70,66.04,51.383399209486164
AR Adams,394,202,165,107.14,51.26903553299493
PJ Ingram,373,191,193,80.75,51.206434316353885
LJ Hamilton,291,149,2,50.0,51.202749140893474
JW Wilson,291,149,1,50.0,51.202749140893474
PD McGlashan,375,192,63,118.87,51.2
MD du Preez,47,24,14,31.11,51.06382978723404
AJ Redmond,279,142,152,57.14,50.89605734767025
LN Rajbanshi,59,30,37,23.72,50.847457627118644
CD Cumming,382,194,42,41.58,50.78534031413613
Shahzaib Hasan,319,162,100,84.75,50.78369905956113
FL Mackay,384,195,125,63.78,50.78125
RK Paudel,65,33,1629,73.25,50.76923076923077
Aasif Sheikh,65,33,1423,73.24,50.76923076923077
K Bhurtel,65,33,1182,78.91,50.76923076923077
Aarif Sheikh,65,33,1032,62.62,50.76923076923077
DS Airee,65,33,861,70.75,50.76923076923077
Kushal Malla,65,33,756,86.9,50.76923076923077
G Malla,65,33,753,65.76,50.76923076923077
B Sharki,65,33,703,65.03,50.76923076923077
Sompal Kami,65,33,621,71.71,50.76923076923077
Karan KC,65,33,457,83.24,50.76923076923077
S Lamichhane,65,33,440,88.0,50.76923076923077
D Khanal,65,33,329,68.26,50.76923076923077
Mohammad Aadil Alam,65,33,70,85.37,50.76923076923077
S Bhari,65,33,22,42.31,50.76923076923077
SL Stewart,286,145,26,44.07,50.6993006993007
Hussain Talat,315,159,2,14.29,50.476190476190474
Mohammad Haris,317,160,30,83.33,50.473186119873816
Zahid Mahmood,317,160,9,75.0,50.473186119873816
GA Guy,270,136,0,0.0,50.370370370370374
Naumanullah,306,154,5,125.0,50.326797385620914
Khushdil Shah,346,174,200,93.46,50.28901734104046
Haider Ali,346,174,42,127.27,50.28901734104046
Faisal Athar,327,164,9,23.08,50.15290519877676
AK Sah,62,31,320,87.67,50.0
B Bhandari,60,30,265,59.82,50.0
P Khadka,64,32,252,79.5,50.0
A Saud,52,26,189,47.13,50.0
SP Khakurel,64,32,78,46.99,50.0
S Jora,54,27,56,82.35,50.0
JH Desai,46,23,16,42.11,50.0
RD Steede,2,1,15,68.18,50.0
Shawaal Zulfiqar,192,96,7,46.67,50.0
Sagar Pun,58,29,3,15.0,50.0
KL Tucker,2,1,0,0.0,50.0
Haseebullah Khan,12,6,0,0.0,50.0
Ayesha Naseem,371,185,33,82.5,49.86522911051213
Saud Shakeel,291,145,283,86.28,49.828178694158076
Raza Hasan,199,99,0,0.0,49.74874371859296
Zulqarnain Haider,334,166,48,68.57,49.70059880239521
Tayyab Tahir,409,203,57,123.91,49.63325183374083
Sana Javed,383,190,68,50.0,49.608355091383814
Batool Fatima,383,190,64,60.95,49.608355091383814
Tasqeen Qadeer,383,190,48,33.33,49.608355091383814
Abid Ali,335,166,234,91.05,49.55223880597015
Saad Ali,335,166,11,47.83,49.55223880597015
Khalid Latif,417,206,147,63.09,49.40047961630695
Taufeeq Umar,415,205,262,51.98,49.397590361445786
Mohammad Salman,415,205,22,55.0,49.397590361445786
Usman Salahuddin,415,205,13,46.43,49.397590361445786
Tanvir Ahmed,411,203,18,150.0,49.39172749391727
Naved Latif,403,199,7,41.18,49.37965260545906
Irfan Khan,428,211,48,64.86,49.299065420560744
Marina Iqbal,416,205,137,43.91,49.27884615384615
Sania Khan,416,205,4,33.33,49.27884615384615
Gulsan Jha,63,31,625,75.57,49.20634920634921
Sami Aslam,430,211,78,63.41,49.06976744186046
Zulfiqar Babar,430,211,35,87.5,49.06976744186046
Rashid Latif,426,209,335,82.11,49.06103286384977
Saeed Anwar,426,209,218,68.55,49.06103286384977
Saleem Elahi,426,209,199,64.82,49.06103286384977
Wasim Akram,426,209,71,98.61,49.06103286384977
Waqar Younis,426,209,17,68.0,49.06103286384977
Saqlain Mushtaq,426,209,17,43.59,49.06103286384977
Faisal Iqbal,422,207,134,51.54,49.052132701421804
Bilawal Bhatti,449,220,89,115.58,48.99777282850779
MB Kruger,49,24,154,70.97,48.97959183673469
SP Krishnamurthi,49,24,77,77.78,48.97959183673469
AA Paradkar,49,24,51,60.0,48.97959183673469
B Shikongo,49,24,17,31.48,48.97959183673469
JI de Villiers,49,24,8,50.0,48.97959183673469
Rabiya Shah,431,211,80,62.99,48.95591647331786
Yasir Arafat,423,207,64,62.14,48.93617021276596
Moin Khan,448,219,274,86.16,48.88392857142857
Asif Ali,446,218,375,118.3,48.87892376681614
Sadaf Shamas,434,212,262,52.82,48.8479262672811
Najiha Alvi,434,212,170,62.73,48.8479262672811
Imam-ul-Haq,451,220,2840,81.33,48.78048780487805
Abdullah Shafique,445,217,554,80.41,48.764044943820224
Utkarsh Srivastava,39,19,75,100.0,48.717948717948715
Adnan Akmal,444,216,62,67.39,48.648648648648646
Iram Javed,442,215,216,56.84,48.64253393665158
Imran Nazir,453,220,531,87.91,48.565121412803535
Azhar Mahmood,453,220,126,76.83,48.565121412803535
Kainat Imtiaz,441,214,115,43.56,48.52607709750567
Zafar Gohar,437,212,15,100.0,48.51258581235698
Mohammad Hafeez,468,227,6351,76.09,48.504273504273506
Azhar Ali,468,227,1806,72.88,48.504273504273506
Haris Sohail,468,227,1709,85.02,48.504273504273506
Nahida Khan,456,221,1121,63.69,48.46491228070175
Nain Abidi,456,221,521,54.55,48.46491228070175
Asmavia Iqbal,456,221,225,52.33,48.46491228070175
Qanita Jalil,456,221,32,50.0,48.46491228070175
Javeria Rauf,456,221,11,68.75,48.46491228070175
Younis Khan,469,227,4777,74.51,48.40085287846482
Misbah-ul-Haq,469,227,4752,72.56,48.40085287846482
Kamran Akmal,469,227,2746,81.39,48.40085287846482
Salman Butt,469,227,2186,74.56,48.40085287846482
Khurram Manzoor,469,227,206,63.78,48.40085287846482
Umar Akmal,467,226,3032,83.62,48.394004282655246
Sarfraz Ahmed,467,226,2289,85.63,48.394004282655246
Imran Farhat,467,226,1232,64.54,48.394004282655246
AGS Gous,60,29,157,110.56,48.333333333333336
Ahmed Shehzad,466,225,2555,70.52,48.283261802575105
Nasir Jamshed,466,225,1418,73.43,48.283261802575105
Abdul Razzaq,464,224,2327,86.54,48.275862068965516
Inzamam-ul-Haq,464,224,1916,77.2,48.275862068965516
Yousuf Youhana,464,224,1740,78.8,48.275862068965516
Yasir Hameed,464,224,1459,65.57,48.275862068965516
Babar Azam,462,223,5659,86.89,48.268398268398265
Mohammad Rizwan,462,223,2254,87.36,48.268398268398265
Imad Wasim,462,223,937,108.95,48.268398268398265
Sharjeel Khan,462,223,787,113.73,48.268398268398265
Mohammad Nawaz (3),462,223,193,87.33,48.268398268398265
Asad Shafiq,460,222,1312,66.06,48.26086956521739
Umar Amin,460,222,271,66.42,48.26086956521739
Ehsan Adil,460,222,27,62.79,48.26086956521739
Mohammad Yousuf,458,221,2783,74.39,48.2532751091703
Javeria Khan,463,223,1408,61.51,48.16414686825054
Aliya Riaz,463,223,1207,63.66,48.16414686825054
Nida Dar,463,223,1171,65.64,48.16414686825054
Muneeba Ali,463,223,948,58.92,48.16414686825054
Umaima Sohail,463,223,670,61.69,48.16414686825054
Fatima Sana,463,223,484,69.54,48.16414686825054
Ayesha Zafar,463,223,407,53.27,48.16414686825054
Sidra Nawaz,463,223,325,48.8,48.16414686825054
Diana Baig,463,223,262,68.95,48.16414686825054
Nashra Sandhu,463,223,89,27.55,48.16414686825054
Sadia Iqbal,463,223,28,50.0,48.16414686825054
Fakhar Zaman,461,222,3434,92.29,48.15618221258134
Agha Salman,461,222,637,97.7,48.15618221258134
Mohammad Nawaz,461,222,173,79.0,48.15618221258134
Shan Masood,461,222,163,67.36,48.15618221258134
Mohammad Wasim,461,222,80,91.95,48.15618221258134
Haris Rauf,461,222,70,75.27,48.15618221258134
Mohammad Hasnain,461,222,53,155.88,48.15618221258134
Usama Mir,461,222,38,126.67,48.15618221258134
Bismah Maroof,459,221,1938,63.27,48.148148148148145
Sidra Ameen,459,221,1595,63.04,48.148148148148145
CG Williams,52,25,427,77.64,48.07692307692308
HN Ya France,52,25,237,80.89,48.07692307692308
K Birkenstock,52,25,233,53.2,48.07692307692308
Z Groenewald,52,25,4,21.05,48.07692307692308
C Viljoen,50,24,19,82.61,48.0
B Fernando,335,160,26,70.27,47.76119402985075
D Gamage,331,158,3,27.27,47.73413897280967
XM Marshall,61,29,379,55.98,47.540983606557376
Akshay Homraj,61,29,159,69.13,47.540983606557376
TK Patel,61,29,71,47.65,47.540983606557376
D Dhingra,57,27,237,65.47,47.36842105263158
S Sriharsha,57,27,200,67.8,47.36842105263158
A Kolan,57,27,155,52.19,47.36842105263158
GC Bhogle,57,27,82,49.4,47.36842105263158
E Claridge,57,27,79,76.7,47.36842105263158
AI Chudasama,57,27,79,74.53,47.36842105263158
TG Norris,57,27,59,101.72,47.36842105263158
G Kodali,57,27,46,60.53,47.36842105263158
IM Vaghela,57,27,45,49.45,47.36842105263158
PM Liyanagamage,380,180,28,33.33,47.36842105263158
S Immadi,57,27,4,44.44,47.36842105263158
MNK Fernando,376,178,75,70.09,47.340425531914896
DS Weerakkody,262,124,73,108.96,47.32824427480916
MG Erasmus,55,26,1810,78.42,47.27272727272727
M van Lingen,55,26,1300,90.15,47.27272727272727
JN Loftie-Eaton,55,26,796,74.25,47.27272727272727
ZE Green,55,26,686,78.67,47.27272727272727
JN Frylinck,55,26,615,73.65,47.27272727272727
L Louwrens,55,26,535,58.28,47.27272727272727
R Trumpelmann,55,26,350,79.37,47.27272727272727
SJ Baard,55,26,326,57.5,47.27272727272727
D la Cock,55,26,313,65.89,47.27272727272727
BM Scholtz,55,26,251,66.05,47.27272727272727
SSD Arachchige,324,153,89,66.42,47.22222222222222
D Keulder,53,25,132,59.73,47.16981132075472
GB Murgatroyd,53,25,90,60.81,47.16981132075472
M van Schoor,53,25,58,52.25,47.16981132075472
M Karg,53,25,45,68.18,47.16981132075472
Tharika Sewwandi,263,124,1,33.33,47.148288973384034
KNM Fernando,310,146,107,108.08,47.096774193548384
SJ Swanepoel,51,24,43,43.43,47.05882352941177
LDVV Silva,340,160,34,44.74,47.05882352941177
SP de Alwis,340,160,28,52.83,47.05882352941177
H Shah,34,16,9,36.0,47.05882352941177
AD Janakanthymala,340,160,1,6.67,47.05882352941177
R Walters,51,24,0,0.0,47.05882352941177
SI Galagedara,340,160,0,0.0,47.05882352941177
SDNS Karunaratne,372,175,17,121.43,47.043010752688176
HHC Gunaratne,372,175,13,65.0,47.043010752688176
RS Vandort,372,175,10,58.82,47.043010752688176
KDK Vithanage,435,204,75,81.52,46.89655172413793
APS Lakshika,273,128,0,0.0,46.88644688644688
MD Patel,64,30,1792,80.04,46.875
G Singh,64,30,938,81.21,46.875
SJ Modani,64,30,898,61.51,46.875
Shayan Jahangir,64,30,497,85.25,46.875
RM Jariwala,64,30,30,56.6,46.875
EMDY Munaweera,459,215,15,51.72,46.84095860566449
MKDI Amerasinghe,427,200,5,71.43,46.8384074941452
UDU Chandana,457,214,260,66.16,46.82713347921226
DNT Zoysa,457,214,36,65.45,46.82713347921226
HAPW Jayawardene,267,125,4,40.0,46.81647940074907
SR Mukkamalla,62,29,711,82.87,46.774193548387096
I Dulani,428,200,15,42.86,46.728971962616825
PLS Gamage,454,212,4,14.81,46.69603524229075
SR Thadani,30,14,6,46.15,46.666666666666664
JM Willathgamuwa,30,14,2,20.0,46.666666666666664
K Weeraratne,463,216,120,86.33,46.652267818574515
BOP Fernando,448,209,148,62.18,46.651785714285715
AK Perera,448,209,52,62.65,46.651785714285715
PARP Perera,448,209,33,54.1,46.651785714285715
HDRL Thirimanne,506,236,3164,71.2,46.640316205533594
SMSM Senanayake,506,236,290,90.34,46.640316205533594
DSK Madushanka,294,137,7,116.67,46.59863945578231
LPC Silva,496,231,1279,70.86,46.57258064516129
KS Lokuarachchi,496,231,164,75.58,46.57258064516129
HMD Rasangika,464,216,232,58.0,46.55172413793103
BYA Mendis,464,216,147,58.33,46.55172413793103
CR Seneviratna,464,216,133,48.01,46.55172413793103
RS Kaluwitharana,348,162,124,68.89,46.55172413793103
RP Alexander,58,27,34,41.98,46.55172413793103
SJ Massiah,58,27,23,48.94,46.55172413793103
MR Johnson,58,27,20,86.96,46.55172413793103
SK Dolawatte,464,216,16,28.57,46.55172413793103
HR Johnson,58,27,9,42.86,46.55172413793103
Rashid Zia,58,27,9,15.52,46.55172413793103
CA Reid,58,27,8,44.44,46.55172413793103
Aijaz Ali,58,27,5,45.45,46.55172413793103
RW Staple,58,27,4,30.77,46.55172413793103
Nasir Javed,58,27,2,10.0,46.55172413793103
LC Romero,58,27,1,14.29,46.55172413793103
DL Blake,58,27,0,0.0,46.55172413793103
MD Gunathilaka,507,236,1592,83.83,46.548323471400394
S Prasanna,507,236,421,91.52,46.548323471400394
S Randiv,507,236,280,71.79,46.548323471400394
LHD Dilhara,245,114,49,81.67,46.53061224489796
PHT Kaushal,486,226,0,0.0,46.50205761316872
J Mubarak,499,232,531,63.75,46.49298597194389
ML Udawatte,499,232,243,66.21,46.49298597194389
AC Jayangani,497,231,2760,77.99,46.478873239436616
NND de Silva,497,231,703,66.07,46.478873239436616
HASD Siriwardene,497,231,679,55.98,46.478873239436616
MADD Surangika,497,231,642,53.06,46.478873239436616
PM Weerakkody,497,231,638,54.44,46.478873239436616
MAA Sanjeewani,497,231,395,56.51,46.478873239436616
MDN Hansika,497,231,357,47.73,46.478873239436616
SS Weerakkody,497,231,328,62.96,46.478873239436616
I Ranaweera,497,231,179,38.25,46.478873239436616
KDU Prabodhani,497,231,126,35.69,46.478873239436616
BMSM Kumari,497,231,99,40.74,46.478873239436616
KC Sangakkara,510,237,11618,79.39,46.470588235294116
TM Dilshan,510,237,9212,85.48,46.470588235294116
DPMD Jayawardene,510,237,8040,78.58,46.470588235294116
ST Jayasuriya,510,237,4402,92.13,46.470588235294116
CK Kapugedera,510,237,1505,69.77,46.470588235294116
SHT Kandamby,510,237,827,69.03,46.470588235294116
MF Maharoof,510,237,799,80.63,46.470588235294116
KHRK Fernando,467,217,3,20.0,46.46680942184154
KIC Asalanka,495,230,1810,86.6,46.464646464646464
P Nissanka,495,230,1810,84.11,46.464646464646464
S Samarawickrama,495,230,1073,90.62,46.464646464646464
LD Chandimal,508,236,3657,72.1,46.45669291338583
SMA Priyanjan,508,236,420,78.8,46.45669291338583
KNA Bandara,465,216,141,64.98,46.45161290322581
DA Gunawardene,476,221,322,54.48,46.42857142857143
GWHM Perera,487,226,668,56.75,46.40657084188912
PRCS Kumarihami,487,226,283,37.04,46.40657084188912
TT Samaraweera,500,232,669,73.19,46.4
HIS Mendis,347,161,13,26.0,46.39769452449568
HDPK Dharmasena,360,167,129,83.23,46.388888888888886
MD Shanaka,498,231,1153,87.55,46.3855421686747
SS Pathirana,498,231,332,83.21,46.3855421686747
MDK Perera,498,231,152,73.43,46.3855421686747
MA Aponso,498,231,10,22.22,46.3855421686747
WIA Fernando,511,237,1404,84.94,46.37964774951077
FDM Karunaratne,511,237,1044,76.6,46.37964774951077
BMAJ Mendis,511,237,593,80.03,46.37964774951077
SL Malinga,511,237,508,72.47,46.37964774951077
I Udana,511,237,227,96.19,46.37964774951077
HDRS Silva,468,217,25,54.35,46.36752136752137
MS Atapattu,509,236,1978,66.82,46.36542239685658
RP Arnold,509,236,1039,69.68,46.36542239685658
WPUJC Vaas,509,236,569,67.34,46.36542239685658
PA de Silva,509,236,390,80.08,46.36542239685658
HP Tillakaratne,509,236,332,59.07,46.36542239685658
TCB Fernando,509,236,18,46.15,46.36542239685658
DN Wellalage,490,227,285,75.0,46.326530612244895
JDF Vandersay,490,227,112,46.47,46.326530612244895
JJ Smit,54,25,839,71.89,46.2962962962963
JP Kotze,54,25,316,70.38,46.2962962962963
N Davin,54,25,88,83.81,46.2962962962963
WU Tharanga,512,237,6482,73.28,46.2890625
AD Mathews,512,237,5646,81.42,46.2890625
BKG Mendis,512,237,3838,85.01,46.2890625
MDKJ Perera,512,237,3077,91.17,46.2890625
N Dickwella,512,237,1604,91.24,46.2890625
H Karunaratne,482,223,190,45.24,46.2655601659751
S Nisansala,482,223,20,90.91,46.2655601659751
PWH de Silva,478,221,859,102.75,46.23430962343096
M Bhanuka,478,221,140,70.35,46.23430962343096
PBB Rajapaksa,478,221,89,102.3,46.23430962343096
CKB Kulasekara,491,227,38,52.05,46.23217922606925
H Madavi,489,226,729,66.7,46.21676891615542
RMVD Gunaratne,489,226,401,69.98,46.21676891615542
HML Madushani,481,222,3,20.0,46.15384615384615
SK Patel,63,29,278,73.35,46.03174603174603
SM Warnapura,222,102,30,46.88,45.945945945945944
U Thimashini,158,72,2,33.33,45.56962025316456
K Phillip,53,24,0,0.0,45.283018867924525
RTM Mendis,204,92,50,100.0,45.09803921568628
D Lakshan,204,92,2,22.22,45.09803921568628
K Mahato,40,18,1,10.0,45.0
DOD Rikhi,9,4,3,50.0,44.44444444444444
S Dhakal,43,19,7,15.91,44.18604651162791
S Daniel,182,79,12,41.38,43.40659340659341
AR Berenger,60,24,53,46.09,40.0
SKW Kelly,5,2,7,140.0,40.0
H Durham,5,2,4,28.57,40.0
Muhammad Farooq,55,22,4,25.0,40.0
Omid Shafi Rahman,55,22,1,14.29,40.0
Sabbir Rahman,335,132,1259,90.25,39.40298507462686
NY McLean,386,152,231,63.81,39.37823834196891
SACA King,386,152,126,54.08,39.37823834196891
NE Bonner,384,151,85,60.71,39.322916666666664
Liton Das,336,132,2178,84.32,39.285714285714285
Soumya Sarkar,336,132,2044,95.29,39.285714285714285
Mehedi Hasan Miraz,336,132,1188,78.36,39.285714285714285
NK Crafton,135,53,13,76.47,39.25925925925926
OC McCoy,260,102,0,0.0,39.23076923076923
Mohammad Mithun,334,131,711,75.0,39.221556886227546
Mosaddek Hossain,334,131,524,80.0,39.221556886227546
Anamul Haque,342,134,1322,74.06,39.1812865497076
Sohag Gazi,342,134,182,87.92,39.1812865497076
B Cooper,365,143,339,58.35,39.178082191780824
SL Quintyne,365,143,117,57.35,39.178082191780824
TD Smartt,365,143,40,61.54,39.178082191780824
JP Greaves,388,152,79,57.66,39.175257731958766
KY Ottley,388,152,41,53.95,39.175257731958766
Raqibul Hasan,337,132,1177,61.62,39.16913946587537
RD Jacobs,368,144,142,63.11,39.130434782608695
SE Rutherford,358,140,497,110.44,39.10614525139665
Mashrafe Mortaza,343,134,1304,81.04,39.067055393586
Habibul Bashar,343,134,926,55.42,39.067055393586
Javed Omar,343,134,468,48.4,39.067055393586
Syed Rasel,343,134,76,45.24,39.067055393586
Fargana Hoque,333,130,1275,49.4,39.03903903903904
Nigar Sultana,333,130,927,48.82,39.03903903903904
Murshida Khatun,333,130,429,55.0,39.03903903903904
Shamima Sultana,333,130,304,56.3,39.03903903903904
Shorna Akter,333,130,147,60.0,39.03903903903904
N Deonarine,369,144,546,62.54,39.02439024390244
Mominul Haque,341,133,495,73.77,39.002932551319645
Jahurul Islam,341,133,226,69.54,39.002932551319645
TJ Bishop,377,147,0,0.0,38.9920424403183
C Hemraj,413,161,82,81.19,38.983050847457626
AK Peters,390,152,6,20.69,38.97435897435897
Aftab Ahmed,344,134,1061,73.12,38.95348837209303
TL Best,416,162,72,63.16,38.94230769230769
DS Smith,414,161,973,70.56,38.888888888888886
GC Tonge,355,138,10,62.5,38.87323943661972
RT Crandon,355,138,5,55.56,38.87323943661972
ADS Fletcher,404,157,305,60.64,38.86138613861386
CA Henry,417,162,537,76.39,38.84892086330935
RS Williams,417,162,477,46.22,38.84892086330935
AA Alleyne,417,162,341,60.04,38.84892086330935
Z James,417,162,89,36.78,38.84892086330935
S Gajnabi,417,162,77,41.62,38.84892086330935
CS Fraser,417,162,62,46.27,38.84892086330935
LR Johnson,399,155,19,29.23,38.847117794486216
Tamim Iqbal,345,134,7648,76.64,38.84057971014493
Mushfiqur Rahim,345,134,7094,78.95,38.84057971014493
Mahmudullah,345,134,5127,75.45,38.84057971014493
Imrul Kayes,345,134,2242,68.6,38.84057971014493
Shahriar Nafees,345,134,1216,66.92,38.84057971014493
Towhid Hridoy,327,127,759,85.47,38.837920489296636
Tanzid Hasan,327,127,364,101.11,38.837920489296636
Nasum Ahmed,327,127,156,87.64,38.837920489296636
Mahedi Hasan,327,127,122,62.56,38.837920489296636
Shoriful Islam,327,127,91,85.85,38.837920489296636
Hasan Mahmud,327,127,37,48.05,38.837920489296636
Khaled Ahmed,327,127,1,25.0,38.837920489296636
Zakir Hasan,327,127,1,20.0,38.837920489296636
A Athanaze,412,160,306,80.95,38.83495145631068
SE Findlay,394,153,88,62.86,38.83248730964467
Hannan Sarkar,340,132,280,52.14,38.8235294117647
SA Campbelle,420,163,1167,59.91,38.80952380952381
M Mangru,392,152,30,42.86,38.775510204081634
J Glasgow,392,152,7,41.18,38.775510204081634
Kycia A Knight,423,164,699,51.78,38.77068557919622
Sharmin Akhter,325,126,643,56.4,38.76923076923077
S Mostary,325,126,224,57.29,38.76923076923077
CR Brathwaite,418,162,527,85.97,38.75598086124402
O Thomas,418,162,22,28.21,38.75598086124402
AB Barath,400,155,394,62.64,38.75
MN Samuels,426,165,4205,74.37,38.732394366197184
D Ramdin,426,165,2072,78.6,38.732394366197184
LMP Simmons,426,165,1958,71.43,38.732394366197184
DR Smith,426,165,1261,88.18,38.732394366197184
AD Russell,426,165,1034,128.45,38.732394366197184
Khaled Mashud,346,134,605,53.12,38.72832369942196
Tushar Imran,346,134,250,52.41,38.72832369942196
Akram Khan,346,134,57,55.88,38.72832369942196
Al Sahariar,346,134,44,43.14,38.72832369942196
D Ganga,323,125,152,50.33,38.69969040247678
S Chanderpaul,424,164,3804,67.87,38.679245283018865
BC Lara,424,164,1878,76.5,38.679245283018865
WW Hinds,424,164,1066,65.56,38.679245283018865
IDR Bradshaw,424,164,259,61.23,38.679245283018865
CO Browne,424,164,144,84.21,38.679245283018865
M Dillon,424,164,44,84.62,38.679245283018865
PT Collins,424,164,3,30.0,38.679245283018865
TM Dowlin,401,155,228,62.98,38.65336658354115
DM Richards,401,155,179,68.85,38.65336658354115
FL Reifer,401,155,86,45.26,38.65336658354115
CH Gayle,427,165,6433,86.53,38.64168618266979
RR Sarwan,427,165,3717,72.27,38.64168618266979
DM Bravo,427,165,3007,67.2,38.64168618266979
DJ Bravo,427,165,2760,78.72,38.64168618266979
DJG Sammy,427,165,1853,96.21,38.64168618266979
KOA Powell,427,165,934,78.42,38.64168618266979
SP Narine,427,165,363,79.78,38.64168618266979
KAJ Roach,427,165,308,50.49,38.64168618266979
DC Thomas,427,165,238,62.8,38.64168618266979
SW Ambris,409,158,473,93.66,38.63080684596577
CS Baugh,422,163,382,67.85,38.62559241706161
R Rampaul,422,163,338,75.11,38.62559241706161
KA Edwards,422,163,331,64.9,38.62559241706161
A Martin,422,163,10,34.48,38.62559241706161
SD Hope,430,166,4989,78.15,38.604651162790695
J Charles,430,166,1544,83.91,38.604651162790695
BA King,430,166,1306,82.87,38.604651162790695
KU Carty,430,166,1000,75.93,38.604651162790695
SSJ Brooks,430,166,842,73.22,38.604651162790695
Nazmul Hossain Shanto,329,127,1165,79.96,38.60182370820669
Afif Hossain,329,127,548,86.85,38.60182370820669
R Powell,425,164,915,86.81,38.588235294117645
JN Mohammed,425,164,621,66.85,38.588235294117645
AR Nurse,425,164,454,97.84,38.588235294117645
D Bishoo,425,164,164,61.89,38.588235294117645
AJ Hosein,407,157,266,70.93,38.57493857493858
KA Hope,402,155,138,68.66,38.55721393034826
CAK Walton,402,155,53,60.23,38.55721393034826
HK Matthews,428,165,2327,75.16,38.55140186915888
DJS Dottin,428,165,1679,81.11,38.55140186915888
CN Nation,428,165,831,54.46,38.55140186915888
Kyshona A Knight,428,165,597,47.99,38.55140186915888
MR Aguilleira,428,165,323,54.01,38.55140186915888
ASS Fletcher,428,165,282,64.98,38.55140186915888
A Mohammed,428,165,232,40.85,38.55140186915888
Q Joseph,428,165,179,70.2,38.55140186915888
SF Daley,428,165,141,58.75,38.55140186915888
R Boyce,428,165,30,30.0,38.55140186915888
RS Morton,408,157,1205,64.37,38.48039215686274
S Chattergoon,408,157,281,63.72,38.48039215686274
PA Browne,408,157,134,73.22,38.48039215686274
BA Parchment,408,157,107,54.04,38.48039215686274
KA Pollard,429,165,2608,90.65,38.46153846153846
JO Holder,429,165,2144,88.19,38.46153846153846
E Lewis,429,165,1903,85.76,38.46153846153846
N Pooran,429,165,1829,95.61,38.46153846153846
SO Hetmyer,429,165,1410,105.62,38.46153846153846
JB Nero,308,118,31,55.36,38.311688311688314
JW Ogle-Thomas,308,118,10,58.82,38.311688311688314
A Munisar,282,108,4,30.77,38.297872340425535
JD Campbell,303,116,248,113.76,38.28382838283829
Mohammad Naim,322,123,58,58.59,38.19875776397515
DP Hyatt,328,125,112,59.26,38.109756097560975
CP Jack,331,126,17,65.38,38.066465256797585
PY Lavine,331,126,8,30.77,38.066465256797585
SO Dowrich,71,27,6,75.0,38.028169014084504
