player_name,total_matches_played,matches_won,total_runs,Strike_Rate,Win_Percentage
V Kohli,579,360,13784,91.7,62.17616580310881
Yuvraj Singh,579,360,6868,85.45,62.17616580310881
SK Raina,579,360,5585,90.86,62.17616580310881
G Gambhir,579,360,4981,83.95,62.17616580310881
YK Pathan,579,360,810,110.05,62.17616580310881
R Ashwin,579,360,707,85.08,62.17616580310881
M Vijay,579,360,339,65.7,62.17616580310881
A Nehra,579,360,90,51.72,62.17616580310881
MM Patel,579,360,74,64.91,62.17616580310881
S Sreesanth,579,360,44,35.2,62.17616580310881
WP Saha,579,360,41,69.49,62.17616580310881
F Tunnicliffe,214,133,15,71.43,62.149532710280376
R Dravid,573,356,3650,71.11,62.12914485165794
SC Ganguly,573,356,2409,70.25,62.12914485165794
RV Uthappa,573,356,934,87.29,62.12914485165794
S Mandhana,578,359,3526,88.0,62.11072664359862
PG Raut,578,359,1436,61.11,62.11072664359862
JI Rodrigues,578,359,1051,80.91,62.11072664359862
CA Pujara,517,321,51,37.5,62.0889748549323
S Meghana,530,329,114,102.7,62.075471698113205
MK Pandey,559,347,558,89.42,62.075134168157426
KK Nair,559,347,46,51.69,62.075134168157426
KL Rahul,580,360,2761,86.36,62.06896551724138
AR Patel,580,360,568,90.02,62.06896551724138
SV Samson,580,360,510,96.77,62.06896551724138
Kuldeep Yadav,580,360,195,47.45,62.06896551724138
B Sai Sudharsan,580,360,127,88.19,62.06896551724138
RD Gaikwad,580,360,115,72.33,62.06896551724138
Tilak Varma,580,360,68,54.4,62.06896551724138
RK Singh,580,360,55,127.91,62.06896551724138
Arshdeep Singh,580,360,37,108.82,62.06896551724138
Avesh Khan,580,360,23,76.67,62.06896551724138
Mukesh Kumar,580,360,10,58.82,62.06896551724138
AG Puttick,406,252,0,0.0,62.06896551724138
HH Pandya,572,355,1762,107.7,62.06293706293706
KH Pandya,572,355,130,99.24,62.06293706293706
M Prasidh Krishna,572,355,2,11.11,62.06293706293706
RG Sharma,577,358,10646,90.36,62.045060658578855
S Dhawan,577,358,6733,89.49,62.045060658578855
T Bhatia,503,312,138,67.32,62.02783300198807
SR Tendulkar,574,356,6432,84.55,62.02090592334495
V Sehwag,574,356,5692,101.93,62.02090592334495
AM Rahane,571,354,2906,76.23,61.996497373029776
SS Iyer,576,357,2396,98.04,61.979166666666664
KM Jadhav,576,357,1318,100.84,61.979166666666664
RR Pant,576,357,871,102.96,61.979166666666664
Shubman Gill,560,347,2328,99.02,61.964285714285715
KK Ahmed,560,347,8,47.06,61.964285714285715
L Klusener,423,262,163,104.49,61.938534278959814
M Kaif,570,353,1314,63.72,61.92982456140351
VVS Laxman,570,353,828,72.5,61.92982456140351
MR Meshram,562,348,322,56.39,61.92170818505338
MS Dhoni,575,356,10274,84.98,61.91304347826087
AT Rayudu,575,356,1637,76.39,61.91304347826087
VB van Jaarsveld,399,247,9,56.25,61.904761904761905
M Raj,564,349,2949,68.26,61.87943262411348
RM Ghosh,556,344,690,90.2,61.8705035971223
S Rana,556,344,184,81.42,61.8705035971223
MDT Kamini,514,318,353,63.49,61.86770428015564
KV Jain,514,318,104,47.49,61.86770428015564
KD Karthik,569,352,1624,71.38,61.86291739894552
V Krishnamurthy,561,347,410,86.32,61.853832442067734
R Malhotra,561,347,118,63.78,61.853832442067734
G Sultana,561,347,61,36.97,61.853832442067734
S Naik,561,347,25,64.1,61.853832442067734
N Niranjana,561,347,24,40.0,61.853832442067734
Y Venugopal Rao,498,308,161,62.65,61.84738955823293
TS Hasabnis,490,303,140,76.09,61.83673469387755
SZ Thakor,490,303,46,45.1,61.83673469387755
A le Breton,207,128,3,50.0,61.83574879227053
LE Bosman,440,272,301,94.65,61.81818181818182
SSB Magala,419,259,18,72.0,61.81384248210024
IK Pathan,563,348,1226,79.2,61.81172291296625
