player_name,High_Batting_Strike_Rate,Player_Average
EL Lamb,83.72093023,132.0
AC Voges,83.47280335,133.0
A Patel,83.33333333,8.33
A Ashok,83.33333333,10.0
Karan KC,83.24225865,5.64
HDPK Dharmasena,83.22580645,21.5
SS Pathirana,83.20802005,20.75
S Molineux,83.11688312,2.78
AL Phehlukwayo,83.03212851,8.61
M Labuschagne,82.81690141,294.0
LV van Beek,82.78688525,10.1
J Botha,82.72980501,7.71
L Lee,82.6544021,1258.0
C Viljoen,82.60869565,9.5
JP Duminy,82.32542599,66.59
Shoaib Khan,82.24390244,421.5
RJ Peterson,82.2327044,6.88
RML Taylor,82.03125,9.55
CT Mutombodzi,81.87919463,24.4
JF Mooney,81.769437,16.49
P Marange,81.69934641,12.5
LHD Dilhara,81.66666667,16.33
Washington Sundar,81.60621762,13.7
Shaiman Anwar,81.49741824,189.4
AD Mathews,81.42486299,41.21
S Rana,81.4159292,7.08
RK Kleinveldt,81.39534884,8.75
C Green,81.2987013,29.81
G Singh,81.21212121,156.33
DJS Dottin,81.11111111,31.68
Mashrafe Mortaza,81.04412679,5.74
A Athanaze,80.95238095,306.0
Raza-ur-Rehman,80.93023256,174.0
JI Rodrigues,80.90839107,210.2
Nizakat Khan,80.89171975,169.33
HN Ya France,80.88737201,16.93
KJ Coetzer,80.67940552,2280.0
MF Maharoof,80.62563068,6.77
ME Trescothick,80.52419355,998.5
AC Agar,80.5,14.64
OA Shah,80.43810494,225.57
TH David,80.35714286,45.0
PA de Silva,80.08213552,27.86
BMAJ Mendis,80.02699055,19.13
AE Satterthwaite,80.01658375,99.83
Nahid Rana,80.0,2.0
Mosaddek Hossain,80.0,32.75
H Graham,80.0,4.0
Nazmul Hossain Shanto,79.95881949,1165.0
SP Narine,79.78021978,3.67
P Khadka,79.49526814,63.0
CL White,79.48122338,186.64
SIR Dunkley,79.45619335,789.0
R Trumpelmann,79.36507937,6.25
M Levitt,79.35222672,196.0
Shafali Verma,79.21279213,322.0
IK Pathan,79.19896641,7.86
AM Peterson,79.14691943,8.79
LM Jongwe,79.14572864,11.25
RL Haynes,79.11468813,983.0
BCJ Cutting,79.10447761,10.6
MW Machan,79.07444668,98.25
Mohammad Nawaz,78.99543379,8.24
N Vanua,78.95277207,13.73
SA Millanta,78.94736842,5.0
K Bhurtel,78.90520694,98.5
SMA Priyanjan,78.79924953,60.0
L Balaji,78.78787879,3.71
JG Bethell,78.77358491,41.75
DJ Bravo,78.72219053,14.3
DPMD Jayawardene,78.57701329,4020.0
B Evans,78.57142857,7.12
Simi Singh,78.52998066,13.53
MG Erasmus,78.42287695,53.24
CS MacLeod,78.40466926,251.88
Mehedi Hasan Miraz,78.36411609,11.1
EA Perry,78.22843823,40.43
SM Benade,78.125,25.0
AC Jayangani,77.98813224,81.18
Tanzim Hasan Sakib,77.86885246,6.79
D Hazell,77.85714286,3.21
CG Williams,77.63636364,85.4
Pargat Singh,77.6344086,144.4
S Horley,77.52808989,30.67
WD Parnell,77.25437416,5.22
EJ Villani,77.22772277,78.0
SF Mire,77.22457627,66.27
HK Badani,77.14285714,67.5
E Chigumbura,77.11924439,37.11
MJ Clarke,76.83342496,124.79
Azhar Mahmood,76.82926829,21.0
RR Hendricks,76.79603633,930.0
Avesh Khan,76.66666667,2.56
H Deol,76.53478854,280.5
RS Bopara,76.39204545,65.59
AT Rayudu,76.38824078,545.67
CA Henry,76.38691323,16.27
K Fraser,76.38190955,16.89
DT Johnston,76.32135307,9.26
DE Budge,76.20578778,237.0
Mohammad Hafeez,76.08721696,44.73
A Nao,76.05633803,2.7
SW Bates,75.85320243,129.8
MR Swart,75.64102564,29.5
NJ Astle,75.60153994,196.38
IR Bell,75.58953837,881.5
KS Lokuarachchi,75.57603687,9.11
Gulsan Jha,75.57436518,20.83
IJL Trott,75.53590568,939.67
MD Dai,75.47683924,21.31
Mahmudullah,75.45253863,61.77
TJ Friend,75.42857143,132.0
DR Martyn,75.38720539,2239.0
Haris Rauf,75.2688172,0.89
Kaleem Sana,75.25773196,2.7
PD Collingwood,75.1682736,43.04
HK Matthews,75.16149871,28.04
MN Waller,75.12653651,115.44
CN Ackermann,75.11520737,21.73
R Rampaul,75.11111111,2.94
HC Knight,75.10107015,65.79
Zahid Mahmood,75.0,2.25
DN Wellalage,75.0,10.56
AC Kerr,74.96967246,19.11
AI Chudasama,74.52830189,7.9
Younis Khan,74.51255654,4777.0
M Kartik,74.45255474,3.4
Mohammad Yousuf,74.39187383,2783.0
MN Samuels,74.37212593,63.71
RD Berrington,74.36729396,152.8
O Prendergast,74.36594203,45.61
JN Loftie-Eaton,74.25373134,36.18
TLW Cooper,74.22680412,96.0
A Balbirnie,74.21613394,2438.0
NR Kirton,74.19354839,120.75
BRM Taylor,74.03665753,1282.5
Aayan Afzal Khan,73.95701643,13.6
L Siaka,73.93879566,249.67
A Bosch,73.8045738,355.0
Mominul Haque,73.7704918,82.5
JN Frylinck,73.65269461,17.08
MDK Perera,73.42995169,11.69
AF Giles,73.33333333,7.53
RK Paudel,73.24640288,162.9
TT Samaraweera,73.19474836,669.0
Aftab Ahmed,73.12198484,265.25
Azhar Ali,72.88135593,451.5
Saad Bin Zafar,72.57525084,8.68
SL Malinga,72.467903,1.48
RR Sarwan,72.27299242,232.31
N de Klerk,72.09302326,11.11
SSB Magala,72.0,1.2
CM Edwards,71.99453552,527.0
JWM Dalrymple,71.93500739,32.47
JJ Smit,71.89374464,21.51
S Randiv,71.79487179,7.37
Sompal Kami,71.70900693,7.86
A Capsey,71.64556962,35.38
LMP Simmons,71.43378329,1958.0
MKDI Amerasinghe,71.42857143,0.5
Jatinder Singh,71.36842105,1356.0
JL Ontong,71.32352941,97.0
HDRL Thirimanne,71.19711971,1054.67
DEM Carter,71.17437722,25.0
DM Kimmince,71.15384615,5.29
AJ Hosein,70.93333333,4.43
LPC Silva,70.85872576,1279.0
JA Clarkson,70.83333333,4.25
DS Airee,70.74774035,18.72
BM Halliday,70.64846416,118.29
Ahmed Shehzad,70.52166713,1277.5
CM McBride,70.4379562,96.5
Vikramjit Singh,70.33096927,170.0
TS Chisoro,70.32258065,9.08
B Fernando,70.27027027,13.0
SC Ganguly,70.25371829,109.5
ML Nkala,70.2247191,25.0
R Rijke,70.20648968,39.67
Q Joseph,70.19607843,11.19
H Masakadza,70.04959263,179.77
SM Sharif,69.78723404,5.53
CK Kapugedera,69.77283264,752.5
NE Bolton,69.7438376,721.5
RP Arnold,69.68477532,129.88
MK Tiwary,69.66019417,57.4
M du Preez,69.59924859,2223.0
Fatima Sana,69.54022989,8.2
VS Solanki,69.43048576,829.0
K Klein,69.31818182,3.59
Mudassar Bukhari,69.23076923,7.88
D Gough,69.19191919,2.36
CD de Lange,69.14893617,4.33
