player_name,Total_Wickets_Taken,POTM_Awards
Aasif Sheikh,0,5
Abdul Jabbar,0,0
Abdul Shakoor,0,0
Ravinderpal Singh,0,0
Rony Talukdar,0,0
RT Ponting,0,17
RV Uthappa,0,0
RW Chakabva,0,0
RW Sims,0,0
RWT Key,0,0
Rabiya Shah,0,0
S Chanderpaul,0,7
S Chattergoon,0,0
S Daniel,0,0
S Dhamala,0,0
Rameez Shahzad,0,1
Raqibul Hasan,0,0
Rashid Latif,0,0
Rashid Zia,0,0
CJ Bowes,0,0
C Zhuwao,0,0
CA Ingram,0,3
CA Lynn,0,0
CA Pujara,0,0
AR Berenger,0,0
AR Odedara,0,1
S Dhawan,0,11
CJO Smith,0,0
CK Coventry,0,1
CK Holder,0,0
CC Dalton,0,0
CD Cumming,0,0
CD Wallace,0,0
CE Coulter Reilly,0,0
CH van Koolwijk,0,0
Fayyaz Ahmed,0,0
Fazle Mahmud,0,0
G Chapple,0,0
G Gambhir,0,11
G Kirsten,0,0
CJ Ferguson,0,1
CJ Nevin,0,0
CJ Smith,0,0
AM Tribe,0,0
AN Cook,0,7
AN Kervezee,0,0
AN Petersen,0,0
APS Lakshika,0,0
G Voll,0,0
GA Guy,0,0
Fargana Hoque,0,1
GJ Bailey,0,4
GA Manou,0,0
GB Murgatroyd,0,0
GC Bhogle,0,0
GC Wilson,0,1
GE Plimmer,0,0
S Khiaoto,0,0
S Lackay,0,0
F Kasteni,0,0
F Mutizwa,0,0
EJG Morgan,0,12
EL Watson,0,0
EMDY Munaweera,0,0
GEF Barnett,0,0
GH Worker,0,0
GI Maiden,0,0
SD Heazlett,0,0
S Verma,0,0
SA Edwards,0,3
SA Engelbrecht,0,0
SA Wijeratne,0,0
S Naik,0,0
S Samarawickrama,0,2
S Sriharsha,0,0
S Forbes,0,0
S Jafta,0,0
AM McCarthy,0,0
AM Rahane,0,5
SA Yadav,0,0
SB Bangar,0,0
SC Joseph,0,0
SC Taylor,0,0
ST Doheny,0,0
SV Bahutule,0,0
SV Carlisle,0,0
SR Hain,0,0
SR Mukkamalla,0,1
SR Thadani,0,0
SR Waters,0,0
SRH Curtis,0,0
SI Galagedara,0,0
SJ Andrews,0,0
SD Hope,0,9
SDNS Karunaratne,0,0
SE Findlay,0,0
SE Marsh,0,4
SS Tiwary,0,0
SSJ Brooks,0,2
SJ Baard,0,0
SJ Bryce,0,0
SJ Elliott,0,0
SJ Massiah,0,0
SJ McGlashan,0,0
SJ Modani,0,1
SJ Myburgh,0,1
SJ Swanepoel,0,0
S Meghana,0,0
S Mostary,0,0
S Movva,0,0
SJ Taylor,0,6
SK Atai,0,0
SK Naidu,0,0
SK Patel,0,1
SL Kalis,0,0
Ethan D'Souza,0,0
SP Terry,0,0
SL Stewart,0,0
SM Davies,0,1
SM Katich,0,0
SM Warnapura,0,0
AK Sah,0,1
AL Hodgkinson,0,0
Faisal Iqbal,0,0
F Tunnicliffe,0,0
F Walters,0,0
FC Wilson,0,0
FDM Karunaratne,0,1
FH Allen,0,1
FL Reifer,0,0
ES Szwarczynski,0,0
DJM Short,0,0
DL Blake,0,0
DM Bravo,0,3
DM Richards,0,0
FRJ Coleman,0,0
FY Fazal,0,0
Fahad Nawaz,0,0
Faisal Athar,0,0
SS Iyer,0,4
SS McKechnie,0,0
SO Dowrich,0,0
SO Hetmyer,0,4
SP Fleming,0,5
SP Khakurel,0,0
SP Krishnamurthi,0,0
SP Patil,0,0
DR Mousley,0,0
DS Smith,0,1
DS Weerakkody,0,0
Dhiman Ghosh,0,0
DO Obuya,0,0
DOD Rikhi,0,0
DP Conway,0,3
DP Hyatt,0,0
D Keulder,0,0
D Khanal,0,0
Dilara Akter,0,0
E Claridge,0,0
E Lewis,0,4
EC Joyce,0,5
EC Perry,0,0
DR Chumney,0,0
AF Sattaur,0,0
AG Prince,0,1
AG Puttick,0,0
AGS Gous,0,1
D Ramdin,0,1
D Dhingra,0,0
D Foxcroft,0,0
D Ganga,0,0
AL Kandappah,0,0
AL Watkins,0,0
AJ Healy,0,8
AJ Redmond,0,0
AJ Stewart,0,0
AJ Strauss,0,7
AK Perera,0,0
AF Buurman,0,0
Sagar Pun,0,0
Saleem Elahi,0,0
Salman Butt,0,5
Salman Faris,0,0
T Brits,0,1
T Chetty,0,3
T Duffin,0,0
T Gwandu,0,0
Sami Aslam,0,0
Sana Javed,0,0
Sandeep Goud,0,1
Sanjida Islam,0,0
Saqlain Haider,0,0
Sarfraz Ahmed,0,5
Saad Ali,0,0
Sadaf Shamas,0,0
Shamima Sultana,0,0
Shamsur Rahman,0,1
Shan Masood,0,0
Sharjeel Khan,0,0
Shahid Wasif,0,0
Shahriar Hossain,0,0
Shahriar Nafees,0,3
Shahzaib Hasan,0,0
AJ Blackwell,0,2
SV Samson,0,2
SW Ambris,0,1
SW Billings,0,0
SW Poynter,0,0
ADS Fletcher,0,0
AE Jones,0,4
Shamim Hossain,0,0
TMK Mawoyo,0,0
TN de Grooth,0,0
TP Ura,0,1
TJ Bishop,0,0
TK Musakanda,0,0
T de Zorzi,0,1
TA Blundell,0,0
TB Robinson,0,0
Sharmin Akhter,0,2
Sharmin Sultana,0,0
Shathira Jakir,0,0
Shawaal Zulfiqar,0,0
Shayan Jahangir,0,0
Shubman Gill,0,4
TL Seifert,0,0
TM Dowlin,0,0
T Bhatia,0,0
Shuvagata Hom,0,0
Sidra Ameen,0,5
Sidra Nawaz,0,0
Simandeep Singh,0,0
Skhawat Ali,0,0
Steven Ryan Taylor,0,0
Sufyan Mehmood,0,0
T Kaitano,0,0
Sultan Ahmed,0,0
Sultana Yesmin,0,0
Sumaiya Akter,0,0
Suraj Kumar,0,0
Syeda Aroob Shah,0,0
T Banton,0,0
T Bavuma,0,2
T Marumani,0,0
T Mishra,0,1
T Munyonga,0,0
T Stubbs,0,1
T Suri,0,0
T Taibu,0,3
Tharika Sewwandi,0,0
Tilak Varma,0,0
DA Minors,0,0
DA Warner,0,16
DD Ebrahim,0,0
D Lakshan,0,0
D Murphy,0,0
D Myers,0,0
D Prins,0,0
TD Paine,0,1
DF Watts,0,0
DG Blampied,0,0
DG Brownlie,0,0
DI Allan,0,0
DI Joyce,0,0
D la Cock,0,0
DA Gunawardene,0,0
DA Miller,0,4
TC Bastiampillai,0,0
CR Ervine,0,6
CK Kruger,0,0
CKB Kulasekara,0,0
CM Beggs,0,0
CMA Shillington,0,0
CMG Atkins,0,1
DES Maxwell,0,0
ADR Campbell,0,0
V Aravind,0,2
A Chopra,0,0
A Bagai,0,1
A Aitken-Drummond,0,0
V Shetty,0,0
Zulqarnain Haider,0,0
Waseem Muhammad,0,2
AA Shafique,0,0
AB Barath,0,0
A Steyn,0,1
A Valthapa,0,0
A le Breton,0,0
AA Deshpande,0,0
VV Morea,0,0
VVS Laxman,0,2
TS Hasabnis,0,0
TS Kamunhukamwe,0,0
TSS Mackintosh,0,0
AC Gilchrist,0,13
AD Hales,0,5
AD Poynter,0,0
A Munisar,0,0
AA Obanda,0,0
CN Nation,0,0
CNIM Joyce,0,0
CO Browne,0,0
CP Jack,0,0
Talha Jubair,0,0
Tamim Iqbal,0,13
TP Visee,0,0
TR Ambrose,0,0
L Winfield,0,0
L Winfield-Hill,0,0
L Wolvaardt,0,6
L Wood,0,0
LD Chandimal,0,6
LDVV Silva,0,0
L Louwrens,0,0
L Rajadurai,0,0
VB van Jaarsveld,0,0
VCE Wattenberg,0,0
VR Iyer,0,0
VR Vanitha,0,0
KK Nair,0,0
KDK Vithanage,0,0
KED Carroll,0,0
KH Butt,0,0
WP Saha,0,0
Zeeshan Siddiqi,0,0
Zubayr Hamza,0,0
W Barresi,0,0
W Jaffer,0,0
WA Agar,0,0
WA Young,0,5
VAB Tewarie,0,0
AA Jangoo,0,1
AA Mulla,0,0
Umar Akmal,0,6
Umar Amin,0,0
Usman Limbada,0,0
Usman Salahuddin,0,0
Utkarsh Srivastava,0,0
WIA Fernando,0,6
