player_name,Total_Runs,Strike_Rate,Total_Wickets_Taken,POTM
RK Paudel,1629,73.25,10,5
KD Karthik,1624,71.38,0,1
HT Tector,1622,84.0,2,0
DJ Mitchell,1616,96.59,13,0
N Dickwella,1604,91.24,0,1
Sidra Ameen,1595,63.04,0,5
MD Gunathilaka,1592,83.83,8,2
OA Shah,1579,80.44,7,2
NJ Astle,1571,75.6,8,5
T Bavuma,1548,87.26,0,2
J Charles,1544,83.91,0,3
UT Khawaja,1539,82.52,0,3
JDS Neesham,1508,98.05,71,1
CK Kapugedera,1505,69.77,2,1
SA Edwards,1504,90.66,0,3
MP Stoinis,1489,91.8,48,1
Yasir Hameed,1459,65.57,0,4
NE Bolton,1443,69.74,2,6
CL Tryon,1440,107.14,40,4
PG Raut,1436,61.11,0,3
WA Young,1426,86.16,0,5
Aasif Sheikh,1423,73.24,0,5
DJ Malan,1418,94.28,1,4
Nasir Jamshed,1418,73.43,0,3
T Chetty,1414,68.51,0,3
SO Hetmyer,1410,105.62,0,4
Javeria Khan,1408,61.51,8,2
ML Green,1407,67.71,0,3
WIA Fernando,1404,84.94,0,6
Rohan Mustafa,1401,61.96,87,4
Waseem Muhammad,1398,85.87,0,2
L Ronchi,1397,112.57,0,1
MP Vaughan,1382,65.25,9,2
Jatinder Singh,1356,71.37,1,2
GH Lewis,1348,65.98,8,2
JR Hopes,1326,92.34,73,2
Anamul Haque,1322,74.06,0,2
KM Jadhav,1318,100.84,28,3
M Kaif,1314,63.72,0,1
Asad Shafiq,1312,66.06,0,0
S Matsikenyeri,1309,66.51,15,0
MA Leask,1306,111.34,64,3
BA King,1306,82.87,0,4
Mashrafe Mortaza,1304,81.04,227,9
M van Lingen,1300,90.15,2,4
HH Dippenaar,1283,67.42,0,7
LPC Silva,1279,70.86,1,1
Fargana Hoque,1275,49.4,0,1
DR Smith,1261,88.18,53,3
Sabbir Rahman,1259,90.25,3,0
C Munro,1249,103.48,9,0
JD Ryder,1242,95.98,11,3
RR Rossouw,1239,92.39,1,1
GC Wilson,1232,74.53,0,1
Imran Farhat,1232,64.54,2,1
MJ Prior,1229,74.39,0,1
DP Conway,1226,86.95,0,3
IK Pathan,1226,79.2,156,5
PG Fulton,1216,70.45,0,3
Shahriar Nafees,1216,66.92,0,3
Aliya Riaz,1207,63.66,13,1
RS Morton,1205,64.37,0,2
TP Ura,1196,78.37,0,1
Vikramjit Singh,1190,70.33,7,2
Mehedi Hasan Miraz,1188,78.36,107,5
K Bhurtel,1182,78.91,12,3
Raqibul Hasan,1177,61.62,0,0
A Gardner,1175,100.6,103,4
Nida Dar,1171,65.64,62,2
SA Campbelle,1167,59.91,4,1
Nazmul Hossain Shanto,1165,79.96,1,2
KJ Martin,1161,75.59,0,1
Asif Khan,1155,81.0,0,4
MD Shanaka,1153,87.55,22,1
Nahida Khan,1121,63.69,0,0
RW Chakabva,1106,67.03,0,0
L Vincent,1089,68.36,1,4
F Behardien,1074,96.41,12,1
S Samarawickrama,1073,90.62,0,2
WW Hinds,1066,65.56,22,1
Aftab Ahmed,1061,73.12,4,2
CM Edwards,1054,71.99,2,4
JI Rodrigues,1051,80.91,5,2
FDM Karunaratne,1044,76.6,0,1
SM Katich,1041,68.62,0,0
MN Waller,1039,75.13,9,1
RP Arnold,1039,69.68,8,0
AD Russell,1034,128.45,72,5
Aarif Sheikh,1032,62.62,8,2
Junaid Siddique,1021,66.69,77,0
KU Carty,1000,75.93,0,0
KH Prajapati,996,73.72,0,1
C Kieswetter,985,87.17,0,1
DS Smith,973,70.56,0,1
JN Malan,958,81.39,0,2
AJ Blackwell,953,75.76,0,2
CJA Amini,952,61.62,33,2
Muneeba Ali,948,58.92,0,0
Shaiman Anwar,947,81.5,5,0
JM How,939,64.8,0,3
G Singh,938,81.21,6,3
Imad Wasim,937,108.95,44,0
MG Johnson,934,93.21,243,6
RV Uthappa,934,87.29,0,0
KOA Powell,934,78.42,0,0
RR Hendricks,930,76.8,1,2
Nigar Sultana,927,48.82,0,2
Habibul Bashar,926,55.42,0,0
Chirag Suri,924,62.77,0,1
NT Broom,919,78.68,0,1
R Powell,915,86.81,3,1
CP Rizwan,901,57.28,1,1
SJ Modani,898,61.51,0,1
P Litchfield,895,78.37,0,4
BJ McMullen,888,83.93,39,3
Muhammad Usman,888,73.27,0,0
Ishan Kishan,886,99.55,0,1
JWA Taylor,879,79.55,0,3
S Bau,874,58.93,13,2
RR Pant,871,102.96,0,1
TT Bresnan,871,88.52,120,0
PD Salt,866,112.47,0,0
DS Airee,861,70.75,46,2
TD Paine,861,68.88,0,1
PWH de Silva,859,102.75,85,4
Rameez Shahzad,848,75.85,0,1
Shoaib Khan,843,82.24,2,2
SSJ Brooks,842,73.22,0,2
JJ Smit,839,71.89,39,1
CN Nation,831,54.46,0,0
TM Odoyo,830,69.11,45,2
VS Solanki,829,69.43,1,1
VVS Laxman,828,72.5,0,2
BM Halliday,828,70.65,7,0
AL Phehlukwayo,827,83.03,96,1
SHT Kandamby,827,69.03,2,0
PJ Hughes,826,73.88,0,2
O Prendergast,821,74.37,18,1
W Barresi,820,76.21,0,0
JA Rudolph,820,66.78,0,0
L Goodall,817,59.9,0,1
YK Pathan,810,110.05,37,2
MF Maharoof,799,80.63,118,6
AC Voges,798,83.47,6,2
JN Loftie-Eaton,796,74.25,22,2
SIR Dunkley,789,79.46,1,2
Sharjeel Khan,787,113.73,0,0
T Brits,786,69.13,0,1
A Steyn,781,61.11,0,1
A Hunter,776,81.68,0,1
SA Yadav,773,102.93,0,0
N Vanua,769,78.95,56,1
CA Ingram,761,81.39,0,3
AG Prince,761,67.58,0,1
Towhid Hridoy,759,85.47,0,1
Kushal Malla,756,86.9,26,1
MG Bevan,755,64.15,0,1
G Malla,753,65.76,1,0
L Siaka,749,73.94,3,1
LS Greenway,732,65.83,0,2
SF Mire,729,77.22,11,1
H Madavi,729,66.7,0,0
Pargat Singh,722,77.63,5,2
GO Jones,715,80.97,0,2
AT Nidamanuru,713,91.29,0,1
SR Mukkamalla,711,82.87,0,1
Mohammad Mithun,711,75.0,0,0
GD Phillips,710,94.79,13,1
R Ashwin,707,85.08,166,3
LJ Wright,707,84.37,17,0
JA Morkel,705,96.97,50,3
SO Tikolo,705,64.27,28,0
NND de Silva,703,66.07,3,0
B Sharki,703,65.03,0,1
BM Duckett,700,98.18,0,0
Kycia A Knight,699,51.78,0,0
PA Patel,693,78.39,0,0
RM Ghosh,690,90.2,0,0
