player_name,Total_Wickets_Taken,Total_Overs_Bowled,Wickets_Per_Over
EJB Miles,4,120,0.03333333333333333
TT Samaraweera,1,30,0.03333333333333333
Fatima Sana,59,1772,0.03329571106094808
K Bhurtel,12,361,0.0332409972299169
Kaleem Sana,27,813,0.033210332103321034
DW Steyn,212,6388,0.03318722604884158
JDF Vandersay,40,1206,0.03316749585406302
PA Desai,6,181,0.03314917127071823
JM Kerr,55,1662,0.03309265944645006
Mohammad Aadil Alam,9,272,0.03308823529411765
Kuldeep Yadav,173,5236,0.033040488922841865
NW Bracken,168,5095,0.03297350343473994
GF Linde,3,91,0.03296703296703297
WD Parnell,110,3340,0.03293413173652695
KIC Asalanka,16,486,0.03292181069958848
Zahoor Khan,95,2888,0.03289473684210526
Kabir Ali,21,640,0.0328125
Ali Naseer,23,701,0.03281027104136947
Zafar Gohar,2,61,0.03278688524590164
Ehsanul Haque,2,61,0.03278688524590164
RW Staple,2,61,0.03278688524590164
Hasan Mahmud,29,886,0.0327313769751693
S Sreesanth,81,2481,0.032648125755743655
GA Rogers,5,154,0.032467532467532464
CW Perchard,7,216,0.032407407407407406
Shorna Akter,7,216,0.032407407407407406
Imran Tahir,180,5556,0.032397408207343416
E Otieno,15,463,0.032397408207343416
Raza Hasan,2,62,0.03225806451612903
JG Bethell,4,124,0.03225806451612903
RA Lewis,1,31,0.03225806451612903
H Durham,2,62,0.03225806451612903
MG Johnson,243,7537,0.032240944672946796
O Thomas,30,931,0.0322234156820623
KK Ahmed,14,435,0.03218390804597701
GM Harris,8,249,0.0321285140562249
A Codrington,6,187,0.03208556149732621
C Abel,5,156,0.03205128205128205
AM Peterson,19,593,0.03204047217537943
AG Wharf,18,562,0.03202846975088968
S Luus,84,2630,0.03193916349809886
Shariz Ahmad,19,595,0.031932773109243695
JM Willathgamuwa,3,94,0.031914893617021274
DJ Bravo,193,6052,0.03189028420356907
Shoriful Islam,46,1445,0.03183391003460208
UDU Chandana,38,1194,0.031825795644891124
S Siegers,9,283,0.03180212014134275
SL Malinga,343,10803,0.03175043969267796
HK Badani,2,63,0.031746031746031744
SE Aley,2,63,0.031746031746031744
R Trumpelmann,56,1773,0.03158488437676255
Gulsan Jha,30,951,0.031545741324921134
N Niranjana,15,476,0.031512605042016806
Sompal Kami,79,2511,0.0314615690959777
Tanzim Hasan Sakib,14,445,0.03146067415730337
S Thuraisingam,6,191,0.031413612565445025
B Shikongo,25,796,0.031407035175879394
BM Halliday,7,223,0.03139013452914798
B Evans,17,542,0.03136531365313653
UT Yadav,116,3701,0.03134288030262091
Simi Singh,30,958,0.031315240083507306
T Muzarabani,8,256,0.03125
JB Reva,6,192,0.03125
M van Jaarsveld,1,32,0.03125
N de Klerk,53,1702,0.031139835487661575
R Rampaul,115,3703,0.031055900621118012
RM Haq,27,871,0.030998851894374284
FL Mackay,19,614,0.030944625407166124
KP Meiyappan,38,1228,0.030944625407166124
IK Pathan,156,5050,0.03089108910891089
A Nehra,115,3745,0.030707610146862484
SI Mahmood,38,1238,0.030694668820678513
DNT Zoysa,23,750,0.030666666666666665
JD Ryder,11,359,0.03064066852367688
TL Best,36,1175,0.030638297872340424
CR Seneviratna,12,392,0.030612244897959183
AR White,10,328,0.03048780487804878
AD Russell,72,2362,0.03048264182895851
LN Rajbanshi,42,1388,0.03025936599423631
MF Maharoof,118,3911,0.03017131168499105
JM Davison,19,630,0.03015873015873016
AL Phehlukwayo,96,3189,0.030103480714957668
LMM Tahuhu,98,3276,0.029914529914529916
Junaid Siddique,77,2575,0.029902912621359225
ASS Fletcher,61,2041,0.029887310142087214
AD Janakanthymala,2,67,0.029850746268656716
NR Kumar,2,67,0.029850746268656716
AR Caddick,18,604,0.029801324503311258
JF Mooney,37,1242,0.029790660225442835
S Nisansala,8,269,0.02973977695167286
KAJ Roach,132,4472,0.029516994633273702
SI Kamea,28,950,0.029473684210526315
Iram Javed,1,34,0.029411764705882353
P Roy,1,34,0.029411764705882353
EN Lynch,15,510,0.029411764705882353
G Toka,3,102,0.029411764705882353
G Fontenla,3,102,0.029411764705882353
A Khaka,129,4389,0.02939166097060834
AA Alleyne,30,1021,0.029382957884427033
GR Codrington,9,307,0.029315960912052116
MA Leask,64,2184,0.029304029304029304
MM Patel,93,3188,0.02917189460476788
H Hiri,3,103,0.02912621359223301
A Martin,13,447,0.029082774049217
AM Samad,2,69,0.028985507246376812
D Gough,58,2004,0.028942115768463075
I Wardlaw,18,622,0.028938906752411574
RK Paudel,10,346,0.028901734104046242
NG Smith,6,208,0.028846153846153848
Fariha Trisna,6,208,0.028846153846153848
Usama Mir,15,521,0.028790786948176585
A Mohammed,58,2015,0.028784119106699754
Mohammad Hasnain,20,695,0.02877697841726619
Z Mali,4,139,0.02877697841726619
SM Sharif,89,3099,0.028718941594062602
Afif Hossain,3,105,0.02857142857142857
JA Turner,2,70,0.02857142857142857
Washington Sundar,23,807,0.028500619578686492
SR Watson,162,5690,0.028471001757469243
C Sutthiruang,7,246,0.028455284552845527
PKD Chase,19,668,0.02844311377245509
LV van Beek,50,1759,0.028425241614553724
DT Christian,21,739,0.028416779431664412
TK Patel,5,176,0.028409090909090908
RP Singh,80,2817,0.028399006034788784
TK Curran,38,1340,0.028358208955223882
JDS Neesham,71,2512,0.028264331210191083
CA Soper,67,2380,0.02815126050420168
AJ Hosein,60,2132,0.028142589118198873
RN ten Doeschate,20,711,0.02812939521800281
M Kapp,133,4729,0.02812433918375978
Mahedi Hasan,15,534,0.028089887640449437
N Boochatham,10,356,0.028089887640449437
Sadia Iqbal,31,1105,0.028054298642533938
HDRL Thirimanne,3,107,0.028037383177570093
SR Thompson,10,357,0.028011204481792718
HM Rowe,58,2075,0.027951807228915663
TT Bresnan,120,4300,0.027906976744186046
MDK Perera,13,466,0.027896995708154508
W O'Rourke,8,287,0.027874564459930314
L Balaji,28,1005,0.027860696517412936
SP Narine,99,3554,0.027855936972425437
I Toua,11,395,0.027848101265822784
M Klaas,77,2771,0.0277878022374594
DPMD Jayawardene,2,72,0.027777777777777776
AM Bacher,3,108,0.027777777777777776
JN Frylinck,36,1298,0.02773497688751926
A Capsey,8,289,0.02768166089965398
T Maruma,6,217,0.027649769585253458
CM McBride,4,145,0.027586206896551724
AAP Atkinson,11,399,0.02756892230576441
TM Odoyo,45,1635,0.027522935779816515
T Mupariwa,39,1417,0.027522935779816515
Khushdil Shah,3,109,0.027522935779816515
HK Matthews,83,3025,0.02743801652892562
AE Satterthwaite,29,1060,0.027358490566037737
Rumana Ahmed,26,951,0.027339642481598318
EL Lamb,3,110,0.02727272727272727
Nizakat Khan,3,110,0.02727272727272727
Vikramjit Singh,7,257,0.027237354085603113
CJ Jordan,47,1728,0.027199074074074073
IDR Bradshaw,69,2537,0.027197477335435555
RJ Peterson,76,2798,0.027162258756254467
PT Collins,12,442,0.027149321266968326
CN Ackermann,15,553,0.027124773960216998
EJ Villani,6,222,0.02702702702702703
KS Lokuarachchi,18,666,0.02702702702702703
Tanvir Ahmed,1,37,0.02702702702702703
SF Mire,11,408,0.02696078431372549
WB Rankin,67,2489,0.02691844114102049
SPD Smith,29,1081,0.02682701202590194
AC Botha,16,597,0.02680067001675042
Javeria Khan,8,299,0.026755852842809364
BM Scholtz,70,2619,0.026727758686521573
CR Brathwaite,46,1725,0.02666666666666667
SG Whittingham,6,226,0.02654867256637168
V Krishnamurthy,3,113,0.02654867256637168
AB Kaur,6,226,0.02654867256637168
NJ Carey,20,754,0.026525198938992044
Nashra Sandhu,87,3282,0.026508226691042046
KA Pollard,59,2226,0.026504941599281222
MG Erasmus,34,1286,0.026438569206842923
Mudassar Bukhari,16,606,0.026402640264026403
AD Mathews,137,5205,0.02632084534101825
JA Morkel,50,1900,0.02631578947368421
M van Lingen,2,76,0.02631578947368421
MS Dhoni,1,38,0.02631578947368421
M Vijay,1,38,0.02631578947368421
S Randiv,38,1447,0.02626123013130615
ST Jayasuriya,105,4004,0.026223776223776224
TG Norris,7,268,0.026119402985074626
R Ashwin,166,6358,0.026108839257628184
JO Holder,162,6205,0.02610797743755036
SE Rutherford,3,115,0.02608695652173913
AC Kerr,97,3719,0.02608228018284485
DN Wyatt,14,537,0.0260707635009311
D Parashar,5,192,0.026041666666666668
DN Wellalage,27,1040,0.025961538461538463
EA Perry,83,3198,0.025953721075672294
SMA Priyanjan,7,270,0.025925925925925925
Mashrafe Mortaza,227,8756,0.025925079945180448
PJ Ongondo,34,1313,0.025894897182025894
LA Marsh,53,2048,0.02587890625
DT Johnston,39,1508,0.02586206896551724
O Chare,3,116,0.02586206896551724
SO Tikolo,28,1089,0.025711662075298437
MKDI Amerasinghe,10,391,0.02557544757033248
Sohag Gazi,24,939,0.025559105431309903
M Dillon,25,980,0.025510204081632654
B Muzarabani,54,2131,0.025340215861098078
Umaima Sohail,18,711,0.02531645569620253
Syed Rasel,53,2095,0.025298329355608593
MR Marsh,57,2257,0.02525476295968099
S Rana,26,1030,0.02524271844660194
Mehedi Hasan Miraz,107,4240,0.025235849056603775
L Klusener,12,476,0.025210084033613446
N Vanua,56,2223,0.025191183085919926
RML Taylor,11,437,0.02517162471395881
HH Pandya,81,3218,0.02517091361093847
SMSM Senanayake,60,2384,0.025167785234899327
Kashif Daud,17,676,0.02514792899408284
P Vastrakar,29,1155,0.025108225108225107
J Kila,6,239,0.02510460251046025
KJ O'Brien,60,2392,0.02508361204013378
FR Davies,11,439,0.025056947608200455
HDRS Silva,2,80,0.025
Javeria Rauf,1,40,0.025
KO Meth,10,400,0.025
C Green,21,841,0.02497027348394768
SS Weerakkody,28,1122,0.024955436720142603
RK Kleinveldt,12,481,0.02494802494802495
H Thaker,22,882,0.024943310657596373
LM Jongwe,28,1126,0.02486678507992895
PP Chawla,33,1330,0.02481203007518797
Rohan Mustafa,87,3508,0.024800456100342077
CH Gayle,112,4517,0.024795218065087447
D Joseph,5,202,0.024752475247524754
MJ Clarke,56,2264,0.024734982332155476
D Hazell,34,1375,0.024727272727272726
AI Chudasama,10,405,0.024691358024691357
Mohammad Nawaz (3),17,690,0.02463768115942029
V Sukumaran,3,122,0.02459016393442623
TS Chisoro,12,488,0.02459016393442623
Yuvraj Singh,99,4028,0.024577954319761668
O Prendergast,18,733,0.02455661664392906
WPUJC Vaas,118,4806,0.02455264253017062
MC Henriques,10,408,0.024509803921568627
PA de Silva,14,572,0.024475524475524476
M Kartik,30,1227,0.02444987775061125
A Mazvishaya,12,491,0.024439918533604887
JP Behrendorff,16,656,0.024390243902439025
YK Pathan,37,1517,0.024390243902439025
CA Henry,33,1354,0.024372230428360415
Abdul Razzaq,110,4518,0.02434705621956618
Kushal Malla,26,1068,0.024344569288389514
Muhammad Jawadullah,7,288,0.024305555555555556
AC Voges,6,247,0.024291497975708502
Avesh Khan,9,371,0.02425876010781671
I Udana,22,908,0.024229074889867842
AT Rayudu,3,124,0.024193548387096774
I Ranaweera,62,2569,0.02413390424289607
Saqlain Mushtaq,4,166,0.024096385542168676
DJ Hussey,19,791,0.02402022756005057
DS Airee,46,1919,0.023970818134445022
AC Jayangani,34,1421,0.023926812104152005
PLS Gamage,10,418,0.023923444976076555
AR Patel,67,2804,0.023894436519258204
Aayan Afzal Khan,43,1801,0.02387562465297057
KM Jadhav,28,1173,0.023870417732310314
MD Dai,13,545,0.023853211009174313
SW Currie,3,126,0.023809523809523808
JI de Villiers,3,126,0.023809523809523808
SKW Kelly,2,84,0.023809523809523808
RR Hendricks,1,42,0.023809523809523808
SSD Arachchige,1,42,0.023809523809523808
TS Roland-Jones,1,42,0.023809523809523808
SD Udal,1,42,0.023809523809523808
LHD Dilhara,3,126,0.023809523809523808
PP Ojha,21,882,0.023809523809523808
GD Phillips,13,547,0.02376599634369287
AJ Ireland,16,674,0.02373887240356083
TD Smartt,12,508,0.023622047244094488
M Labuschagne,6,254,0.023622047244094488
K Mahato,2,85,0.023529411764705882
Saad Bin Zafar,25,1063,0.023518344308560677
DR Smith,53,2257,0.023482498892334957
TS Sekhukhune,27,1150,0.023478260869565216
MD Shanaka,22,938,0.023454157782515993
E Chigumbura,88,3753,0.02344790833999467
V Sehwag,58,2475,0.023434343434343436
AF Giles,38,1628,0.02334152334152334
JR Hopes,73,3132,0.02330779054916986
A Vala,47,2017,0.02330193356470005
AJ Turner,2,86,0.023255813953488372
AM Hardie,7,301,0.023255813953488372
JM Vince,1,43,0.023255813953488372
LP van Troost,1,43,0.023255813953488372
U Bhatti,12,516,0.023255813953488372
L Lee,2,86,0.023255813953488372
Jatinder Singh,1,43,0.023255813953488372
MA Aponso,10,431,0.02320185614849188
Asmavia Iqbal,27,1165,0.02317596566523605
G Sultana,12,518,0.023166023166023165
MP Stoinis,48,2073,0.023154848046309694
R Ntozakhe,21,912,0.023026315789473683
Shafali Verma,2,87,0.022988505747126436
H Deol,2,87,0.022988505747126436
A Nao,20,871,0.022962112514351322
HJ Thomas,9,392,0.02295918367346939
G Kodali,7,306,0.02287581699346405
WK McCallan,14,612,0.02287581699346405
AB Dinda,14,613,0.022838499184339316
MS Panesar,30,1314,0.0228310502283105
PA Chatterji,8,351,0.022792022792022793
BCJ Cutting,5,220,0.022727272727272728
LPC Silva,1,44,0.022727272727272728
RP Arnold,8,352,0.022727272727272728
Agha Salman,15,662,0.022658610271903322
SZ Thakor,10,442,0.02262443438914027
PD Collingwood,96,4250,0.02258823529411765
RC Irani,8,355,0.022535211267605635
TM Head,25,1117,0.022381378692927483
BMAJ Mendis,31,1394,0.02223816355810617
MM Lanning,1,45,0.022222222222222223
Tushar Imran,2,90,0.022222222222222223
SFM Devine,55,2489,0.02209722780233025
RS Bopara,41,1858,0.022066738428417654
CS Fraser,9,409,0.022004889975550123
GM Ewing,6,273,0.02197802197802198
GB Brent,25,1140,0.021929824561403508
P Marange,10,457,0.02188183807439825
B Ward,4,183,0.02185792349726776
TB Sole,9,412,0.021844660194174758
PM Liyanagamage,5,229,0.021834061135371178
S Matsikenyeri,15,687,0.021834061135371178
RR Rossouw,1,46,0.021739130434782608
J Patraj,2,92,0.021739130434782608
GP Tom,4,184,0.021739130434782608
SC Ganguly,22,1015,0.02167487684729064
L Tshuma,10,466,0.02145922746781116
DR Brown,3,140,0.02142857142857143
JP Duminy,74,3460,0.02138728323699422
Mohammad Nawaz,21,982,0.021384928716904276
Saud Shakeel,1,47,0.02127659574468085
Nida Dar,62,2917,0.02125471374700034
